s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
0.000000,-20.167153,-1.546774,0.516822,-0.916131,2.779370,-0.105099,0.509738,1.511218
0.099918,-20.212424,-1.457859,0.424887,-0.926823,2.775589,-0.029759,0.515404,1.607678
0.199835,-20.249346,-1.364965,0.331502,-0.938763,2.774518,-0.029759,0.521049,1.702860
0.299753,-20.277390,-1.269348,0.239673,-0.903791,2.773446,0.234698,0.528739,1.798782
0.399670,-20.296781,-1.171173,0.150898,-0.869985,2.781888,0.450092,0.546061,1.897225
0.499588,-20.307527,-1.072230,0.066048,-0.834743,2.798007,0.640417,0.572154,1.995915
0.599505,-20.310009,-0.971968,-0.015975,-0.801678,2.820784,0.786326,0.606369,2.096119
0.699423,-20.304437,-0.872220,-0.095566,-0.797130,2.848501,0.684641,0.645817,2.177256
0.799340,-20.290909,-0.773199,-0.176425,-0.814788,2.872416,0.419011,0.679250,2.208944
0.899258,-20.269549,-0.675646,-0.253026,-0.715119,2.886955,1.174857,0.717995,2.239385
0.999175,-20.241295,-0.579865,-0.318762,-0.604589,2.927334,1.935731,0.761772,2.276963
1.099093,-20.207289,-0.486108,-0.376217,-0.548744,2.992676,2.172228,0.803938,2.322395
1.199010,-20.168032,-0.393992,-0.428693,-0.499345,3.064343,2.381663,0.846637,2.300855
1.298928,-20.124273,-0.304022,-0.475733,-0.442465,3.141041,2.689794,0.894267,2.218897
1.398846,-20.076699,-0.216310,-0.517418,-0.394929,3.225470,2.929499,0.946314,2.141448
1.498763,-20.025577,-0.130359,-0.555111,-0.357303,3.314977,3.114520,1.002601,2.062545
1.598681,-19.971541,-0.046464,-0.588554,-0.312030,3.407559,3.428737,1.056489,1.979300
1.698598,-19.914857,0.035785,-0.617588,-0.269827,3.506657,3.743425,1.113026,1.899443
1.798516,-19.855939,0.116524,-0.642574,-0.230662,3.611746,4.031956,1.167630,1.823269
1.898433,-19.795172,0.195881,-0.663810,-0.194065,3.721618,4.331457,1.225265,1.751100
1.998351,-19.732925,0.273987,-0.681328,-0.156632,3.836146,4.734785,1.286559,1.683263
2.098268,-19.669432,0.351147,-0.695113,-0.119295,3.957548,5.207938,1.351011,1.619943
2.198186,-19.605033,0.427534,-0.705173,-0.082107,4.086920,5.706440,1.405636,1.555115
2.298103,-19.539985,0.503419,-0.711530,-0.045094,4.224129,6.255368,1.461849,1.478768
2.398021,-19.474636,0.578963,-0.714182,-0.008014,4.369589,-1.008907,1.516929,1.404891
2.497938,-19.409181,0.654505,-0.713165,0.028400,4.346457,-6.050074,1.571610,1.334417
2.597856,-19.343988,0.730178,-0.708504,0.064986,4.205077,-5.507312,1.628110,1.267742
2.697774,-19.279222,0.806352,-0.700132,0.102561,4.072115,-5.003279,1.682627,1.205080
2.797691,-19.215327,0.883082,-0.687993,0.140577,3.947441,-4.567776,1.741913,1.146939
2.897609,-19.152444,0.960785,-0.672162,0.176120,3.830077,-4.193057,1.803622,1.077177
2.997526,-19.090991,1.039512,-0.652817,0.212103,3.719082,-3.667627,1.864233,1.007612
3.097444,-19.031167,1.119638,-0.628974,0.265147,3.619206,-3.185858,1.929800,0.941747
3.197361,-18.973572,1.201203,-0.599756,0.318352,3.530156,-3.067602,1.999994,0.880226
3.297279,-18.918467,1.284691,-0.566613,0.344328,3.442236,-2.943221,2.071705,0.823434
3.397196,-18.866396,1.369813,-0.530941,0.372051,3.355716,-2.682463,2.143127,0.772473
3.497114,-18.817454,1.456971,-0.491662,0.413684,3.274871,-2.462983,2.212051,0.728113
3.597031,-18.772199,1.545991,-0.448306,0.455379,3.198842,-2.162655,2.225534,0.689360
3.696949,-18.731001,1.637092,-0.400225,0.507166,3.130561,-1.827705,2.179874,0.647817
3.796866,-18.694524,1.730040,-0.346790,0.563253,3.071673,-1.505846,2.142663,0.607933
3.896784,-18.663301,1.824982,-0.287750,0.617873,3.022293,-1.230967,2.110792,0.568718
3.996702,-18.638016,1.921580,-0.223434,0.667146,2.981319,-0.999485,2.067204,0.539184
4.096619,-18.619195,2.019761,-0.154634,0.710715,2.947631,-0.632247,2.033809,0.520550
4.196537,-18.607412,2.118897,-0.081065,0.765124,2.926121,-0.160914,2.011785,0.513685
4.296454,-18.603233,2.218684,-0.001670,0.823529,2.920621,-0.032950,2.002102,0.500391
4.396372,-18.607248,2.318380,0.082616,0.843954,2.919494,-0.032950,2.005562,0.498457
4.496289,-18.619609,2.417460,0.164992,0.806647,2.918366,0.250614,2.014563,0.508054
4.596207,-18.639925,2.515304,0.243708,0.759383,2.926934,0.611222,2.017262,0.528834
4.696124,-18.667574,2.611277,0.316176,0.692463,2.947725,1.090467,2.030612,0.559852
4.796042,-18.701817,2.705156,0.382421,0.636595,2.984460,1.420432,2.055481,0.585178
4.895959,-18.741948,2.796629,0.443639,0.589324,3.031642,1.660778,2.090801,0.619292
4.995877,-18.787414,2.885627,0.500081,0.535797,3.085893,1.964043,2.133709,0.649800
5.095794,-18.837568,2.972049,0.550607,0.476154,3.148844,2.332471,2.166520,0.686272
5.195712,-18.891786,3.055988,0.595626,0.429815,3.222007,2.576854,2.184252,0.730548
5.295630,-18.949546,3.137500,0.636718,0.392693,3.300950,2.760400,2.098694,0.781583
5.395547,-19.010446,3.216665,0.674148,0.358034,3.383474,2.950286,2.016692,0.838351
5.495465,-19.074162,3.293630,0.708327,0.326178,3.469505,3.132759,1.938560,0.894726
5.595382,-19.140362,3.368496,0.739024,0.282452,3.558582,3.474426,1.864091,0.952627
5.695300,-19.208644,3.441462,0.764583,0.229335,3.654835,3.969022,1.790965,1.014963
5.795217,-19.278582,3.512841,0.785069,0.183463,3.761777,4.421142,1.711918,1.081301
5.895135,-19.349804,3.582911,0.801353,0.142477,3.877430,4.910172,1.628698,1.151226
5.995052,-19.422008,3.651951,0.813559,0.102246,4.001961,5.451332,1.548323,1.219783
6.094970,-19.494931,3.720266,0.821805,0.062838,4.135826,5.996670,1.470984,1.288253
6.194887,-19.568285,3.788127,0.826080,0.022071,4.278248,2.769598,1.396941,1.356955
6.294805,-19.641785,3.855822,0.826194,-0.019780,4.342449,-6.183196,1.326461,1.429194
6.394722,-19.715133,3.923643,0.822238,-0.057685,4.197767,-5.688303,1.259268,1.504708
6.494640,-19.788099,3.991893,0.814745,-0.092238,4.060114,-5.114938,1.190674,1.583285
6.594558,-19.860481,4.060864,0.803601,-0.134090,3.932223,-4.475497,1.121323,1.664735
6.694475,-19.931904,4.130776,0.787756,-0.183353,3.816807,-4.045010,1.054014,1.748795
6.794393,-20.001926,4.201869,0.767195,-0.224068,3.709405,-3.873615,0.985402,1.819698
6.894310,-20.070389,4.274550,0.743381,-0.251761,3.603554,-3.719817,0.918793,1.893863
6.994228,-20.137048,4.348977,0.716927,-0.280781,3.498892,-3.432773,0.856562,1.971908
7.094145,-20.201650,4.425326,0.686909,-0.320820,3.399450,-2.579653,0.799525,2.053555
7.194063,-20.263945,4.503984,0.651197,-0.411891,3.322763,-1.130499,0.748468,2.138763
7.293980,-20.322686,4.584831,0.603103,-0.553956,3.288593,-0.297860,0.704307,2.226872
7.393898,-20.376610,4.668349,0.542218,-0.634296,3.279530,-0.257862,0.667098,2.317778
7.493815,-20.425340,4.755304,0.479773,-0.610233,3.271665,-0.528086,0.637087,2.411804
7.593733,-20.468899,4.845462,0.421000,-0.574175,3.255497,-0.808508,0.603951,2.508428
7.693650,-20.507186,4.938084,0.362464,-0.604537,3.230587,-0.198014,0.565322,2.498248
7.793568,-20.539779,5.032954,0.298322,-0.665645,3.224457,-0.040163,0.531485,2.428367
7.893486,-20.565839,5.129087,0.230832,-0.682743,3.223212,-0.040163,0.508745,2.366231
7.993403,-20.585335,5.226720,0.163808,-0.657731,3.221967,0.210960,0.498253,2.312348
8.093321,-20.598431,5.325769,0.099562,-0.629378,3.228502,0.477448,0.501051,2.267200
8.193238,-20.605269,5.425490,0.037715,-0.608807,3.243245,0.630797,0.503209,2.231460
8.293156,-20.606032,5.525344,-0.022122,-0.589517,3.262620,0.759530,0.513770,2.205565
8.393073,-20.600911,5.625076,-0.080271,-0.576237,3.285799,0.816178,0.537298,2.182016
8.492991,-20.590058,5.724383,-0.137222,-0.563570,3.310525,0.863937,0.572261,2.167923
8.592908,-20.573648,5.822889,-0.192618,-0.545053,3.336498,0.975845,0.616705,2.163978
