# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.000000,2.510679,-5.161651,-3.050649,-0.470785,4.959734,-0.376898
0.099912,2.411031,-5.168370,-3.098012,-0.477821,4.952136,-0.193144
0.199824,2.311119,-5.170325,3.137012,-0.486073,4.948237,-0.158958
0.299736,2.211279,-5.167441,3.088367,-0.488097,4.945027,-0.094459
0.399648,2.111658,-5.159688,3.039437,-0.491111,4.943118,-0.094459
0.499560,2.012572,-5.147079,2.990710,-0.484649,4.941208,0.072650
0.599472,1.914178,-5.129682,2.942551,-0.479342,4.942677,0.195195
0.699384,1.816758,-5.107603,2.895013,-0.472553,4.946621,0.342475
0.799296,1.720465,-5.080944,2.848084,-0.466928,4.953533,0.447910
0.899209,1.625538,-5.049828,2.801679,-0.462232,4.962560,0.521416
0.999121,1.532136,-5.014357,2.755683,-0.458598,4.973046,0.562724
1.099033,1.440467,-4.974649,2.710010,-0.455871,4.984339,0.578474
1.198945,1.350694,-4.930804,2.664555,-0.454150,4.995921,0.568284
1.298857,1.263006,-4.882934,2.619230,-0.453321,5.007273,0.129799
1.398769,1.177576,-4.831141,2.573938,-0.453471,5.009862,-0.711771
1.498681,1.094578,-4.775530,2.528585,-0.454529,4.995647,-0.751327
1.598593,1.014194,-4.716211,2.483079,-0.456566,4.980598,-0.766192
1.698505,0.936594,-4.653283,2.437320,-0.459538,4.965204,-0.735618
1.798417,0.861971,-4.586865,2.391218,-0.463519,4.950380,-0.675952
1.898329,0.790496,-4.517055,2.344663,-0.468515,4.936718,-0.583211
1.998241,0.722376,-4.443987,2.297561,-0.474571,4.924901,-0.455184
2.098153,0.657786,-4.367759,2.249797,-0.481641,4.915658,-0.294780
2.198065,0.596950,-4.288528,2.201280,-0.489463,4.909663,-0.191628
2.297977,0.540045,-4.206402,2.152128,-0.494522,4.905762,-0.092965
2.397889,0.487279,-4.121586,2.102430,-0.499004,4.903868,-0.092965
2.497802,0.438778,-4.034237,2.053050,-0.489556,4.901973,0.143400
2.597714,0.394614,-3.944636,2.004568,-0.480824,4.904895,0.339334
2.697626,0.354794,-3.853002,1.957094,-0.469545,4.911803,0.578580
2.797538,0.319322,-3.759618,1.910706,-0.459270,4.923558,0.772940
2.897450,0.288165,-3.664688,1.865304,-0.449628,4.939218,0.936612
2.997362,0.261308,-3.568470,1.820832,-0.440449,4.958128,1.077405
3.097274,0.238704,-3.471149,1.777379,-0.429418,4.979791,1.255279
3.197186,0.220298,-3.372962,1.734998,-0.419036,5.004913,1.406663
3.297098,0.206016,-3.274076,1.693657,-0.408553,5.032916,1.553340
3.397010,0.195782,-3.174703,1.653336,-0.398765,5.063658,1.676285
3.496922,0.189515,-3.074988,1.613953,-0.389619,5.096626,1.778989
3.596834,0.187133,-2.975116,1.575460,-0.381080,5.131382,1.863958
3.696746,0.188556,-2.875214,1.537787,-0.373078,5.167547,1.934263
3.796658,0.193700,-2.775446,1.500892,-0.365611,5.204811,1.990859
3.896570,0.202487,-2.675922,1.464712,-0.358672,5.242889,2.034614
3.996482,0.214832,-2.576785,1.429206,-0.352166,5.281519,2.068697
4.096394,0.230659,-2.478135,1.394330,-0.346005,5.320509,2.095933
4.196307,0.249885,-2.380100,1.360052,-0.340232,5.359724,2.115215
4.296219,0.272433,-2.282766,1.326337,-0.334683,5.399010,2.131536
4.396131,0.298222,-2.186248,1.293162,-0.329466,5.438312,2.141625
4.496043,0.327175,-2.090624,1.260493,-0.324529,5.477517,2.147094
4.595955,0.359211,-1.995997,1.228302,-0.319927,5.516542,2.146271
4.695867,0.394257,-1.902436,1.196560,-0.315508,5.555278,2.143783
4.795779,0.432234,-1.810029,1.165246,-0.311451,5.593701,2.133882
4.895691,0.473069,-1.718845,1.134303,-0.308019,5.631686,2.108302
4.995603,0.516690,-1.628964,1.103682,-0.305093,5.668966,2.070938
5.095515,0.563031,-1.540451,1.073320,-0.302696,5.705349,2.021116
5.195427,0.612022,-1.453390,1.043210,-0.299424,5.740633,2.005129
