s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
0.000000,1.122563,-21.523636,-1.730635,0.385225,3.833112,-1.490599,0.842941,1.156660
0.099976,1.221578,-21.537639,-1.691855,0.390444,3.794035,-1.516510,0.813774,1.170641
0.199952,1.321004,-21.547760,-1.652542,0.396341,3.753861,-1.536420,0.800074,1.187020
0.299928,1.420815,-21.553938,-1.612573,0.403094,3.712716,-1.568385,0.802696,1.207644
0.399904,1.520730,-21.556088,-1.571919,0.410560,3.670240,-1.600324,0.812487,1.232180
0.499880,1.620713,-21.554134,-1.530454,0.418801,3.626385,-1.629578,0.814432,1.237694
0.599856,1.720462,-21.548000,-1.488152,0.427825,3.581178,-1.656888,0.820563,1.231559
0.699832,1.819920,-21.537599,-1.444876,0.437785,3.534619,-1.681216,0.830972,1.221149
0.799808,1.918765,-21.522865,-1.400587,0.448611,3.486742,-1.700871,0.845741,1.206386
0.899784,2.016909,-21.503701,-1.355137,0.460513,3.437627,-1.704678,0.845027,1.187172
0.999760,2.114010,-21.480054,-1.308475,0.473392,3.387687,-1.699106,0.847449,1.163443
1.099736,2.209934,-21.451823,-1.260433,0.487629,3.337167,-1.689402,0.866163,1.135099
1.199712,2.304319,-21.418967,-1.210937,0.502981,3.286166,-1.677568,0.899226,1.102099
1.299688,2.396974,-21.381391,-1.159808,0.519874,3.234726,-1.674604,0.937108,1.071109
1.399664,2.487515,-21.339068,-1.106947,0.538136,3.182548,-1.657731,0.957858,1.043693
1.499640,2.575675,-21.291920,-1.052117,0.558881,3.130039,-1.638526,0.986562,1.020013
1.599616,2.661041,-21.239937,-0.995152,0.581097,3.077258,-1.612758,1.029255,0.972703
1.699593,2.743256,-21.183074,-0.935862,0.605286,3.024408,-1.584062,1.084357,0.915873
1.799569,2.821872,-21.121349,-0.874066,0.631990,2.971584,-1.520583,1.145914,0.856807
1.899545,2.896431,-21.054780,-0.809286,0.664455,2.919977,-1.454249,1.202159,0.800355
1.999521,2.966407,-20.983405,-0.741152,0.698475,2.869754,-1.383372,1.256285,0.747075
2.099497,3.031223,-20.907332,-0.669577,0.734165,2.821148,-1.278529,1.321110,0.697659
2.199473,3.090293,-20.826696,-0.594246,0.774580,2.775470,-1.085966,1.395104,0.652905
2.299449,3.142926,-20.741752,-0.514369,0.824451,2.736072,-0.834977,1.413615,0.610805
2.399425,3.188400,-20.652733,-0.429293,0.877930,2.705390,-0.470880,1.354368,0.563647
2.499401,3.225875,-20.560100,-0.338527,0.939522,2.687933,-0.164474,1.307851,0.522911
2.599377,3.254500,-20.464345,-0.241599,0.985996,2.681808,-0.089963,1.276388,0.489929
2.699353,3.273581,-20.366269,-0.142492,0.998735,2.678452,-0.027712,1.257296,0.455215
2.799329,3.282788,-20.266741,-0.041811,1.008088,2.677418,-0.027712,1.248086,0.422638
2.899305,3.281944,-20.166830,0.058639,1.003538,2.676383,0.010947,1.248931,0.402266
2.999281,3.271085,-20.067467,0.159065,1.002106,2.676792,0.019093,1.259787,0.396216
3.099257,3.250351,-19.969727,0.258937,0.997839,2.677505,0.046158,1.280512,0.398696
3.199233,3.219968,-19.874503,0.358774,0.995977,2.679228,0.050302,1.207247,0.399438
3.299209,3.180283,-19.782804,0.458025,0.991558,2.681104,0.072232,1.116382,0.414965
3.399185,3.131692,-19.695445,0.557008,0.976780,2.683796,0.165248,1.028216,0.442619
3.499161,3.074842,-19.613258,0.652603,0.937613,2.689945,0.418515,0.947256,0.461241
3.599137,3.010520,-19.536725,0.744446,0.883918,2.705455,0.733918,0.869566,0.483581
3.699113,2.939729,-19.466168,0.828082,0.790342,2.732441,1.300598,0.799063,0.505264
3.799089,2.863564,-19.401406,0.902769,0.703805,2.779621,1.746047,0.735208,0.537626
3.899065,2.783044,-19.342167,0.968815,0.617698,2.841728,2.167436,0.676150,0.579451
3.999041,2.699023,-19.288015,1.026408,0.535505,2.916985,2.564834,0.633216,0.629382
4.099017,2.612212,-19.238432,1.075955,0.455699,3.003605,2.971616,0.609183,0.678829
4.198993,2.523242,-19.192860,1.117585,0.377907,3.100940,3.429382,0.576014,0.724483
4.298969,2.432599,-19.150675,1.151566,0.301823,3.209601,3.932165,0.545149,0.766852
4.398945,2.340737,-19.111249,1.177957,0.226695,3.329832,4.529163,0.531751,0.809195
4.498921,2.247989,-19.073909,1.196933,0.152841,3.463149,5.225293,0.520223,0.859154
4.598897,2.154695,-19.037997,1.208509,0.078567,3.610846,6.016681,0.516009,0.907022
