s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
0.000000,-2.671874,-4.753773,1.143278,-0.701879,3.001109,-0.682926,0.416211,1.745002
0.099745,-2.760902,-4.709342,1.072026,-0.730410,2.978325,-0.505724,0.406487,1.772240
0.199490,-2.846834,-4.658324,0.997523,-0.759813,2.961339,-0.309570,0.408827,1.803627
0.299235,-2.928444,-4.601097,0.920499,-0.788220,2.950894,-0.033637,0.410110,1.840069
0.398981,-3.005351,-4.537584,0.839761,-0.825131,2.949757,-0.033637,0.427458,1.888062
0.498726,-3.076636,-4.468310,0.760735,-0.760568,2.948619,0.494276,0.458636,1.840802
0.598471,-3.142879,-4.393394,0.688726,-0.677750,2.965292,1.139900,0.498053,1.787416
0.698216,-3.203656,-4.314456,0.624566,-0.615600,3.003391,1.529882,0.517370,1.744400
0.797961,-3.259624,-4.231665,0.564838,-0.586525,3.053777,1.603057,0.543789,1.707723
0.897706,-3.310515,-4.145908,0.506378,-0.583388,3.105696,1.435331,0.570073,1.680922
0.997452,-3.356326,-4.057380,0.448966,-0.565602,3.151457,1.435735,0.606522,1.647104
1.097197,-3.397057,-3.966474,0.393913,-0.541084,3.196576,1.515182,0.647515,1.615021
1.196942,-3.432915,-3.873245,0.340720,-0.525163,3.243511,1.509662,0.683616,1.593760
1.296687,-3.463781,-3.778445,0.289035,-0.511500,3.289608,1.502740,0.714686,1.583770
1.396432,-3.489791,-3.682127,0.238685,-0.497589,3.334862,1.509464,0.740842,1.563602
1.496177,-3.510977,-3.584710,0.189868,-0.482000,3.379708,1.542970,0.744475,1.552011
1.595922,-3.527470,-3.486299,0.142455,-0.468566,3.424943,1.557509,0.737694,1.546374
1.695668,-3.539340,-3.387287,0.096400,-0.455192,3.470006,1.578234,0.739710,1.550831
1.795413,-3.546705,-3.287806,0.051610,-0.442934,3.515080,1.586943,0.747082,1.566130
1.895158,-3.549671,-3.188120,0.008088,-0.429926,3.559827,1.602837,0.753510,1.582651
1.994903,-3.548359,-3.088383,-0.034187,-0.417854,3.604458,1.613491,0.768708,1.602125
2.094648,-3.542893,-2.988791,-0.075268,-0.405936,3.648834,1.628982,0.790349,1.607584
2.194393,-3.533401,-2.889508,-0.115198,-0.394887,3.693096,1.639090,0.783411,1.617061
2.294139,-3.520004,-2.790654,-0.153989,-0.382797,3.737103,1.670180,0.775824,1.630431
2.393884,-3.502850,-2.692417,-0.191589,-0.371396,3.781419,1.712623,0.777216,1.647546
2.493629,-3.482062,-2.594848,-0.228047,-0.359440,3.826327,1.774337,0.787651,1.653051
2.593374,-3.457799,-2.498123,-0.263303,-0.347660,3.872304,1.837608,0.785944,1.648429
2.693119,-3.430185,-2.402264,-0.297478,-0.337670,3.919353,1.877809,0.791057,1.640094
2.792864,-3.399369,-2.307420,-0.330680,-0.328262,3.966854,1.913655,0.805255,1.628756
