s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
0.000000,0.575214,-2.140777,-1.840300,0.277131,4.400574,1.575965,0.539710,1.213248
0.099968,0.671922,-2.166066,-1.812965,0.269791,4.436231,1.606091,0.563914,1.188037
0.199935,0.769286,-2.188740,-1.786352,0.262675,4.472276,1.634454,0.586346,1.165435
0.299903,0.867205,-2.208849,-1.760439,0.255786,4.508663,1.669253,0.620636,1.145391
0.399870,0.965611,-2.226448,-1.735205,0.249087,4.545523,1.729122,0.659349,1.127847
0.499838,1.064422,-2.241590,-1.710632,0.242549,4.583393,1.787351,0.690119,1.112748
0.599805,1.163572,-2.254333,-1.686705,0.236170,4.622213,1.844141,0.717603,1.095863
0.699773,1.262996,-2.264732,-1.663408,0.229932,4.661926,1.899957,0.755269,1.061287
0.799740,1.362631,-2.272842,-1.640729,0.223826,4.702491,1.955100,0.801716,1.037495
0.899708,1.462426,-2.278721,-1.618654,0.217835,4.743872,2.010029,0.850810,1.025188
0.999675,1.562320,-2.282426,-1.597173,0.211954,4.786042,2.049205,0.892444,1.015473
1.099643,1.662277,-2.284013,-1.576274,0.206159,4.828654,2.086673,0.932328,0.989395
1.199610,1.762238,-2.283540,-1.555951,0.200455,4.871663,2.125122,0.973438,0.974987
1.299578,1.862177,-2.281064,-1.536194,0.194812,4.915078,2.165239,1.018084,0.962960
1.399545,1.962042,-2.276643,-1.516999,0.189244,4.958921,2.206685,1.067861,0.937037
1.499513,2.061813,-2.270332,-1.498356,0.183725,5.003208,2.250585,1.110124,0.900914
1.599480,2.161443,-2.262191,-1.480264,0.178266,5.047976,2.302873,1.141416,0.870350
1.699448,2.260920,-2.252275,-1.462714,0.172838,5.093376,2.357397,1.178754,0.841506
1.799415,2.360203,-2.240643,-1.445706,0.167459,5.139437,2.413746,1.221615,0.805189
1.899383,2.459286,-2.227349,-1.429233,0.162081,5.186174,2.473199,1.269479,0.776658
1.999350,2.558132,-2.212453,-1.413299,0.156741,5.233630,2.534872,1.293931,0.761911
2.099318,2.656741,-2.196008,-1.397887,0.151597,5.281827,2.583215,1.304613,0.736029
2.199285,2.755081,-2.178073,-1.382988,0.146492,5.330494,2.628281,1.313335,0.698806
2.299253,2.853157,-2.158697,-1.368592,0.141511,5.379559,2.673581,1.322045,0.665535
2.399220,2.950940,-2.137937,-1.354694,0.136558,5.429014,2.721835,1.336797,0.647574
2.499188,3.048439,-2.115843,-1.341292,0.131556,5.478904,2.775375,1.346483,0.646151
2.599155,3.145631,-2.092471,-1.328391,0.126569,5.529311,2.862164,1.359556,0.620334
2.699123,3.242527,-2.067869,-1.315987,0.121585,5.580818,2.974392,1.377357,0.598271
2.799090,3.339109,-2.042092,-1.304081,0.116614,5.633845,3.090135,1.388335,0.589672
2.899058,3.435392,-2.015190,-1.292672,0.111639,5.688413,3.210214,1.397031,0.581630
2.999025,3.531362,-1.987217,-1.281760,0.106672,5.744551,3.334455,1.407389,0.561835
3.098993,3.627035,-1.958220,-1.271345,0.101700,5.802288,3.404173,1.420352,0.552035
3.198960,3.722401,-1.928254,-1.261427,0.096733,5.860645,3.472396,1.436064,0.543342
3.298928,3.817480,-1.897365,-1.252005,0.091762,5.919579,3.545925,1.443509,0.540301
3.398895,3.912265,-1.865607,-1.243080,0.086794,5.979161,3.624557,1.441019,0.529113
3.498863,4.006777,-1.833026,-1.234652,0.081822,6.039457,3.711630,1.432389,0.523489
3.598831,4.101014,-1.799675,-1.226721,0.076851,6.100584,3.805620,1.428125,0.515007
3.698798,4.194996,-1.765599,-1.219287,0.071877,6.162630,3.905287,1.418133,0.510398
3.798766,4.288728,-1.730850,-1.212350,0.066903,6.225657,4.010654,1.414432,0.510129
3.898733,4.382228,-1.695474,-1.205911,0.061926,6.289728,4.152134,1.417121,0.506413
3.998701,4.475505,-1.659521,-1.199969,0.056949,6.355379,4.318802,1.418680,0.486818
4.098668,4.568578,-1.623036,-1.194525,0.051970,6.422952,4.492526,1.414744,0.471798
4.198636,4.661458,-1.586070,-1.189579,0.046991,6.492498,4.673716,1.417345,0.478197
4.298603,4.754165,-1.548666,-1.185130,0.042018,6.564066,4.848970,1.422568,0.484344
4.398571,4.846713,-1.510874,-1.181178,0.037044,6.637503,5.030690,1.425348,0.467694
4.498538,4.939121,-1.472739,-1.177724,0.032061,6.712843,5.221364,1.431076,0.460526
4.598506,5.031406,-1.434309,-1.174768,0.027076,6.790154,5.416574,1.408261,0.475093
4.698473,5.123587,-1.395628,-1.172288,0.022567,6.869436,5.371351,1.391997,0.470412
4.798441,5.215680,-1.356739,-1.170256,0.018085,6.947163,5.326969,1.382561,0.464504
4.898408,5.307701,-1.317680,-1.168537,0.016460,7.023398,5.283392,1.380135,0.464581
4.998376,5.399658,-1.278469,-1.166965,0.015003,7.098201,5.240591,1.381802,0.466738
5.098343,5.491555,-1.239120,-1.165492,0.014507,7.171627,5.198536,1.386837,0.465591
5.198311,5.583395,-1.199637,-1.164064,0.014067,7.243729,5.157199,1.398872,0.466505
5.298278,5.675179,-1.160025,-1.162683,0.013566,7.314555,5.116553,1.406931,0.467683
5.398246,5.766910,-1.120288,-1.161352,0.013063,7.384151,5.076576,1.402610,0.466845
5.498213,5.858589,-1.080432,-1.160071,0.012565,7.452562,5.037243,1.400865,0.457918
5.598181,5.950217,-1.040461,-1.158840,0.012067,7.519827,4.998534,1.385191,0.470676
5.698148,6.041798,-1.000379,-1.157658,0.011567,7.585986,4.960427,1.367977,0.474532
5.798116,6.133332,-0.960191,-1.156527,0.011068,7.651075,4.922904,1.357808,0.459768
5.898083,6.224821,-0.919903,-1.155445,0.010569,7.715128,4.885945,1.354847,0.457830
5.998051,6.316268,-0.879517,-1.154414,0.010070,7.778179,4.849533,1.352741,0.477402
6.098018,6.407674,-0.839039,-1.153432,0.009571,7.840259,4.813653,1.343758,0.470350
6.197986,6.499041,-0.798474,-1.152500,0.009072,7.901398,4.778288,1.330006,0.456372
6.297953,6.590371,-0.757827,-1.151618,0.008573,7.961622,4.743422,1.315014,0.451656
