s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
0.000000,0.484651,-2.148863,1.285469,-0.265924,4.516188,-1.581122,0.563929,1.205007
0.099930,0.389145,-2.119454,1.258607,-0.271702,4.481066,-1.571982,0.567021,1.234366
0.199860,0.294481,-2.087467,1.231159,-0.277710,4.445871,-1.563889,0.535521,1.266318
0.299790,0.200730,-2.052860,1.203102,-0.283838,4.410580,-1.554185,0.501542,1.300913
0.399720,0.108013,-2.015614,1.174423,-0.290224,4.375225,-1.544091,0.483259,1.336625
0.499649,0.016399,-1.975689,1.145091,-0.296812,4.339815,-1.532074,0.475086,1.318701
0.599579,-0.073974,-1.933072,1.115093,-0.303686,4.304392,-1.518773,0.453176,1.302878
0.699509,-0.163029,-1.887723,1.084389,-0.310815,4.268987,-1.492200,0.443285,1.278724
0.799439,-0.250614,-1.839641,1.052963,-0.318258,4.233913,-1.458471,0.417464,1.262056
0.899369,-0.336644,-1.788788,1.020794,-0.325560,4.199349,-1.420521,0.411582,1.256331
0.999299,-0.420957,-1.735174,0.987885,-0.333203,4.165408,-1.382468,0.405598,1.253418
1.099229,-0.503453,-1.678773,0.954201,-0.340953,4.132109,-1.340072,0.402322,1.246701
1.199159,-0.583966,-1.619604,0.919730,-0.349037,4.099573,-1.338748,0.392415,1.214227
1.299089,-0.662382,-1.557660,0.884616,-0.353774,4.066809,-1.356147,0.403030,1.192696
1.399018,-0.738550,-1.492989,0.849011,-0.358896,4.033348,-1.369044,0.411073,1.182792
1.498948,-0.812358,-1.425626,0.812957,-0.362746,3.999285,-1.409233,0.415594,1.171077
1.598878,-0.883672,-1.355635,0.776498,-0.367043,3.963916,-1.431510,0.416525,1.152352
1.698808,-0.952373,-1.283073,0.739574,-0.372023,3.927662,-1.446810,0.413810,1.145756
1.798738,-1.018328,-1.208010,0.702130,-0.377485,3.890678,-1.458604,0.407429,1.151556
1.898668,-1.081406,-1.130512,0.664113,-0.383478,3.853032,-1.466345,0.420389,1.151621
1.998598,-1.141468,-1.050653,0.625470,-0.390008,3.814812,-1.468644,0.445140,1.144105
2.098528,-1.198371,-0.968516,0.586145,-0.397164,3.776145,-1.468598,0.439393,1.141847
2.198457,-1.251971,-0.884184,0.546073,-0.404920,3.737079,-1.468392,0.445145,1.139689
2.298387,-1.302114,-0.797755,0.505196,-0.413327,3.697605,-1.478059,0.466647,1.144489
2.398317,-1.348646,-0.709326,0.463442,-0.422417,3.657442,-1.484470,0.467783,1.151559
2.498247,-1.391403,-0.619016,0.420748,-0.432230,3.616655,-1.486090,0.469910,1.157692
2.598177,-1.430221,-0.526940,0.377030,-0.442826,3.575358,-1.480860,0.474063,1.156863
2.698107,-1.464926,-0.433240,0.332219,-0.454208,3.533726,-1.467486,0.486463,1.162644
2.798037,-1.495344,-0.338060,0.286222,-0.466506,3.491981,-1.436918,0.498883,1.177533
2.897967,-1.521291,-0.241568,0.238953,-0.479732,3.450615,-1.397672,0.492200,1.185650
2.997897,-1.542585,-0.143942,0.190306,-0.494036,3.409899,-1.349691,0.494574,1.199297
3.097826,-1.559033,-0.045386,0.140182,-0.509399,3.370113,-1.289625,0.511077,1.225730
3.197756,-1.570445,0.053880,0.088454,-0.526051,3.331654,-1.216887,0.499687,1.264228
3.297686,-1.576624,0.153608,0.035005,-0.543962,3.294952,-1.126527,0.489507,1.311889
3.397616,-1.577374,0.253521,-0.020315,-0.563435,3.260607,-1.023221,0.478068,1.357563
3.497546,-1.572499,0.353321,-0.077655,-0.584525,3.229096,-0.896474,0.473206,1.400239
