s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
0.000000,0.309267,0.097452,-1.440554,0.362936,4.184356,-0.697789,0.808931,0.891552
0.099581,0.407749,0.112167,-1.404378,0.363718,4.167717,-0.880557,0.823651,0.876880
0.199162,0.505634,0.130439,-1.368097,0.365058,4.146624,-0.922648,0.841935,0.858677
0.298743,0.602795,0.152258,-1.331670,0.366596,4.124407,-0.965450,0.863777,0.836967
0.398325,0.699085,0.177607,-1.295067,0.368665,4.101031,-1.002846,0.889167,0.811783
0.497906,0.794393,0.206476,-1.258237,0.371078,4.076607,-1.038442,0.918108,0.783158
0.597487,0.888553,0.238842,-1.221143,0.374067,4.051161,-1.067967,0.950590,0.751156
0.697068,0.981460,0.274699,-1.183729,0.377381,4.024824,-1.096104,0.986625,0.715296
0.796649,1.072934,0.314014,-1.145965,0.381245,3.997612,-1.118796,1.026204,0.688350
0.896230,1.162874,0.356783,-1.107786,0.385530,3.969645,-1.124989,1.069352,0.671380
0.995811,1.251077,0.402959,-1.069158,0.390536,3.941323,-1.121672,1.107023,0.650197
1.095393,1.337446,0.452545,-1.030004,0.395778,3.912880,-1.112635,1.140199,0.627166
1.194974,1.421766,0.505479,-0.990317,0.401509,3.884461,-1.090445,1.179073,0.597260
1.294555,1.503924,0.561756,-0.950004,0.408182,3.856405,-1.060557,1.226284,0.567711
1.394136,1.583711,0.621314,-0.909003,0.415425,3.828921,-1.038723,1.282808,0.550675
1.493717,1.661004,0.684150,-0.867296,0.422205,3.801811,-0.990296,1.345946,0.537767
1.593298,1.735531,0.750130,-0.824855,0.430784,3.775783,-0.945275,1.363099,0.514396
1.692880,1.807202,0.819285,-0.781528,0.439108,3.750769,-0.925976,1.332133,0.505466
1.792461,1.875750,0.891474,-0.737429,0.446549,3.726104,-0.923883,1.297530,0.502893
1.892042,1.941035,0.966645,-0.692740,0.451302,3.701331,-0.945534,1.265954,0.495904
1.991623,2.002889,1.044691,-0.647501,0.457185,3.675804,-0.949562,1.241622,0.493422
2.091204,2.061131,1.125468,-0.601857,0.459669,3.649989,-1.008091,1.200515,0.506341
2.190785,2.115602,1.208806,-0.555905,0.463816,3.622381,-1.033396,1.146230,0.524971
2.290366,2.166166,1.294581,-0.509256,0.473128,3.593860,-1.016483,1.097375,0.541761
2.389948,2.212635,1.382645,-0.461678,0.482303,3.565583,-1.007744,1.060054,0.548741
2.489529,2.254820,1.472829,-0.413235,0.491055,3.537327,-0.975716,1.035693,0.553681
2.589110,2.292552,1.564986,-0.363815,0.501715,3.509751,-0.914683,1.020041,0.548082
2.688691,2.325629,1.658899,-0.313244,0.514159,3.483703,-0.837322,0.987263,0.526010
2.788272,2.353855,1.754385,-0.261387,0.527443,3.459685,-0.738855,0.958850,0.515242
2.887853,2.377027,1.851213,-0.208156,0.542030,3.438353,-0.611990,0.935558,0.518367
2.987434,2.394943,1.949166,-0.153379,0.558260,3.420582,-0.449471,0.927334,0.502033
3.087016,2.407386,2.047954,-0.096904,0.576369,3.407472,-0.257574,0.935267,0.497131
3.186597,2.414139,2.147291,-0.038525,0.595417,3.399936,-0.153663,0.948384,0.503879
3.286178,2.415006,2.246841,0.021272,0.605944,3.395433,-0.056391,0.947536,0.504742
3.385759,2.409867,2.346284,0.082185,0.614956,3.393779,-0.032660,0.952694,0.499622
3.485340,2.398682,2.445209,0.142771,0.602503,3.392820,0.114573,0.964639,0.490933
3.584921,2.381581,2.543304,0.202283,0.592363,3.396181,0.218183,0.992251,0.496354
3.684502,2.358749,2.640166,0.260412,0.575519,3.402573,0.388203,1.034051,0.507953
3.784084,2.330380,2.735653,0.316882,0.558971,3.413915,0.537898,1.081723,0.517778
3.883665,2.296755,2.829343,0.372174,0.552626,3.429569,0.554490,1.115530,0.522161
3.983246,2.257996,2.921104,0.427084,0.546799,3.445632,0.564523,1.154567,0.528764
4.082827,2.214358,3.010591,0.479768,0.511426,3.461908,0.928882,1.198060,0.538238
