s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
0.000000,0.208701,0.091886,1.667037,-0.360161,4.187835,-0.878655,0.897149,0.803367
0.099397,0.109612,0.084107,1.631245,-0.360085,4.166928,-0.944550,0.904910,0.795585
0.198794,0.010312,0.079880,1.595438,-0.360501,4.144336,-1.006821,0.909128,0.791357
0.298191,-0.089081,0.079213,1.559562,-0.361427,4.120118,-1.065122,0.909791,0.790689
0.397588,-0.188427,0.082116,1.523572,-0.362839,4.094341,-1.119792,0.915523,0.793592
0.496985,-0.287612,0.088601,1.487420,-0.364629,4.067066,-1.173017,0.928370,0.771375
0.596382,-0.386487,0.098674,1.451069,-0.366915,4.038296,-1.222837,0.941131,0.764468
0.695779,-0.484940,0.112348,1.414466,-0.369630,4.008085,-1.271468,0.937855,0.774018
0.795176,-0.582812,0.129628,1.377571,-0.372847,3.976428,-1.306855,0.941447,0.791250
0.894573,-0.679989,0.150525,1.340333,-0.376482,3.943626,-1.335589,0.938643,0.807354
0.993969,-0.776303,0.175040,1.302711,-0.380637,3.909819,-1.360010,0.914273,0.804779
1.093366,-0.871634,0.203184,1.264650,-0.385249,3.875090,-1.381377,0.887197,0.818119
1.192763,-0.965804,0.234954,1.226107,-0.390404,3.839494,-1.398558,0.866918,0.846644
1.292160,-1.058682,0.270358,1.187023,-0.396062,3.803115,-1.412416,0.849902,0.855192
1.391557,-1.150083,0.309386,1.147353,-0.402296,3.766020,-1.421308,0.831164,0.859598
1.490954,-1.239860,0.352041,1.107030,-0.409112,3.728318,-1.436754,0.800244,0.879207
1.590351,-1.327819,0.398306,1.066003,-0.416555,3.689816,-1.457876,0.776845,0.900242
1.689748,-1.413794,0.448177,1.024199,-0.424697,3.650332,-1.475919,0.754103,0.928451
1.789145,-1.497582,0.501628,0.981554,-0.433609,3.609920,-1.490659,0.722310,0.969869
1.888542,-1.578992,0.558642,0.937966,-0.443558,3.568639,-1.498586,0.687770,1.022903
1.987939,-1.657806,0.619187,0.893354,-0.454352,3.526652,-1.494837,0.661595,1.069571
2.087336,-1.733806,0.683229,0.847611,-0.466212,3.484266,-1.472968,0.632107,1.118570
2.186733,-1.806756,0.750722,0.800652,-0.478973,3.441990,-1.440754,0.605964,1.143904
2.286130,-1.876410,0.821610,0.752356,-0.493009,3.400130,-1.397601,0.582854,1.066319
2.385527,-1.942509,0.895826,0.702614,-0.508354,3.359025,-1.336745,0.571323,0.992709
2.484924,-2.004771,0.973283,0.651243,-0.525527,3.319233,-1.243113,0.565912,0.911524
2.584321,-2.062903,1.053884,0.598076,-0.545690,3.281796,-1.106358,0.562821,0.837811
2.683718,-2.116577,1.137519,0.542662,-0.569546,3.248115,-0.933171,0.551753,0.774091
2.783114,-2.165435,1.224063,0.484775,-0.596869,3.219432,-0.682283,0.538978,0.723427
2.882511,-2.209072,1.313353,0.423840,-0.629624,3.198298,-0.420860,0.538490,0.659253
2.981908,-2.247040,1.405199,0.359634,-0.660780,3.185191,-0.131049,0.530492,0.604526
3.081305,-2.278895,1.499334,0.292465,-0.691182,3.181099,-0.039090,0.507118,0.564749
3.180702,-2.304220,1.595427,0.222721,-0.702246,3.179877,-0.039090,0.490998,0.534483
3.280099,-2.322786,1.693061,0.153202,-0.697183,3.178655,0.003408,0.487820,0.515847
