s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
0.000000,8.531899,0.097890,-1.292515,0.271663,4.347394,-1.924272,0.868857,0.697497
0.099961,8.627634,0.126672,-1.264805,0.282766,4.302921,-1.851404,0.902124,0.690668
0.199923,8.722499,0.158142,-1.235973,0.294194,4.259694,-1.756886,0.933637,0.671284
0.299884,8.816422,0.192397,-1.205983,0.305806,4.218264,-1.650943,0.967974,0.642668
0.399845,8.909223,0.229494,-1.174823,0.317800,4.178958,-1.541772,1.005209,0.624476
0.499807,9.000835,0.269537,-1.142441,0.330017,4.141915,-1.423380,1.045462,0.610275
0.599768,9.091033,0.312558,-1.108828,0.342736,4.107419,-1.294212,1.088793,0.587169
0.699730,9.179755,0.358671,-1.073900,0.355977,4.075800,-1.150710,1.135080,0.568304
0.799691,9.266721,0.407879,-1.037640,0.369851,4.047480,-0.987810,1.183804,0.542869
0.899652,9.351871,0.460307,-0.999927,0.384530,4.023010,-0.805071,1.235892,0.528103
0.999614,9.434876,0.515923,-0.960742,0.399881,4.002956,-0.598205,1.291360,0.521865
1.099575,9.515677,0.574875,-0.919969,0.415634,3.987990,-0.349136,1.350413,0.517973
1.199536,9.593855,0.637050,-0.877593,0.432996,3.979229,-0.228830,1.413007,0.510199
1.299498,9.669388,0.702633,-0.833844,0.441738,3.973476,-0.095156,1.478533,0.501382
1.399459,9.741839,0.771379,-0.789263,0.450693,3.971082,-0.026768,1.436852,0.504003
1.499420,9.811217,0.843380,-0.744537,0.443839,3.970408,0.083484,1.373187,0.502150
1.599382,9.877289,0.918338,-0.700534,0.436591,3.972509,0.191090,1.306479,0.499873
1.699343,9.940082,0.996161,-0.657501,0.424381,3.977315,0.369000,1.243440,0.513062
1.799304,9.999468,1.076513,-0.615619,0.414051,3.986578,0.504660,1.184156,0.536934
1.899266,10.055532,1.159324,-0.574840,0.401393,3.999212,0.669131,1.128471,0.561330
1.999227,10.108176,1.244233,-0.535379,0.388738,4.015902,0.817697,1.076257,0.594321
2.099189,10.157518,1.331194,-0.496990,0.379203,4.036205,0.906862,1.005111,0.623640
2.199150,10.203503,1.419913,-0.459547,0.370168,4.058602,0.984031,0.942262,0.639093
2.299111,10.246198,1.510322,-0.423006,0.360788,4.082766,1.064431,0.889415,0.665832
2.399073,10.285583,1.602162,-0.387402,0.352065,4.108745,1.131548,0.848493,0.702592
2.499034,10.321728,1.695372,-0.352552,0.345110,4.136183,1.167325,0.812147,0.735230
