s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
0.000000,8.435357,0.082071,1.821567,-0.256215,4.367996,2.078869,0.696290,0.827550
0.099910,8.338280,0.058504,1.796536,-0.244934,4.415291,2.156538,0.716479,0.788422
0.199820,8.240635,0.037315,1.772619,-0.233833,4.463823,2.235404,0.747295,0.762872
0.299730,8.142539,0.018416,1.749807,-0.222875,4.513578,2.329289,0.787562,0.743945
0.399640,8.044030,0.001703,1.728079,-0.212062,4.564847,2.460375,0.823814,0.727214
0.499550,7.945203,-0.012917,1.707431,-0.201297,4.618383,2.595602,0.838366,0.712580
0.599460,7.846091,-0.025548,1.687852,-0.190637,4.674197,2.734391,0.850946,0.699940
0.699370,7.746764,-0.036288,1.669337,-0.180019,4.732283,2.878686,0.861649,0.661643
0.799280,7.647254,-0.045240,1.651879,-0.169475,4.792673,3.009775,0.870575,0.634244
0.899190,7.547611,-0.052506,1.635473,-0.158944,4.855011,3.140280,0.877822,0.623562
0.999100,7.447863,-0.058189,1.620117,-0.148463,4.919209,3.277858,0.883493,0.617878
1.099010,7.348042,-0.062392,1.605807,-0.137983,4.985339,3.424259,0.887687,0.593083
1.198920,7.248173,-0.065218,1.592544,-0.127534,5.053498,3.588014,0.890508,0.572282
1.298830,7.148274,-0.066772,1.580325,-0.117066,5.123943,3.764875,0.901624,0.561021
1.398740,7.048367,-0.067157,1.569151,-0.106615,5.196835,3.952230,0.922351,0.560383
1.498650,6.948458,-0.066478,1.559022,-0.096149,5.272270,4.144050,0.942045,0.561060
1.598560,6.848563,-0.064839,1.549938,-0.085691,5.350223,4.329029,0.940410,0.562692
1.698470,6.748682,-0.062345,1.541900,-0.075220,5.430462,4.527890,0.937922,0.565174
1.798380,6.648828,-0.059101,1.534908,-0.064751,5.513137,4.754458,0.935362,0.558871
1.898290,6.548990,-0.055210,1.528962,-0.054273,5.598635,5.070229,0.942796,0.536396
1.998200,6.449182,-0.050779,1.524063,-0.043793,5.688396,5.405576,0.959544,0.525566
2.098109,6.349387,-0.045910,1.520212,-0.033292,5.782559,5.726015,0.970755,0.530433
2.198019,6.249616,-0.040710,1.517410,-0.022882,5.880660,5.931872,0.965561,0.528359
2.297929,6.149851,-0.035279,1.515550,-0.014355,5.980591,5.875566,0.960136,0.502454
2.397839,6.050100,-0.029705,1.514541,-0.006192,6.077954,5.820633,0.957298,0.495846
2.497749,5.950348,-0.024059,1.513994,-0.004750,6.172893,5.766997,0.956953,0.501494
2.597659,5.850602,-0.018365,1.513591,-0.003394,6.265538,5.714590,0.964596,0.507190
2.697569,5.750856,-0.012636,1.513248,-0.003476,6.356009,5.663348,0.982358,0.512921
2.797479,5.651113,-0.006872,1.512897,-0.003558,6.444416,5.613214,1.009707,0.518687
2.897389,5.551371,-0.001073,1.512538,-0.003627,6.530860,5.564135,1.045889,0.524489
2.997299,5.451632,0.004763,1.512172,-0.003696,6.615434,5.516063,1.075220,0.530326
3.097209,5.351895,0.010635,1.511799,-0.003772,6.698222,5.468951,1.111483,0.536201
3.197119,5.252160,0.016545,1.511418,-0.003847,6.779306,5.422758,1.155241,0.542113
3.297029,5.152427,0.022493,1.511031,-0.003913,6.858758,5.377445,1.205675,0.548064
3.396939,5.052696,0.028480,1.510636,-0.003981,6.936648,5.332976,1.261986,0.554053
3.496849,4.952968,0.034507,1.510234,-0.004067,7.013039,5.289316,1.323422,0.560083
3.596759,4.853243,0.040575,1.509824,-0.004149,7.087992,5.246436,1.389304,0.550512
3.696669,4.753520,0.046684,1.509407,-0.004183,7.161562,5.204303,1.455154,0.530180
3.796579,4.653799,0.052834,1.508988,-0.004209,7.233802,5.162892,1.523479,0.528324
3.896489,4.554081,0.059026,1.508570,-0.004160,7.304762,5.122176,1.595110,0.534513
3.996399,4.454366,0.065260,1.508157,-0.004113,7.374487,5.082130,1.665266,0.540743
4.096309,4.354653,0.071535,1.507748,-0.004069,7.443021,5.042731,1.602508,0.525908
4.196219,4.254943,0.077850,1.507344,-0.004025,7.510406,5.003957,1.543636,0.508457
4.296129,4.155235,0.084205,1.506944,-0.003983,7.576681,4.965789,1.480125,0.510374
4.396039,4.055530,0.090600,1.506548,-0.003941,7.641882,4.928205,1.419693,0.516750
4.495949,3.955828,0.097034,1.506156,-0.003898,7.706044,4.891188,1.363876,0.523165
4.595859,3.856128,0.103507,1.505769,-0.003856,7.769200,4.854721,1.313264,0.529619
