s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
0.000000,3.463162,0.787253,-1.206184,0.284013,4.955368,-0.094928,1.212759,0.520897
0.099890,3.555959,0.824166,-1.178411,0.272177,4.953454,0.183429,1.249765,0.533028
0.199781,3.647751,0.863603,-1.151804,0.260323,4.957151,0.463804,1.289349,0.555695
0.299671,3.738474,0.905370,-1.127408,0.228254,4.966488,1.228324,1.331333,0.561892
0.399561,3.828244,0.949207,-1.106192,0.196327,4.991132,1.961368,1.375466,0.583158
0.499451,3.917135,0.994767,-1.088935,0.149196,5.030233,3.071958,1.420801,0.610935
0.599342,4.005341,1.041648,-1.076384,0.102666,5.090871,4.180689,1.467381,0.640306
0.699232,4.093016,1.089456,-1.067100,0.083237,5.172251,4.607126,1.514991,0.643149
0.799122,4.180338,1.138018,-1.059760,0.063563,5.260475,-0.978534,1.563460,0.660295
0.899013,4.267308,1.187101,-1.054619,0.039427,5.241861,-5.949113,1.615144,0.690995
0.998903,4.354130,1.236552,-1.051879,0.015318,5.127240,-6.638400,1.580107,0.733783
1.098793,4.440845,1.286111,-1.051770,-0.013145,4.996235,-6.081053,1.495837,0.766414
1.198683,4.527646,1.335568,-1.054503,-0.041467,4.873140,-5.574671,1.413505,0.773057
1.298574,4.614624,1.384655,-1.059910,-0.066794,4.757497,-5.068763,1.332688,0.792729
1.398464,4.701957,1.433177,-1.067848,-0.092195,4.649853,-4.553473,1.250451,0.820222
1.498354,4.789715,1.480878,-1.078441,-0.119904,4.550983,-4.115727,1.170411,0.848615
1.598245,4.878048,1.527530,-1.091804,-0.147610,4.459731,-3.768306,1.092845,0.878179
1.698135,4.967053,1.572873,-1.107898,-0.174642,4.374513,-3.442678,1.018159,0.911778
1.798025,5.056836,1.616656,-1.126697,-0.201770,4.295182,-3.109829,0.946850,0.941324
1.897915,5.147488,1.658623,-1.148227,-0.229325,4.222239,-2.761150,0.879550,0.956457
1.997806,5.239065,1.698496,-1.172518,-0.257081,4.156402,-2.419425,0.817074,0.949836
2.097696,5.331655,1.736013,-1.199596,-0.285062,4.097844,-2.077218,0.760388,0.938554
2.197586,5.425248,1.770867,-1.229479,-0.313388,4.046892,-1.721884,0.710699,0.903711
2.297476,5.519920,1.802786,-1.262237,-0.342453,4.004165,-1.336649,0.666784,0.876389
2.397367,5.615586,1.831435,-1.297912,-0.372031,3.970680,-0.943117,0.621005,0.863281
2.497257,5.712301,1.856523,-1.336536,-0.401240,3.946883,-0.520809,0.570762,0.865332
2.597147,5.809881,1.877702,-1.378101,-0.430921,3.933680,-0.305520,0.530309,0.870297
2.697038,5.908341,1.894696,-1.421926,-0.446414,3.925914,-0.092041,0.502357,0.880097
2.796928,6.007393,1.907275,-1.467311,-0.460759,3.923571,-0.026984,0.488967,0.867502
2.896818,6.106949,1.915373,-1.511263,-0.419201,3.922884,0.614837,0.491282,0.859398
2.996708,6.206751,1.919296,-1.551064,-0.376360,3.938509,1.232593,0.496457,0.855473
3.096599,6.306612,1.919518,-1.584800,-0.299232,3.969647,2.364668,0.510935,0.855250
3.196489,6.406483,1.916753,-1.610850,-0.222077,4.028711,-0.945802,0.540956,0.835978
3.296379,6.506197,1.911786,-1.628928,-0.140070,4.005192,-4.924977,0.538856,0.827033
3.396270,6.605930,1.905418,-1.638835,-0.058228,3.880419,-6.291586,0.532494,0.821419
3.496160,6.705488,1.898480,-1.640545,0.023832,3.714931,-5.821350,0.525551,0.826983
3.596050,6.805239,1.891766,-1.634094,0.105108,3.554957,-4.964561,0.518847,0.833681
3.695940,6.904838,1.886114,-1.619511,0.187013,3.412608,-4.231981,0.513189,0.839313
3.795831,7.004784,1.882313,-1.596767,0.267498,3.286401,-3.620522,0.509404,0.843111
3.895721,7.104503,1.881187,-1.566070,0.347905,3.174448,-3.104851,0.508268,0.829230
3.995611,7.204529,1.883534,-1.527290,0.426856,3.075196,-2.652571,0.528110,0.803528
4.095502,7.304012,1.890118,-1.480849,0.504712,2.987791,-2.253217,0.566869,0.773544
4.195392,7.403389,1.901748,-1.426448,0.582319,2.911486,-1.876183,0.578507,0.739434
4.295282,7.501593,1.919076,-1.364569,0.659096,2.846388,-1.471655,0.595910,0.712105
4.395172,7.598723,1.942897,-1.294677,0.738469,2.794265,-0.976433,0.620891,0.682164
4.495063,7.693639,1.973759,-1.216763,0.824342,2.759138,-0.319461,0.657626,0.654444
4.594953,7.785798,2.012374,-1.129691,0.918845,2.747548,-0.316787,0.709232,0.633023
4.694843,7.874078,2.059181,-1.036884,0.927010,2.736007,-0.300491,0.777015,0.617923
4.794734,7.957578,2.113923,-0.943959,0.936728,2.725014,-0.297630,0.840141,0.609538
4.894624,8.035757,2.176357,-0.849798,0.942664,2.714082,-0.272274,0.901909,0.603605
4.994514,8.107489,2.245660,-0.755215,0.955211,2.704042,-0.257490,0.971190,0.578395
5.094404,8.172458,2.321675,-0.659094,0.964021,2.694514,-0.212778,1.011079,0.560246
5.194295,8.229660,2.403372,-0.562394,0.975847,2.686614,-0.192568,0.957921,0.542705
5.294185,8.278744,2.490424,-0.464312,0.983868,2.679445,-0.144077,0.921580,0.522708
5.394075,8.318970,2.581706,-0.365665,0.994531,2.674068,-0.122711,0.904685,0.511619
5.493965,8.349997,2.676674,-0.265816,1.000911,2.669480,-0.070801,0.887360,0.509921
5.593856,8.371355,2.774128,-0.165530,1.010101,2.666829,-0.042698,0.880735,0.499758
5.693746,8.382803,2.873304,-0.064247,1.015213,2.665230,-0.027440,0.895327,0.499374
5.793636,8.384153,2.973086,0.037229,1.018115,2.664201,-0.027440,0.899363,0.506327
5.893527,8.375386,3.072417,0.138804,1.016570,2.663172,-0.010645,0.908131,0.505983
5.993417,8.356569,3.170507,0.240219,1.013512,2.662773,0.013550,0.926951,0.515132
