s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
0.000000,3.374969,0.754156,1.908316,-0.271882,5.056263,-0.098833,0.511107,1.179591
0.099912,3.280241,0.722336,1.881542,-0.263916,5.054310,0.102869,0.516086,1.112645
0.199824,3.184746,0.693036,1.855585,-0.255771,5.056343,0.305496,0.537328,1.036882
0.299736,3.088515,0.666180,1.830463,-0.247115,5.062376,0.511152,0.558395,0.967379
0.399648,2.991648,0.641707,1.806204,-0.238496,5.072454,0.706752,0.562095,0.905574
0.499560,2.894236,0.619552,1.782807,-0.229901,5.086356,0.894133,0.560967,0.853118
0.599472,2.796322,0.599635,1.760262,-0.221380,5.103889,1.073391,0.575164,0.807771
0.699384,2.698014,0.581894,1.738562,-0.213075,5.124859,1.242086,0.603670,0.768271
0.799296,2.599323,0.566245,1.717682,-0.204846,5.149017,1.405125,0.644666,0.722738
0.899208,2.500363,0.552623,1.697627,-0.196690,5.176210,1.563600,0.672768,0.687024
0.999120,2.401121,0.540944,1.678376,-0.188612,5.206304,1.718264,0.684399,0.666477
1.099032,2.301709,0.531141,1.659936,-0.180586,5.239174,1.870724,0.694168,0.656684
1.198944,2.202103,0.523131,1.642289,-0.172635,5.274729,2.012419,0.702156,0.648680
1.298856,2.102406,0.516841,1.625440,-0.164702,5.312710,2.149982,0.708429,0.619654
1.398768,2.002588,0.512192,1.609375,-0.156836,5.352991,2.286649,0.713069,0.594729
1.498680,1.902738,0.509108,1.594101,-0.148973,5.395502,2.424928,0.716147,0.584600
1.598592,1.802826,0.507510,1.579605,-0.141167,5.440220,2.563776,0.717743,0.583003
1.698504,1.702925,0.507321,1.565893,-0.133354,5.487103,2.705736,0.717931,0.559482
1.798415,1.603010,0.508464,1.552956,-0.125589,5.536151,2.886529,0.716789,0.538591
1.898327,1.503134,0.510860,1.540798,-0.117812,5.588002,3.086555,0.714393,0.537075
1.998239,1.403279,0.514432,1.529413,-0.110072,5.642919,3.291708,0.710822,0.540640
2.098151,1.303481,0.519101,1.518803,-0.102319,5.700903,3.504359,0.706152,0.531857
2.198063,1.203727,0.524791,1.508966,-0.094592,5.761992,3.710409,0.700461,0.517211
2.297975,1.104037,0.531423,1.499902,-0.086856,5.825975,3.866541,0.693825,0.509391
2.397887,1.004405,0.538920,1.491610,-0.079124,5.891910,4.030362,0.686323,0.516673
2.497799,0.904837,0.547204,1.484100,-0.071202,5.959863,4.209371,0.689734,0.524889
2.597711,0.805331,0.556196,1.477382,-0.063238,6.030017,4.401359,0.706694,0.499107
2.697623,0.705882,0.565815,1.471497,-0.054559,6.102508,4.633027,0.724425,0.492257
2.797535,0.606490,0.575977,1.466480,-0.045869,6.177895,4.876799,0.741730,0.502430
2.897447,0.507142,0.586593,1.462340,-0.037000,6.256268,5.145061,0.762379,0.513060
2.997359,0.407837,0.597577,1.459086,-0.028203,6.337902,5.481595,0.780352,0.518430
3.097271,0.308561,0.608842,1.456656,-0.020431,6.423734,5.624949,0.810070,0.497269
3.197183,0.209311,0.620310,1.455002,-0.012971,6.510634,5.575624,0.830966,0.495933
3.297095,0.110074,0.631912,1.453860,-0.009898,6.595642,5.527317,0.850472,0.507550
3.397007,0.010850,0.643613,1.453024,-0.006908,6.678846,5.479982,0.861750,0.519265
3.496919,-0.088367,0.655384,1.452425,-0.005079,6.760327,5.433575,0.870533,0.515058
3.596831,-0.187576,0.667205,1.452009,-0.003250,6.840159,5.388057,0.869990,0.501824
3.696743,-0.286783,0.679059,1.451776,-0.001421,6.918413,5.343391,0.880821,0.504507
3.796655,-0.385987,0.690926,1.451725,0.000386,6.995154,5.299542,0.886181,0.516369
3.896567,-0.485193,0.702790,1.451840,0.001913,7.070442,5.256480,0.887490,0.509871
3.996479,-0.584400,0.714635,1.452107,0.003348,7.144335,5.214173,0.899977,0.496180
4.096391,-0.683611,0.726449,1.452453,0.003581,7.216886,5.172593,0.902190,0.502348
4.196303,-0.782826,0.738227,1.452822,0.003789,7.288144,5.131714,0.905410,0.514087
4.296215,-0.882046,0.749968,1.453195,0.003678,7.358158,5.091511,0.919576,0.520775
4.396127,-0.981270,0.761673,1.453557,0.003567,7.426971,5.051961,0.926576,0.509636
4.496039,-1.080498,0.773342,1.453908,0.003456,7.494624,5.013041,0.931852,0.502409
4.595951,-1.179730,0.784977,1.454248,0.003345,7.561159,4.974731,0.947725,0.511895
4.695863,-1.278966,0.796579,1.454577,0.003236,7.626611,4.937011,0.973675,0.523415
4.795775,-1.378206,0.808149,1.454895,0.003126,7.691016,4.899861,1.001670,0.503853
4.895687,-1.477449,0.819688,1.455202,0.003021,7.754407,4.863265,1.028475,0.496920
4.995599,-1.576696,0.831196,1.455498,0.002917,7.816817,4.827205,1.055929,0.508443
5.095511,-1.675946,0.842676,1.455784,0.002813,7.878275,4.791666,1.068151,0.519936
5.195422,-1.775200,0.854128,1.456060,0.002709,7.938810,4.756632,1.070440,0.528985
5.295334,-1.874457,0.865553,1.456326,0.002606,7.998450,4.722088,1.059014,0.506405
5.395246,-1.973716,0.876953,1.456581,0.002502,8.057219,4.688022,1.052484,0.502996
5.495158,-2.072978,0.888327,1.456826,0.002399,8.115144,4.654419,1.055440,0.514388
5.595070,-2.172244,0.899678,1.457060,0.002295,8.172247,4.621267,1.067801,0.525756
5.694982,-2.271511,0.911006,1.457285,0.002191,8.228552,4.588554,1.063747,0.527330
5.794894,-2.370782,0.922312,1.457498,0.002088,8.284079,4.556269,1.052431,0.509003
5.894806,-2.470054,0.933597,1.457702,0.001984,8.338850,4.524400,1.047703,0.509083
5.994718,-2.569329,0.944863,1.457895,0.001881,8.392884,4.492938,1.052500,0.520356
6.094630,-2.668606,0.956110,1.458078,0.001777,8.446201,4.461871,1.066694,0.524698
6.194542,-2.767885,0.967339,1.458250,0.001673,8.498817,4.431190,1.057889,0.508365
6.294454,-2.867165,0.978552,1.458412,0.001570,8.550751,4.400886,1.046661,0.511381
6.394366,-2.966448,0.989750,1.458564,0.001470,8.602020,4.370950,1.035448,0.515290
6.494278,-3.065732,1.000932,1.458707,0.001409,8.652640,4.341373,1.024250,0.526459
6.594190,-3.165018,1.012101,1.458845,0.001347,8.702625,4.312147,1.021404,0.515916
6.694102,-3.264305,1.023256,1.458977,0.001288,8.751991,4.283265,1.028317,0.503662
