# 22dc739d-a7a1-4e0e-a111-d4870d24be91
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.5095300; -0.5300264; -2.2231101; 0.0000287; 38.9687023; 4.2024650
1.9993416; -0.9206569; -1.7436339; -2.2230531; 0.0000283; 39.1837222; 4.1812113
3.9986831; 0.6682859; -2.9571525; -2.2229970; 0.0000278; 39.3964900; 4.1601234
5.9980247; 2.2572974; -4.1705834; -2.2229418; 0.0000274; 39.6070503; 4.1391985
7.9973662; 3.8463732; -5.3839257; -2.2228875; 0.0000269; 39.8154465; 4.1184341
9.9967078; 5.4355153; -6.5971833; -2.2228341; 0.0000265; 40.0217203; 4.0983707
11.9960493; 7.0247228; -7.8103575; -2.2227816; 0.0000260; 40.2259391; 4.0830227
13.9953909; 8.6139912; -9.0234475; -2.2227300; 0.0000256; 40.4283674; 4.0677578
15.9947324; 10.2033228; -10.2364570; -2.2226794; 0.0000251; 40.6290360; 4.0525750
17.9940740; 11.7927163; -11.4493873; -2.2226296; 0.0000247; 40.8279748; 4.0374734
19.9934156; 13.3821676; -12.6622378; -2.2225807; 0.0000242; 41.0252131; 4.0224521
21.9927571; 14.9716787; -13.8750121; -2.2225327; 0.0000238; 41.2207790; 4.0075101
23.9920987; 16.5612482; -15.0877115; -2.2224857; 0.0000233; 41.4147001; 3.9926466
25.9914402; 18.1508726; -16.3003354; -2.2224395; 0.0000229; 41.6070031; 3.9778607
27.9907818; 19.7405532; -17.5128874; -2.2223942; 0.0000224; 41.7977142; 3.9631516
29.9901233; 21.3302890; -18.7253686; -2.2223499; 0.0000220; 41.9868587; 3.9485183
31.9894649; 22.9200764; -19.9377789; -2.2223064; 0.0000215; 42.1744612; 3.9339602
33.9888064; 24.5099169; -21.1501215; -2.2222638; 0.0000211; 42.3605457; 3.9194765
35.9881480; 26.0998090; -22.3623976; -2.2222222; 0.0000206; 42.5451358; 3.9050662
37.9874896; 27.6897496; -23.5746071; -2.2221814; 0.0000202; 42.7282541; 3.8907288
39.9868311; 29.2797399; -24.7867531; -2.2221416; 0.0000197; 42.9099230; 3.8764635
41.9861727; 30.8697784; -25.9988369; -2.2221026; 0.0000193; 43.0901641; 3.8622695
43.9855142; 32.4598625; -27.2108586; -2.2220646; 0.0000188; 43.2689985; 3.8481461
45.9848558; 34.0499927; -28.4228210; -2.2220275; 0.0000183; 43.4464469; 3.8340927
47.9841973; 35.6401678; -29.6347254; -2.2219912; 0.0000179; 43.6225294; 3.8201086
49.9835389; 37.2303853; -30.8465722; -2.2219559; 0.0000174; 43.7972656; 3.8061931
51.9828805; 38.8206457; -32.0583638; -2.2219215; 0.0000170; 43.9706747; 3.7923455
53.9822220; 40.4109475; -33.2701017; -2.2218879; 0.0000165; 44.1427755; 3.7678571
55.9815636; 42.0012887; -34.4817865; -2.2218553; 0.0000161; 44.3131029; 3.7414078
57.9809051; 43.5916692; -35.6934204; -2.2218236; 0.0000156; 44.4815894; 3.7152087
59.9802467; 45.1820879; -36.9050047; -2.2217928; 0.0000152; 44.6482669; 3.6892560
61.9795882; 46.7725428; -38.1165403; -2.2217629; 0.0000147; 44.8131666; 3.6635459
63.9789298; 48.3630337; -39.3280293; -2.2217338; 0.0000143; 44.9763189; 3.6380748
65.9782713; 49.9535594; -40.5394730; -2.2217057; 0.0000138; 45.1377533; 3.6128392
67.9776129; 51.5441183; -41.7508724; -2.2216785; 0.0000134; 45.2974985; 3.5878355
69.9769545; 53.1347097; -42.9622295; -2.2216522; 0.0000129; 45.4555826; 3.5630605
71.9762960; 54.7253324; -44.1735453; -2.2216268; 0.0000125; 45.6120328; 3.5385108
73.9756376; 56.3159854; -45.3848215; -2.2216023; 0.0000120; 45.7668758; 3.5141831
75.9749791; 57.9066675; -46.5960595; -2.2215787; 0.0000116; 45.9201375; 3.4900744
77.9743207; 59.4973775; -47.8072605; -2.2215560; 0.0000111; 46.0718431; 3.4661815
79.9736622; 61.0881147; -49.0184264; -2.2215343; 0.0000107; 46.2220173; 3.4425015
81.9730038; 62.6788776; -50.2295582; -2.2215134; 0.0000102; 46.3706843; 3.4190313
83.9723453; 64.2696650; -51.4406573; -2.2214934; 0.0000098; 46.5178674; 3.3957683
85.9716869; 65.8604766; -52.6517258; -2.2214743; 0.0000093; 46.6635895; 3.3727094
87.9710285; 67.4513104; -53.8627644; -2.2214561; 0.0000089; 46.8078731; 3.3498521
89.9703700; 69.0421653; -55.0737744; -2.2214388; 0.0000084; 46.9507399; 3.3271935
91.9697116; 70.6330415; -56.2847584; -2.2214225; 0.0000080; 47.0922114; 3.3047311
93.9690531; 72.2239365; -57.4957167; -2.2214070; 0.0000075; 47.2323083; 3.2824623
95.9683947; 73.8148491; -58.7066507; -2.2213924; 0.0000071; 47.3710510; 3.2603846
97.9677362; 75.4057799; -59.9175631; -2.2213788; 0.0000066; 47.5084594; 3.2384955
99.9670778; 76.9967262; -61.1284540; -2.2213660; 0.0000062; 47.6445530; 3.2167926
101.9664193; 78.5876867; -62.3393248; -2.2213542; 0.0000057; 47.7793508; 3.1952734
103.9657609; 80.1786624; -63.5501786; -2.2213432; 0.0000053; 47.9128715; 3.1739358
105.9651025; 81.7696501; -64.7610151; -2.2213331; 0.0000048; 48.0451331; 3.1516491
107.9644440; 83.3606486; -65.9718357; -2.2213240; 0.0000044; 48.1761067; 3.1274009
109.9637856; 84.9516593; -67.1826437; -2.2213158; 0.0000039; 48.3057217; 3.1033831
111.9631271; 86.5426786; -68.3934387; -2.2213084; 0.0000034; 48.4339983; 3.0795926
113.9624687; 88.1337052; -69.6042220; -2.2213020; 0.0000030; 48.5609566; 3.0560264
115.9618102; 89.7247412; -70.8149972; -2.2212964; 0.0000025; 48.6866161; 3.0326814
117.9611518; 91.3157822; -72.0257636; -2.2212918; 0.0000021; 48.8109959; 3.0095547
119.9604934; 92.9068272; -73.2365225; -2.2212881; 0.0000016; 48.9341146; 2.9866434
