# 601e5e36-2d6f-4b27-8f1e-974b1800d3a0
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.3913322; 2.9256235; -1.1542532; -0.0000254; 56.7899308; 1.4868322
1.9990610; -0.5631860; 3.7343915; -1.1543151; -0.0000365; 56.8422446; 1.4700384
3.9981220; 1.2650220; 4.5430273; -1.1543992; -0.0000477; 56.8939203; 1.4534461
5.9971829; 3.0933157; 5.3514925; -1.1545058; -0.0000589; 56.9449666; 1.4370526
7.9962439; 4.9216917; 6.1597367; -1.1546347; -0.0000701; 56.9953922; 1.4208552
9.9953049; 6.7501869; 6.9677274; -1.1547861; -0.0000813; 57.0452056; 1.4048514
11.9943659; 8.5788202; 7.7754236; -1.1549600; -0.0000926; 57.0944152; 1.3890385
13.9934268; 10.4075901; 8.5827756; -1.1551563; -0.0001038; 57.1430293; 1.3734141
15.9924878; 12.2365339; 9.3897508; -1.1553752; -0.0001151; 57.1910559; 1.3579755
17.9915488; 14.0656700; 10.1963079; -1.1556166; -0.0001264; 57.2385030; 1.3427204
19.9906098; 15.8949968; 11.0023970; -1.1558806; -0.0001377; 57.2853785; 1.3276463
21.9896708; 17.7245519; 11.8079855; -1.1561671; -0.0001490; 57.3316900; 1.3127508
23.9887317; 19.5543535; 12.6130318; -1.1564764; -0.0001604; 57.3774452; 1.2980317
25.9877927; 21.3844001; 13.4174859; -1.1568081; -0.0001715; 57.4226515; 1.2834866
27.9868537; 23.2147286; 14.2213152; -1.1571622; -0.0001831; 57.4673163; 1.2691132
29.9859147; 25.0453579; 15.0244774; -1.1575404; -0.0001953; 57.5114468; 1.2549092
31.9849757; 26.8762842; 15.8269220; -1.1579370; -0.0002014; 57.5550501; 1.2408726
33.9840366; 28.7075407; 16.6286329; -1.1583448; -0.0002059; 57.5981332; 1.2270011
35.9830976; 30.5391370; 17.4295946; -1.1587594; -0.0002089; 57.6407031; 1.2132926
37.9821586; 32.3710495; 18.2297831; -1.1591806; -0.0002125; 57.6827664; 1.1997449
39.9812196; 34.2033112; 19.0291975; -1.1596089; -0.0002160; 57.7243299; 1.1863561
41.9802805; 36.0359263; 19.8278243; -1.1600442; -0.0002194; 57.7654002; 1.1731240
43.9793415; 37.8688740; 20.6256395; -1.1604863; -0.0002229; 57.8059837; 1.1600467
45.9784025; 39.7021861; 21.4226418; -1.1609353; -0.0002263; 57.8460869; 1.1471222
47.9774635; 41.5358668; 22.2188180; -1.1613912; -0.0002298; 57.8857158; 1.1343485
49.9765245; 43.3698959; 23.0141444; -1.1618540; -0.0002333; 57.9248769; 1.1217237
51.9755854; 45.2043047; 23.8086195; -1.1623238; -0.0002366; 57.9635761; 1.1092459
53.9746464; 47.0390970; 24.6022302; -1.1628000; -0.0002399; 58.0018194; 1.0969133
55.9737074; 48.8742523; 25.3949529; -1.1632837; -0.0002441; 58.0396127; 1.0847239
57.9727684; 50.7098042; 26.1867846; -1.1637751; -0.0002465; 58.0769619; -2.5374922
59.9718294; 52.5457537; 26.9777152; -1.1642685; -0.0002471; 57.9895534; -13.1783501
61.9708903; 54.3820882; 27.7677214; -1.1647840; -0.0002690; 57.5334655; -13.0799632
63.9699513; 56.2188495; 28.5567405; -1.1653451; -0.0002935; 57.0771790; -12.9766656
65.9690123; 58.0560767; 29.3446828; -1.1659587; -0.0003204; 56.6208625; -12.9539131
67.9680733; 59.8937804; 30.1314537; -1.1666017; -0.0003226; 56.1616483; -12.8582452
69.9671342; 61.7320002; 30.9170394; -1.1672599; -0.0003484; 55.7020818; -12.6863218
71.9661952; 63.5708076; 31.7013570; -1.1680081; -0.0004001; 55.2449133; -12.3873719
73.9652562; 65.4101899; 32.4841508; -1.1689029; -0.0004960; 54.7948376; -12.0837175
75.9643172; 67.2503827; 33.2651348; -1.1699929; -0.0005967; 54.3522037; -11.7772821
77.9633782; 69.0915396; 34.0439368; -1.1712906; -0.0007016; 53.9172982; -11.4804862
79.9624391; 70.9337158; 34.8201256; -1.1727981; -0.0008066; 53.4899491; -11.1930283
81.9615001; 72.7771789; 35.5933591; -1.1745154; -0.0009115; 53.0699874; -10.9145544
83.9605611; 74.6220835; 36.3632469; -1.1764425; -0.0010165; 52.6572487; -10.6446279
85.9596221; 76.4684722; 37.1293526; -1.1785794; -0.0011214; 52.2515772; -10.3830324
87.9586830; 78.3166150; 37.8913342; -1.1809261; -0.0012264; 51.8528176; -10.1294504
89.9577440; 80.1666575; 38.6487977; -1.1834827; -0.0013313; 51.4608192; -9.8834756
91.9568050; 82.0186280; 39.4013017; -1.1862490; -0.0014363; 51.0754400; -9.6449387
93.9558660; 83.8727963; 40.1485031; -1.1892252; -0.0015413; 50.6965377; -9.4135512
95.9549270; 85.7292962; 40.8900031; -1.1924114; -0.0016463; 50.3239745; -9.1889479
97.9539879; 87.5881409; 41.6253554; -1.1958074; -0.0017513; 49.9576208; -8.9709875
99.9530489; 89.4495968; 42.3542143; -1.1994134; -0.0018564; 49.5973464; -8.7594047
101.9521099; 91.3137827; 43.0761750; -1.2032294; -0.0019614; 49.2430259; -8.5538937
103.9511709; 93.1806971; 43.7907871; -1.2072553; -0.0020665; 48.8945405; -8.3542977
105.9502319; 95.0505984; 44.4977002; -1.2114913; -0.0021716; 48.5517723; -8.1603675
107.9492928; 96.9235877; 45.1965029; -1.2159376; -0.0022767; 48.2146082; -7.9720096
109.9483538; 98.7996495; 45.8867413; -1.2205939; -0.0023818; 47.8829341; -7.7887199
111.9474148; 100.6790292; 46.5680584; -1.2254604; -0.0024871; 47.5566518; -7.6102222
113.9464758; 102.5618075; 47.2400355; -1.2305376; -0.0025924; 47.2356701; -7.4381699
115.9455367; 104.4479563; 47.9022161; -1.2358247; -0.0026972; 46.9198233; -7.2686231
117.9445977; 106.3377012; 48.5542357; -1.2413216; -0.0028029; 46.6091083; -7.1007257
119.9436587; 108.2311003; 49.1956663; -1.2470321; -0.0029101; 46.3035572; -6.9525269
121.9427197; 110.1281096; 49.8260461; -1.2529499; -0.0030101; 46.0024169; -6.8288063
123.9417807; 112.0289311; 50.4450180; -1.2590629; -0.0031005; 45.7047039; -6.7342465
125.9408416; 113.9335902; 51.0522112; -1.2653393; -0.0031787; 45.4092020; -6.6388779
127.9399026; 115.8419736; 51.6472583; -1.2717735; -0.0032589; 45.1159903; -6.5463865
129.9389636; 117.7542581; 52.2298802; -1.2783686; -0.0033392; 44.8249855; -6.4571470
131.9380246; 119.6704169; 52.7997323; -1.2851243; -0.0034195; 44.5360850; -6.3708055
133.9370855; 121.5903359; 53.3564464; -1.2920404; -0.0035000; 44.2491990; -6.2872297
135.9361465; 123.5141663; 53.8997318; -1.2991176; -0.0035806; 43.9642411; -6.2063162
137.9352075; 125.4418589; 54.4292388; -1.3063564; -0.0036615; 43.6811274; -6.1282572
139.9342685; 127.3732909; 54.9445996; -1.3137566; -0.0037424; 43.3997623; -6.0526330
141.9333295; 129.3085871; 55.4455128; -1.3213190; -0.0038236; 43.1200673; -5.9791024
143.9323904; 131.2476734; 55.9316229; -1.3290445; -0.0039054; 42.8419774; -5.9103034
145.9314514; 133.1904151; 56.4025607; -1.3369322; -0.0039861; 42.5653017; -5.8408997
147.9305124; 135.1369082; 56.8580172; -1.3449821; -0.0040688; 42.2900967; -5.7681648
149.9295734; 137.0870594; 57.2976292; -1.3532022; -0.0041550; 42.0165498; -5.7288228
151.9286344; 139.0407426; 57.7210257; -1.3615793; -0.0042240; 41.7430943; -5.5778867
153.9276953; 140.9980016; 58.1279186; -1.3701148; -0.0043584; 41.4751112; -5.2210275
155.9267563; 142.9586887; 58.5177004; -1.3790829; -0.0046142; 41.2226946; -4.8279906
157.9258173; 144.9229266; 58.8893759; -1.3885834; -0.0048940; 40.9878964; -4.4321427
159.9248783; 146.8906642; 59.2418087; -1.3986508; -0.0051777; 40.7711590; -4.0396673
161.9239392; 148.8619290; 59.5738536; -1.4092840; -0.0054608; 40.5726056; -3.6655917
163.9230002; 150.8367742; 59.8843764; -1.4204750; -0.0057335; 40.3915937; -3.2622221
165.9220612; 152.8149281; 60.1722251; -1.4322137; -0.0060239; 40.2298158; -2.7963128
167.9211222; 154.7964444; 60.4362270; -1.4445836; -0.0063513; 40.0906233; -2.7944992
169.9201832; 156.7810628; 60.6751905; -1.4573317; -0.0063429; 39.9510366; -2.8679806
