# c11678c1-07f4-44f6-96d5-4e965b8ac626
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -5.4698848; -3.5278971; 0.8779348; -0.0000203; 48.9858993; 2.9770011
1.9991997; -7.0080862; -2.2508942; 0.8778946; -0.0000199; 49.1072456; 2.9543933
3.9983994; -8.5462365; -0.9738300; 0.8778551; -0.0000196; 49.2273746; 2.9319942
5.9975991; -10.0843368; 0.3032943; 0.8778163; -0.0000192; 49.3463038; 2.9098010
7.9967988; -11.6223881; 1.5804779; 0.8777782; -0.0000189; 49.4640500; 2.8878111
9.9959985; -13.1603911; 2.8577195; 0.8777408; -0.0000185; 49.5806299; 2.8660220
11.9951982; -14.6983468; 4.1350180; 0.8777041; -0.0000182; 49.6960598; 2.8444310
13.9943979; -16.2362563; 5.4123724; 0.8776682; -0.0000178; 49.8103557; 2.8230358
15.9935976; -17.7741202; 6.6897814; 0.8776330; -0.0000174; 49.9235331; 2.8018339
17.9927973; -19.3119396; 7.9672440; 0.8775985; -0.0000171; 50.0356074; 2.7808228
19.9919970; -20.8497154; 9.2447593; 0.8775647; -0.0000167; 50.1465936; 2.7600003
21.9911966; -22.3874485; 10.5223259; 0.8775316; -0.0000164; 50.2565064; 2.7393639
23.9903963; -23.9251397; 11.7999427; 0.8774993; -0.0000160; 50.3653602; 2.7189115
25.9895960; -25.4627902; 13.0776089; 0.8774676; -0.0000156; 50.4731691; 2.6986409
27.9887957; -27.0004006; 14.3553231; 0.8774367; -0.0000153; 50.5799471; 2.6785497
29.9879954; -28.5379719; 15.6330842; 0.8774065; -0.0000149; 50.6857076; 2.6586360
31.9871951; -30.0755053; 16.9108913; 0.8773770; -0.0000146; 50.7904641; 2.6388975
33.9863948; -31.6130013; 18.1887432; 0.8773482; -0.0000142; 50.8942296; 2.6193322
35.9855945; -33.1504609; 19.4666387; 0.8773202; -0.0000139; 50.9970170; 2.5999380
37.9847942; -34.6878853; 20.7445769; 0.8772928; -0.0000135; 51.0988389; 2.5807131
39.9839939; -36.2252752; 22.0225565; 0.8772662; -0.0000131; 51.1997076; 2.5616553
41.9831936; -37.7626314; 23.3005764; 0.8772403; -0.0000128; 51.2996353; 2.5427627
43.9823933; -39.2999551; 24.5786358; 0.8772151; -0.0000124; 51.3986338; 2.5240335
45.9815930; -40.8372470; 25.8567332; 0.8771907; -0.0000121; 51.4967150; 2.5054658
47.9807927; -42.3745080; 27.1348676; 0.8771669; -0.0000117; 51.5938902; 2.4870578
49.9799924; -43.9117392; 28.4130382; 0.8771439; -0.0000113; 51.6901708; 2.4688076
51.9791921; -45.4489414; 29.6912435; 0.8771215; -0.0000110; 51.7855678; 2.4507134
53.9783918; -46.9861154; 30.9694825; 0.8770999; -0.0000106; 51.8800922; 2.4327735
55.9775915; -48.5232625; 32.2477543; 0.8770791; -0.0000103; 51.9737546; 2.4149862
57.9767912; -50.0603832; 33.5260576; 0.8770589; -0.0000099; 52.0665655; 2.3990139
59.9759909; -51.5974785; 34.8043913; 0.8770394; -0.0000096; 52.1585991; 2.3838154
61.9751905; -53.1345496; 36.0827545; 0.8770207; -0.0000092; 52.2498891; 2.3687293
63.9743902; -54.6715971; 37.3611458; 0.8770027; -0.0000088; 52.3404436; 2.3537544
65.9735899; -56.2086219; 38.6395642; 0.8769854; -0.0000085; 52.4302707; 2.3388896
67.9727896; -57.7456252; 39.9180089; 0.8769688; -0.0000081; 52.5193783; 2.3241340
69.9719893; -59.2826077; 41.1964783; 0.8769529; -0.0000078; 52.6077743; 2.3094864
71.9711890; -60.8195703; 42.4749716; 0.8769378; -0.0000074; 52.6954663; 2.2949458
73.9703887; -62.3565141; 43.7534877; 0.8769233; -0.0000070; 52.7824618; 2.2805111
75.9695884; -63.8934399; 45.0320254; 0.8769096; -0.0000067; 52.8687684; 2.2661815
77.9687881; -65.4303485; 46.3105836; 0.8768966; -0.0000063; 52.9543933; 2.2519558
79.9679878; -66.9672411; 47.5891613; 0.8768843; -0.0000060; 53.0393438; 2.2378331
81.9671875; -68.5041183; 48.8677573; 0.8768728; -0.0000056; 53.1236269; 2.2238125
83.9663872; -70.0409812; 50.1463704; 0.8768619; -0.0000052; 53.2072498; 2.2098929
85.9655869; -71.5778308; 51.4249999; 0.8768518; -0.0000049; 53.2902192; 2.1960734
87.9647866; -73.1146678; 52.7036442; 0.8768423; -0.0000045; 53.3725420; 2.1823532
89.9639863; -74.6514931; 53.9823025; 0.8768336; -0.0000042; 53.4542249; 2.1687312
91.9631860; -76.1883080; 55.2609736; 0.8768257; -0.0000038; 53.5352745; 2.1552065
93.9623857; -77.7251130; 56.5396565; 0.8768184; -0.0000035; 53.6156972; 2.1417784
95.9615854; -79.2619091; 57.8183499; 0.8768118; -0.0000031; 53.6954996; 2.1284459
97.9607851; -80.7986974; 59.0970529; 0.8768060; -0.0000027; 53.7746878; 2.1152081
99.9599848; -82.3354787; 60.3757643; 0.8768009; -0.0000024; 53.8532682; 2.1020641
101.9591844; -83.8722537; 61.6544829; 0.8767965; -0.0000020; 53.9312469; 2.0890132
103.9583841; -85.4090238; 62.9332079; 0.8767928; -0.0000017; 54.0086299; 2.0760545
105.9575838; -86.9457896; 64.2119379; 0.8767898; -0.0000013; 54.0854231; 2.0631871
107.9567835; -88.4825519; 65.4906719; 0.8767876; -0.0000009; 54.1616325; 2.0504102
109.9559832; -90.0193120; 66.7694089; 0.8767861; -0.0000006; 54.2372639; 2.0377231
111.9551829; -91.5560705; 68.0481476; 0.8767852; -0.0000002; 54.3123230; 2.0251249
113.9543826; -93.0928283; 69.3268870; 0.8767851; 0.0000001; 54.3868154; 2.0126149
115.9535823; -94.6295866; 70.6056261; 0.8767858; 0.0000005; 54.4607467; 2.0001923
117.9527820; -96.1663461; 71.8843636; 0.8767871; 0.0000008; 54.5341223; 1.9878562
119.9519817; -97.7031076; 73.1630985; 0.8767891; 0.0000012; 54.6069477; 1.9756060
121.9511814; -99.2398725; 74.4418298; 0.8767919; 0.0000016; 54.6792282; 1.9634409
123.9503811; -100.7766412; 75.7205562; 0.8767954; 0.0000019; 54.7509691; 1.9513602
125.9495808; -102.3134147; 76.9992767; 0.8767996; 0.0000023; 54.8221756; 1.9393631
127.9487805; -103.8501943; 78.2779903; 0.8768045; 0.0000026; 54.8928528; 1.9274489
