# ae701df6-dc6e-41b9-a22d-e060f644facf
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.5470019; -0.5684834; 2.5514900; -0.0000469; 53.3635892; 2.1838457
1.9998141; 0.4341350; -2.2300443; 2.5513969; -0.0000461; 53.4453667; 2.1702088
3.9996282; -0.6788850; -3.8915023; 2.5513055; -0.0000453; 53.5265098; 2.1566695
5.9994423; -1.7920555; -5.5528593; 2.5512156; -0.0000445; 53.6070250; 2.1432268
7.9992564; -2.9053742; -7.2141174; 2.5511274; -0.0000437; 53.6869187; 2.1298799
9.9990705; -4.0188380; -8.8752781; 2.5510408; -0.0000429; 53.7661973; 2.1166278
11.9988846; -5.1324443; -10.5363430; 2.5509557; -0.0000421; 53.8448669; 2.1034698
13.9986987; -6.2461907; -12.1973145; 2.5508723; -0.0000413; 53.9229338; 2.0904049
15.9985127; -7.3600741; -13.8581938; 2.5507905; -0.0000405; 54.0004040; 2.0774323
17.9983268; -8.4740920; -15.5189827; 2.5507103; -0.0000397; 54.0772835; 2.0645513
19.9981409; -9.5882419; -17.1796835; 2.5506318; -0.0000389; 54.1535782; 2.0517609
21.9979550; -10.7025209; -18.8402975; 2.5505548; -0.0000381; 54.2292938; 2.0390604
23.9977691; -11.8169262; -20.5008264; 2.5504794; -0.0000373; 54.3044362; 2.0264490
25.9975832; -12.9314555; -22.1612726; 2.5504057; -0.0000365; 54.3790110; 2.0139259
27.9973973; -14.0461059; -23.8216373; 2.5503336; -0.0000357; 54.4530237; 2.0014903
29.9972114; -15.1608746; -25.4819224; 2.5502630; -0.0000349; 54.5264799; 1.9891414
31.9970255; -16.2757592; -27.1421300; 2.5501941; -0.0000341; 54.5993849; 1.9768785
33.9968396; -17.3907568; -28.8022616; 2.5501268; -0.0000333; 54.6717442; 1.9647008
35.9966537; -18.5058647; -30.4623188; 2.5500611; -0.0000324; 54.7435629; 1.9526077
37.9964678; -19.6210805; -32.1223040; 2.5499970; -0.0000316; 54.8148464; 1.9405982
39.9962819; -20.7364013; -33.7822184; 2.5499345; -0.0000308; 54.8855997; 1.9286719
41.9960960; -21.8518243; -35.4420640; 2.5498737; -0.0000300; 54.9558280; 1.9168278
43.9959101; -22.9673472; -37.1018427; 2.5498144; -0.0000292; 55.0255361; 1.9050654
45.9957241; -24.0829671; -38.7615562; 2.5497568; -0.0000284; 55.0947292; 1.8933838
