# 2af0958d-d420-46fa-b186-fbaef77a1710
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.5202129; -3.8477851; 0.4399131; 0.0002004; 51.5006018; 2.5047298
1.9998956; -3.3722543; -2.0384742; 0.4403168; 0.0002032; 51.5977750; 2.4863216
3.9997912; -4.2250310; -0.2295094; 0.4407259; 0.0002059; 51.6940533; 2.4680714
5.9996868; -5.0785531; 1.5791047; 0.4411405; 0.0002087; 51.7894480; 2.4499772
7.9995824; -5.9328294; 3.3873613; 0.4415607; 0.0002115; 51.8839697; 2.4320373
9.9994779; -6.7878707; 5.1952569; 0.4419863; 0.0002142; 51.9776294; 2.4142501
11.9993735; -7.6436867; 7.0027866; 0.4424175; 0.0002170; 52.0704374; 2.3983747
13.9992691; -8.5002864; 8.8099438; 0.4428542; 0.0002197; 52.1624717; 2.3831757
15.9991647; -9.3576804; 10.6167248; 0.4432964; 0.0002225; 52.2537621; 2.3680890
17.9990603; -10.2158785; 12.4231248; 0.4437441; 0.0002252; 52.3443170; 2.3531136
19.9989559; -11.0748897; 14.2291369; 0.4441973; 0.0002280; 52.4341442; 2.3382484
21.9988515; -11.9347246; 16.0347577; 0.4446560; 0.0002307; 52.5232519; 2.3234923
23.9987471; -12.7953928; 17.8399819; 0.4451202; 0.0002335; 52.6116477; 2.3088443
25.9986427; -13.6569035; 19.6448031; 0.4455900; 0.0002363; 52.6993393; 2.2943033
27.9985383; -14.5192671; 21.4492175; 0.4460652; 0.0002390; 52.7863344; 2.2798684
29.9984338; -15.3824933; 23.2532200; 0.4465460; 0.0002418; 52.8726404; 2.2655384
31.9983294; -16.2465913; 25.0568040; 0.4470322; 0.0002445; 52.9582645; 2.2513124
33.9982250; -17.1115713; 26.8599656; 0.4475240; 0.0002473; 53.0432141; 2.2371895
35.9981206; -17.9774431; 28.6626996; 0.4480213; 0.0002500; 53.1274962; 2.2231686
37.9980162; -18.8442159; 30.4649998; 0.4485241; 0.0002528; 53.2111178; 2.2092488
39.9979118; -19.7118999; 32.2668618; 0.4490324; 0.0002555; 53.2940859; 2.1954292
41.9978074; -20.5805048; 34.0682805; 0.4495462; 0.0002583; 53.3764073; 2.1817087
43.9977030; -21.4500398; 35.8692497; 0.4500655; 0.0002610; 53.4580885; 2.1680866
45.9975986; -22.3205151; 37.6697650; 0.4505903; 0.0002638; 53.5391364; 2.1545619
47.9974942; -23.1919403; 39.4698209; 0.4511207; 0.0002666; 53.6195573; 2.1411337
49.9973897; -24.0643248; 41.2694117; 0.4516565; 0.0002693; 53.6993576; 2.1278011
51.9972853; -24.9376785; 43.0685325; 0.4521979; 0.0002721; 53.7785438; 2.1145633
53.9971809; -25.8120109; 44.8671779; 0.4527447; 0.0002748; 53.8571219; 2.1014193
55.9970765; -26.6873318; 46.6653424; 0.4532971; 0.0002776; 53.9350982; 2.0883684
57.9969721; -27.5636508; 48.4630208; 0.4538550; 0.0002803; 54.0124787; 2.0754097
59.9968677; -28.4409774; 50.2602075; 0.4544183; 0.0002831; 54.0892694; 2.0625424
