# 9f3fbd0e-daee-462b-843f-008c246d770f
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -5.7586965; -0.1056795; -3.1226436; 0.0000014; 61.9433175; 0.1399478
1.9996146; -5.7208050; -2.1049349; -3.1226407; 0.0000015; 61.9478350; 0.1392215
3.9992291; -5.6829076; -4.1041903; -3.1226376; 0.0000015; 61.9523288; 0.1384990
5.9988437; -5.6450040; -6.1034457; -3.1226345; 0.0000016; 61.9567989; 0.1377803
7.9984583; -5.6070942; -8.1027008; -3.1226314; 0.0000016; 61.9612455; 0.1370654
9.9980728; -5.5691780; -10.1019558; -3.1226281; 0.0000017; 61.9656687; 0.1363542
11.9976874; -5.5312551; -12.1012109; -3.1226247; 0.0000017; 61.9700687; 0.1356467
13.9973020; -5.4933253; -14.1004656; -3.1226213; 0.0000017; 61.9744455; 0.1349429
15.9969165; -5.4553886; -16.0997202; -3.1226177; 0.0000018; 61.9787993; 0.1342428
17.9965311; -5.4174447; -18.0989749; -3.1226141; 0.0000018; 61.9831302; 0.1335464
19.9961457; -5.3794935; -20.0982292; -3.1226104; 0.0000019; 61.9874384; 0.1328536
21.9957602; -5.3415347; -22.0974834; -3.1226066; 0.0000019; 61.9917239; 0.1321644
23.9953748; -5.3035683; -24.0967376; -3.1226027; 0.0000020; 61.9959868; 0.1314788
25.9949894; -5.2655940; -26.0959915; -3.1225987; 0.0000020; 62.0002274; 0.1307968
27.9946039; -5.2276116; -28.0952453; -3.1225946; 0.0000021; 62.0044457; 0.1301183
29.9942185; -5.1896210; -30.0944990; -3.1225905; 0.0000021; 62.0086418; 0.1294434
31.9938331; -5.1516220; -32.0937524; -3.1225862; 0.0000021; 62.0128158; 0.1287720
33.9934476; -5.1136144; -34.0930057; -3.1225819; 0.0000022; 62.0169680; 0.1281041
35.9930622; -5.0755980; -36.0922590; -3.1225774; 0.0000022; 62.0210983; 0.1274397
37.9926768; -5.0375727; -38.0915119; -3.1225729; 0.0000023; 62.0252069; 0.1267788
39.9922913; -4.9995383; -40.0907647; -3.1225683; 0.0000023; 62.0292940; 0.1261213
41.9919059; -4.9614946; -42.0900174; -3.1225636; 0.0000024; 62.0333596; 0.1254673
43.9915205; -4.9234414; -44.0892698; -3.1225589; 0.0000024; 62.0374038; 0.1248167
45.9911350; -4.8853786; -46.0885220; -3.1225540; 0.0000025; 62.0414268; 0.1241694
47.9907496; -4.8473060; -48.0877742; -3.1225490; 0.0000025; 62.0454287; 0.1235256
49.9903642; -4.8092233; -50.0870260; -3.1225440; 0.0000025; 62.0494096; 0.1228851
51.9899787; -4.7711305; -52.0862777; -3.1225389; 0.0000026; 62.0533696; 0.1222479
53.9895933; -4.7330274; -54.0855293; -3.1225336; 0.0000026; 62.0573088; 0.1216141
55.9892079; -4.6949137; -56.0847805; -3.1225283; 0.0000027; 62.0612273; 0.1209836
57.9888224; -4.6567893; -58.0840316; -3.1225229; 0.0000027; 62.0651253; 0.1203564
59.9884370; -4.6186540; -60.0832826; -3.1225174; 0.0000028; 62.0690028; 0.1197324
61.9880516; -4.5805077; -62.0825332; -3.1225119; 0.0000028; 62.0728600; 0.1191117
63.9876661; -4.5423501; -64.0817836; -3.1225062; 0.0000029; 62.0766970; 0.1184942
65.9872807; -4.5041811; -66.0810340; -3.1225004; 0.0000029; 62.0805138; 0.1178800
67.9868953; -4.4660006; -68.0802839; -3.1224946; 0.0000029; 62.0843106; 0.1172689
69.9865098; -4.4278082; -70.0795337; -3.1224887; 0.0000030; 62.0880875; 0.1166611
71.9861244; -4.3896039; -72.0787834; -3.1224827; 0.0000030; 62.0918446; 0.1160564
73.9857390; -4.3513875; -74.0780326; -3.1224765; 0.0000031; 62.0955819; 0.1154549
75.9853536; -4.3131588; -76.0772817; -3.1224704; 0.0000031; 62.0992997; 0.1148565
77.9849681; -4.2749177; -78.0765307; -3.1224641; 0.0000032; 62.1029980; 0.1142612
79.9845827; -4.2366639; -80.0757792; -3.1224577; 0.0000032; 62.1066769; 0.1136690
81.9841973; -4.1983972; -82.0750276; -3.1224512; 0.0000033; 62.1103366; 0.1130799
83.9838118; -4.1601176; -84.0742758; -3.1224447; 0.0000033; 62.1139770; 0.1124939
85.9834264; -4.1218247; -86.0735236; -3.1224381; 0.0000033; 62.1175984; 0.1119109
87.9830410; -4.0835185; -88.0727712; -3.1224313; 0.0000034; 62.1212008; 0.1113310
89.9826555; -4.0451988; -90.0720187; -3.1224245; 0.0000034; 62.1247843; 0.1107541
91.9822701; -4.0068654; -92.0712657; -3.1224176; 0.0000035; 62.1283491; 0.1101802
93.9818847; -3.9685181; -94.0705125; -3.1224106; 0.0000035; 62.1318951; 0.1096093
95.9814992; -3.9301567; -96.0697592; -3.1224035; 0.0000036; 62.1354226; 0.1090414
97.9811138; -3.8917811; -98.0690054; -3.1223964; 0.0000036; 62.1389317; 0.1084764
99.9807284; -3.8533910; -100.0682514; -3.1223891; 0.0000037; 62.1424223; 0.1079144
101.9803429; -3.8149864; -102.0674972; -3.1223818; 0.0000037; 62.1458947; 0.1073553
103.9799575; -3.7765670; -104.0667426; -3.1223743; 0.0000037; 62.1493489; 0.1067991
105.9795721; -3.7381326; -106.0659877; -3.1223668; 0.0000038; 62.1527850; 0.1062458
107.9791866; -3.6996831; -108.0652327; -3.1223592; 0.0000038; 62.1562031; 0.1056954
109.9788012; -3.6612183; -110.0644772; -3.1223515; 0.0000039; 62.1596033; 0.1051479
111.9784158; -3.6227380; -112.0637215; -3.1223437; 0.0000039; 62.1629857; 0.1046032
113.9780303; -3.5842421; -114.0629655; -3.1223358; 0.0000040; 62.1663504; 0.1040613
115.9776449; -3.5457304; -116.0622091; -3.1223279; 0.0000040; 62.1696975; 0.1035223
117.9772595; -3.5072026; -118.0614525; -3.1223198; 0.0000040; 62.1730271; 0.1029861
119.9768740; -3.4686586; -120.0606956; -3.1223117; 0.0000041; 62.1763392; 0.1024527
121.9764886; -3.4300983; -122.0599383; -3.1223035; 0.0000041; 62.1796341; 0.1019220
123.9761032; -3.3915215; -124.0591807; -3.1222951; 0.0000042; 62.1829117; 0.1013941
125.9757177; -3.3529279; -126.0584229; -3.1222867; 0.0000042; 62.1861721; 0.1008690
127.9753323; -3.3143174; -128.0576646; -3.1222782; 0.0000043; 62.1894155; 0.1003466
129.9749469; -3.2756899; -130.0569060; -3.1222697; 0.0000043; 62.1926419; 0.0998269
131.9745614; -3.2370451; -132.0561472; -3.1222610; 0.0000044; 62.1958515; 0.0993099
133.9741760; -3.1983829; -134.0553879; -3.1222522; 0.0000044; 62.1990442; 0.0987956
135.9737906; -3.1597031; -136.0546283; -3.1222434; 0.0000044; 62.2022203; 0.0982840
137.9734051; -3.1210055; -138.0538685; -3.1222344; 0.0000045; 62.2053797; 0.0977751
139.9730197; -3.0822899; -140.0531081; -3.1222254; 0.0000045; 62.2085227; 0.0972688
141.9726343; -3.0435562; -142.0523475; -3.1222163; 0.0000046; 62.2116492; 0.0967651
143.9722488; -3.0048043; -144.0515866; -3.1222071; 0.0000046; 62.2147593; 0.0962640
145.9718634; -2.9660338; -146.0508252; -3.1221978; 0.0000047; 62.2178532; 0.0957656
147.9714780; -2.9272447; -148.0500635; -3.1221884; 0.0000047; 62.2209310; 0.0952698
149.9710925; -2.8884367; -150.0493015; -3.1221790; 0.0000048; 62.2239926; 0.0947765
151.9707071; -2.8496097; -152.0485390; -3.1221694; 0.0000048; 62.2270382; 0.0942858
153.9703217; -2.8107635; -154.0477762; -3.1221598; 0.0000048; 62.2300680; 0.0937977
155.9699362; -2.7718980; -156.0470131; -3.1221500; 0.0000049; 62.2330819; 0.0933120
157.9695508; -2.7330129; -158.0462495; -3.1221402; 0.0000049; 62.2360800; 0.0928290
159.9691654; -2.6941081; -160.0454856; -3.1221303; 0.0000050; 62.2390625; 0.0923484
161.9687799; -2.6551833; -162.0447213; -3.1221203; 0.0000050; 62.2420294; 0.0918703
163.9683945; -2.6162385; -164.0439565; -3.1221102; 0.0000051; 62.2449808; 0.0913948
165.9680091; -2.5772735; -166.0431914; -3.1221000; 0.0000051; 62.2479167; 0.0909216
167.9676236; -2.5382880; -168.0424260; -3.1220898; 0.0000052; 62.2508374; 0.0904510
169.9672382; -2.4992819; -170.0416600; -3.1220794; 0.0000052; 62.2537428; 0.0899828
171.9668528; -2.4602551; -172.0408937; -3.1220690; 0.0000052; 62.2566330; 0.0895170
173.9664673; -2.4212072; -174.0401270; -3.1220585; 0.0000053; 62.2595081; 0.0890537
175.9660819; -2.3821383; -176.0393598; -3.1220478; 0.0000053; 62.2623682; 0.0885928
177.9656965; -2.3430470; -178.0385922; -3.1220343; 0.0000107; 62.2652134; 0.0881342
179.9653110; -2.3039121; -180.0378239; -3.1220027; 0.0000222; 62.2680437; 0.0876781
181.9649256; -2.2646635; -182.0370531; -3.1219069; 0.0000736; 62.2708593; 0.0872243
183.9645402; -2.2251195; -184.0362766; -3.1217044; 0.0001326; 62.2736601; 0.0867729
185.9641547; -2.1850444; -186.0354897; -3.1213735; 0.0001984; 62.2764463; 0.0863238
187.9637693; -2.1441756; -188.0346863; -3.1209100; 0.0002652; 62.2792180; 0.0858770
189.9633839; -2.1022475; -190.0338550; -3.1203147; 0.0003288; 62.2819752; 0.0854326
191.9629984; -2.0590051; -192.0330063; -3.1195965; 0.0003886; 62.2847181; 0.0849905
193.9626130; -2.0142265; -194.0320999; -3.1187864; 0.0004216; 62.2874466; 0.0845507
195.9622276; -1.9677637; -196.0311644; -3.1179141; 0.0004476; 62.2901608; 0.0841132
197.9618421; -1.9195116; -198.0302249; -3.1169992; 0.0004675; 62.2928609; 0.0836779
199.9614567; -1.8693927; -200.0291855; -3.1160453; 0.0004866; 62.2955470; 0.0832449
201.9610713; -1.8173275; -202.0281225; -3.1150517; 0.0005082; 62.2982190; 0.0828142
203.9606858; -1.7632299; -204.0270309; -3.1140118; 0.0005319; 62.3008770; 0.0823857
205.9603004; -1.7070058; -206.0258339; -3.1129217; 0.0005584; 62.3035212; 0.0819594
207.9599150; -1.6485492; -208.0245933; -3.1117785; 0.0005852; 62.3061517; 0.0815354
209.9595295; -1.5877531; -210.0233050; -3.1105813; 0.0006122; 62.3087683; 0.0811135
211.9591441; -1.5245117; -212.0219005; -3.1093302; 0.0006392; 62.3113714; 0.0806938
213.9587587; -1.4587154; -214.0204317; -3.1080251; 0.0006662; 62.3139609; 0.0802764
215.9583733; -1.3902561; -216.0188932; -3.1066660; 0.0006932; 62.3165368; 0.0798610
217.9579878; -1.3190280; -218.0172224; -3.1052528; 0.0007203; 62.3190993; 0.0794479
219.9576024; -1.2449213; -220.0154630; -3.1037855; 0.0007473; 62.3216485; 0.0790369
