# 43c09e61-3562-483a-84a3-b001fd107ab9
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -3.3123767; -3.7130943; 0.8077825; 0.0000277; 57.6737317; 1.2026550
1.9992489; -4.7573849; -2.3314477; 0.8078379; 0.0000277; 57.7154065; 1.1892308
3.9984977; -6.2024696; -0.9498812; 0.8078932; 0.0000277; 57.7565865; 1.1759638
5.9977466; -7.6476309; 0.4316054; 0.8079486; 0.0000277; 57.7972782; 1.1628521
7.9969955; -9.0928686; 1.8130118; 0.8080040; 0.0000277; 57.8374881; 1.1498936
9.9962444; -10.5381828; 3.1943383; 0.8080594; 0.0000277; 57.8772224; 1.1370863
11.9954932; -11.9835736; 4.5755848; 0.8081148; 0.0000277; 57.9164874; 1.1244285
13.9947421; -13.4290408; 5.9567511; 0.8081701; 0.0000277; 57.9552891; 1.1119180
15.9939910; -14.8745845; 7.3378375; 0.8082255; 0.0000277; 57.9936336; 1.0995531
17.9932399; -16.3202047; 8.7188439; 0.8082808; 0.0000277; 58.0315268; 1.0873320
19.9924887; -17.7659012; 10.0997701; 0.8083362; 0.0000277; 58.0689745; 1.0752528
21.9917376; -19.2116742; 11.4806164; 0.8083916; 0.0000277; 58.1059824; 1.0633137
23.9909865; -20.6575237; 12.8613827; 0.8084469; 0.0000277; 58.1425563; 1.0515129
25.9902354; -22.1034495; 14.2420689; 0.8085022; 0.0000277; 58.1787016; 1.0398488
27.9894842; -23.5494518; 15.6226751; 0.8085576; 0.0000277; 58.2144239; 1.0283195
29.9887331; -24.9955305; 17.0032013; 0.8086129; 0.0000277; 58.2497286; 1.0169235
31.9879820; -26.4416855; 18.3836474; 0.8086683; 0.0000277; 58.2846211; 1.0056591
33.9872309; -27.8879169; 19.7640135; 0.8087236; 0.0000277; 58.3191065; 0.9945245
35.9864797; -29.3342248; 21.1442997; 0.8087789; 0.0000277; 58.3531900; 0.9835183
37.9857286; -30.7806089; 22.5245058; 0.8088342; 0.0000277; 58.3868768; 0.9726387
39.9849775; -32.2270694; 23.9046319; 0.8088895; 0.0000277; 58.4201718; 0.9618843
41.9842264; -33.6736063; 25.2846780; 0.8089449; 0.0000277; 58.4530800; 0.9512534
43.9834752; -35.1202195; 26.6646440; 0.8090002; 0.0000277; 58.4856063; 0.9407446
45.9827241; -36.5669090; 28.0445301; 0.8090555; 0.0000277; 58.5177555; 0.9303563
47.9819730; -38.0136748; 29.4243362; 0.8091108; 0.0000277; 58.5495324; 0.9200871
49.9812219; -39.4605169; 30.8040622; 0.8091661; 0.0000277; 58.5809415; 0.9099354
51.9804707; -40.9074353; 32.1837082; 0.8092214; 0.0000277; 58.6119875; 0.8998999
53.9797196; -42.3544301; 33.5632743; 0.8092767; 0.0000277; 58.6426750; 0.8899792
55.9789685; -43.8015009; 34.9427603; 0.8093319; 0.0000277; 58.6730083; 0.8801717
57.9782174; -45.2486482; 36.3221663; 0.8093872; 0.0000277; 58.7029920; 0.8704762
59.9774662; -46.6958717; 37.7014924; 0.8094425; 0.0000276; 58.7326304; 0.8608912
61.9767151; -48.1431713; 39.0807384; 0.8094978; 0.0000276; 58.7619277; 0.8514155
63.9759640; -49.5905473; 40.4599044; 0.8095530; 0.0000276; 58.7908881; 0.8420476
65.9752129; -51.0379995; 41.8389905; 0.8096083; 0.0000276; 58.8195159; 0.8327864
67.9744617; -52.4855278; 43.2179965; 0.8096636; 0.0000276; 58.8478151; 0.8236304
69.9737106; -53.9331324; 44.5969225; 0.8097188; 0.0000276; 58.8757898; 0.8145784
71.9729595; -55.3808133; 45.9757686; 0.8097741; 0.0000276; 58.9034440; 0.8056292
73.9722084; -56.8285701; 47.3545346; 0.8098293; 0.0000276; 58.9307816; 0.7967814
75.9714572; -58.2764033; 48.7332207; 0.8098846; 0.0000276; 58.9578066; 0.7880340
77.9707061; -59.7243126; 50.1118269; 0.8099398; 0.0000276; 58.9845226; 0.7793857
79.9699550; -61.1722980; 51.4903529; 0.8099951; 0.0000276; 59.0109336; 0.7708352
81.9692039; -62.6203596; 52.8687990; 0.8100503; 0.0000276; 59.0370431; 0.7623814
83.9684527; -64.0684974; 54.2471652; 0.8101055; 0.0000276; 59.0628550; 0.7540232
85.9677016; -65.5167112; 55.6254513; 0.8101608; 0.0000276; 59.0883728; 0.7457594
87.9669505; -66.9650012; 57.0036574; 0.8102160; 0.0000276; 59.1136001; 0.7375889
89.9661994; -68.4133673; 58.3817837; 0.8102712; 0.0000276; 59.1385405; 0.7295105
91.9654482; -69.8618094; 59.7598298; 0.8103264; 0.0000276; 59.1631973; 0.7215232
93.9646971; -71.3103277; 61.1377960; 0.8103816; 0.0000276; 59.1875741; 0.7136259
95.9639460; -72.7589221; 62.5156824; 0.8104368; 0.0000276; 59.2116741; 0.7058175
97.9631949; -74.2075924; 63.8934886; 0.8104921; 0.0000276; 59.2355009; 0.6980969
99.9624437; -75.6563389; 65.2712149; 0.8105473; 0.0000276; 59.2590576; 0.6904632
101.9616926; -77.1051614; 66.6488613; 0.8106025; 0.0000276; 59.2823474; 0.6829152
103.9609415; -78.5540599; 68.0264276; 0.8106576; 0.0000276; 59.3053737; 0.6754520
