# b9271e22-3b1e-45d8-9cd0-cdb3c6485c73
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1.2012000; 7.8704317; -1.7247149; 0.0000820; 57.2472374; 1.3399118
1.9998222; 0.7750053; 7.5639976; -1.7245514; 0.0000815; 57.2940255; 1.3248653
3.9996445; 2.7512605; 7.2578856; -1.7243888; 0.0000811; 57.3402507; 1.3099971
5.9994667; 4.7275652; 6.9520940; -1.7242272; 0.0000806; 57.3859205; 1.2953049
7.9992890; 6.7039192; 6.6466209; -1.7240665; 0.0000801; 57.4310424; 1.2807865
9.9991112; 8.6803222; 6.3414645; -1.7239068; 0.0000797; 57.4756237; 1.2664395
11.9989334; 10.6567736; 6.0366229; -1.7237479; 0.0000792; 57.5196717; 1.2522617
13.9987557; 12.6332734; 5.7320942; -1.7235901; 0.0000787; 57.5631934; 1.2382509
15.9985779; 14.6098211; 5.4278768; -1.7234331; 0.0000782; 57.6061958; 1.2244049
17.9984002; 16.5864163; 5.1239686; -1.7232771; 0.0000778; 57.6486859; 1.2107217
19.9982224; 18.5630589; 4.8203678; -1.7231220; 0.0000773; 57.6906703; 1.1971990
21.9980446; 20.5397483; 4.5170727; -1.7229679; 0.0000768; 57.7321558; 1.1838349
23.9978669; 22.5164842; 4.2140813; -1.7228147; 0.0000764; 57.7731488; 1.1706273
25.9976891; 24.4932665; 3.9113919; -1.7226624; 0.0000759; 57.8136560; 1.1575742
27.9975113; 26.4700947; 3.6090026; -1.7225111; 0.0000754; 57.8536836; 1.1446737
29.9973336; 28.4469684; 3.3069115; -1.7223607; 0.0000750; 57.8932379; 1.1319237
31.9971558; 30.4238876; 3.0051167; -1.7222112; 0.0000745; 57.9323250; 1.1193223
33.9969781; 32.4008516; 2.7036166; -1.7220627; 0.0000740; 57.9709511; 1.1068677
35.9968003; 34.3778601; 2.4024091; -1.7219151; 0.0000736; 58.0091222; 1.0945581
37.9966225; 36.3549131; 2.1014925; -1.7217684; 0.0000731; 58.0468440; 1.0823914
39.9964448; 38.3320100; 1.8008650; -1.7216227; 0.0000726; 58.0841224; 1.0703661
41.9962670; 40.3091504; 1.5005246; -1.7214779; 0.0000722; 58.1209632; 1.0584802
43.9960893; 42.2863343; 1.2004695; -1.7213341; 0.0000717; 58.1573719; 1.0467321
45.9959115; 44.2635612; 0.9006980; -1.7211912; 0.0000712; 58.1933541; 1.0351199
47.9957337; 46.2408306; 0.6012081; -1.7210492; 0.0000708; 58.2289153; 1.0236421
49.9955560; 48.2181426; 0.3019980; -1.7209082; 0.0000703; 58.2640608; 1.0122968
51.9953782; 50.1954965; 0.0030658; -1.7207680; 0.0000698; 58.2987959; 1.0010825
53.9952005; 52.1728921; -0.2955902; -1.7206289; 0.0000694; 58.3331259; 0.9899975
55.9950227; 54.1503292; -0.5939720; -1.7204906; 0.0000689; 58.3670559; 0.9790403
57.9948449; 56.1278074; -0.8920813; -1.7203533; 0.0000684; 58.4005910; 0.9682091
59.9946672; 58.1053262; -1.1899200; -1.7202170; 0.0000680; 58.4337362; 0.9575025
61.9944894; 60.0828857; -1.4874901; -1.7200816; 0.0000675; 58.4664963; 0.9469189
63.9943117; 62.0604852; -1.7847932; -1.7199471; 0.0000670; 58.4988763; 0.9364568
65.9941339; 64.0381244; -2.0818313; -1.7198135; 0.0000665; 58.5308810; 0.9261147
67.9939561; 66.0158034; -2.3786061; -1.7196809; 0.0000661; 58.5625149; 0.9158912
69.9937784; 67.9935214; -2.6751197; -1.7195492; 0.0000656; 58.5937829; 0.9057847
71.9936006; 69.9712783; -2.9713737; -1.7194185; 0.0000651; 58.6246894; 0.8957938
73.9934229; 71.9490739; -3.2673700; -1.7192886; 0.0000647; 58.6552391; 0.8859171
75.9932451; 73.9269077; -3.5631105; -1.7191598; 0.0000642; 58.6854362; 0.8761532
77.9930673; 75.9047794; -3.8585970; -1.7190318; 0.0000637; 58.7152853; 0.8665007
79.9928896; 77.8826889; -4.1538315; -1.7189048; 0.0000633; 58.7447906; 0.8569583
81.9927118; 79.8606356; -4.4488156; -1.7187787; 0.0000628; 58.7739564; 0.8475247
83.9925340; 81.8386193; -4.7435512; -1.7186536; 0.0000623; 58.8027869; 0.8381984
85.9923563; 83.8166399; -5.0380403; -1.7185294; 0.0000619; 58.8312862; 0.8289783
87.9921785; 85.7946969; -5.3322847; -1.7184061; 0.0000614; 58.8594585; 0.8198630
89.9920008; 87.7727898; -5.6262861; -1.7182838; 0.0000609; 58.8873078; 0.8108512
91.9918230; 89.7509188; -5.9200465; -1.7181624; 0.0000605; 58.9148380; 0.8019417
93.9916452; 91.7290832; -6.2135676; -1.7180420; 0.0000600; 58.9420530; 0.7931332
95.9914675; 93.7072827; -6.5068514; -1.7179224; 0.0000595; 58.9689568; 0.7844246
97.9912897; 95.6855173; -6.7998997; -1.7178038; 0.0000591; 58.9955531; 0.7758147
99.9911120; 97.6637864; -7.0927143; -1.7176862; 0.0000586; 59.0218457; 0.7673022
101.9909342; 99.6420896; -7.3852971; -1.7175695; 0.0000581; 59.0478383; 0.7588859
103.9907564; 101.6204271; -7.6776499; -1.7174537; 0.0000577; 59.0735345; 0.7505648
105.9905787; 103.5987982; -7.9697745; -1.7173388; 0.0000572; 59.0989380; 0.7423377
107.9904009; 105.5772026; -8.2616729; -1.7172249; 0.0000567; 59.1240523; 0.7342035
109.9902232; 107.5556403; -8.5533468; -1.7171119; 0.0000563; 59.1488809; 0.7261610
111.9900454; 109.5341107; -8.8447982; -1.7169999; 0.0000558; 59.1734273; 0.7182091
113.9898676; 111.5126135; -9.1360287; -1.7168888; 0.0000553; 59.1976949; 0.7103469
115.9896899; 113.4911487; -9.4270404; -1.7167786; 0.0000549; 59.2216870; 0.7025731
117.9895121; 115.4697157; -9.7178351; -1.7166694; 0.0000544; 59.2454070; 0.6948868
119.9893344; 117.4483143; -10.0084145; -1.7165611; 0.0000539; 59.2688582; 0.6872870
121.9891566; 119.4269443; -10.2987805; -1.7164537; 0.0000535; 59.2920438; 0.6797725
123.9889788; 121.4056053; -10.5889351; -1.7163473; 0.0000530; 59.3149670; 0.6723424
125.9888011; 123.3842969; -10.8788799; -1.7162418; 0.0000525; 59.3376309; 0.6649958
127.9886233; 125.3630192; -11.1686170; -1.7161372; 0.0000521; 59.3600386; 0.6577315
129.9884455; 127.3417716; -11.4581481; -1.7160336; 0.0000516; 59.3821933; 0.6505486
131.9882678; 129.3205536; -11.7474751; -1.7159309; 0.0000511; 59.4040978; 0.6434463
133.9880900; 131.2993654; -12.0365998; -1.7158292; 0.0000506; 59.4257553; 0.6364234
135.9879123; 133.2782063; -12.3255240; -1.7157283; 0.0000503; 59.4471687; 0.6294792
137.9877345; 135.2570764; -12.6142491; -1.7156279; 0.0000501; 59.4683408; 0.6226126
139.9875567; 137.2359754; -12.9027758; -1.7155279; 0.0000499; 59.4892745; 0.6158227
141.9873790; 139.2149032; -13.1911052; -1.7154283; 0.0000497; 59.5099728; 0.6091088
143.9872012; 141.1938597; -13.4792378; -1.7153291; 0.0000495; 59.5304382; 0.6024698
145.9870235; 143.1728445; -13.7671747; -1.7152304; 0.0000493; 59.5506737; 0.5959049
147.9868457; 145.1518578; -14.0549165; -1.7151320; 0.0000491; 59.5706820; 0.5894132
149.9866679; 147.1308994; -14.3424641; -1.7150341; 0.0000489; 59.5904656; 0.5829939
151.9864902; 149.1099690; -14.6298184; -1.7149366; 0.0000486; 59.6100273; 0.5766461
153.9863124; 151.0890665; -14.9169802; -1.7148396; 0.0000484; 59.6293698; 0.5703690
155.9861347; 153.0681919; -15.2039502; -1.7147429; 0.0000482; 59.6484955; 0.5641617
157.9859569; 155.0473449; -15.4907293; -1.7146467; 0.0000480; 59.6674070; 0.5580236
159.9857791; 157.0265254; -15.7773184; -1.7145508; 0.0000478; 59.6861069; 0.5519537
161.9856014; 159.0057335; -16.0637183; -1.7144554; 0.0000476; 59.7045976; 0.5459512
163.9854236; 160.9849686; -16.3499297; -1.7143604; 0.0000474; 59.7228816; 0.5400155
165.9852459; 162.9642309; -16.6359535; -1.7142659; 0.0000472; 59.7409613; 0.5341456
167.9850681; 164.9435203; -16.9217906; -1.7141717; 0.0000470; 59.7588391; 0.5283410
169.9848903; 166.9228364; -17.2074417; -1.7140780; 0.0000468; 59.7765173; 0.5226007
171.9847126; 168.9021792; -17.4929077; -1.7139847; 0.0000466; 59.7939984; 0.5169240
173.9845348; 170.8815487; -17.7781894; -1.7138918; 0.0000464; 59.8112845; 0.5113103
175.9843571; 172.8609445; -18.0632876; -1.7137993; 0.0000461; 59.8283780; 0.5057587
177.9841793; 174.8403667; -18.3482031; -1.7137072; 0.0000459; 59.8452811; 0.5002687
179.9840015; 176.8198151; -18.6329369; -1.7136156; 0.0000457; 59.8619960; 0.4948394
181.9838238; 178.7992894; -18.9174896; -1.7135243; 0.0000455; 59.8785249; 0.4894702
183.9836460; 180.7787896; -19.2018621; -1.7134335; 0.0000453; 59.8948700; 0.4841603
185.9834682; 182.7583157; -19.4860554; -1.7133431; 0.0000451; 59.9110334; 0.4789092
187.9832905; 184.7378673; -19.7700700; -1.7132531; 0.0000449; 59.9270172; 0.4737161
189.9831127; 186.7174444; -20.0539069; -1.7131636; 0.0000447; 59.9428235; 0.4685803
191.9829350; 188.6970469; -20.3375670; -1.7130744; 0.0000445; 59.9584543; 0.4635013
193.9827572; 190.6766745; -20.6210510; -1.7129857; 0.0000443; 59.9739117; 0.4584783
195.9825794; 192.6563273; -20.9043598; -1.7128974; 0.0000441; 59.9891976; 0.4535107
197.9824017; 194.6360051; -21.1874942; -1.7128095; 0.0000438; 60.0043141; 0.4493169
199.9822239; 196.6157076; -21.4704549; -1.7127220; 0.0000436; 60.0192871; 0.4469460
201.9820462; 198.5954348; -21.7532429; -1.7126350; 0.0000434; 60.0341773; 0.4445879
203.9818684; 200.5751867; -22.0358590; -1.7125483; 0.0000432; 60.0489853; 0.4422425
205.9816906; 202.5549628; -22.3183040; -1.7124621; 0.0000430; 60.0637116; 0.4399098
207.9815129; 204.5347633; -22.6005786; -1.7123763; 0.0000428; 60.0783566; 0.4375897
209.9813351; 206.5145881; -22.8826838; -1.7122909; 0.0000426; 60.0929208; 0.4352821
211.9811574; 208.4944366; -23.1646204; -1.7122059; 0.0000424; 60.1074048; 0.4329870
213.9809796; 210.4743092; -23.4463891; -1.7121214; 0.0000422; 60.1218089; 0.4307043
215.9808018; 212.4542056; -23.7279909; -1.7120372; 0.0000420; 60.1361336; 0.4284339
217.9806241; 214.4341255; -24.0094264; -1.7119535; 0.0000418; 60.1503795; 0.4261758
219.9804463; 216.4140689; -24.2906967; -1.7118702; 0.0000415; 60.1645469; 0.4239298
221.9802686; 218.3940358; -24.5718024; -1.7117873; 0.0000413; 60.1786363; 0.4216960
223.9800908; 220.3740257; -24.8527444; -1.7117049; 0.0000411; 60.1926483; 0.4194742
225.9799130; 222.3540389; -25.1335236; -1.7116228; 0.0000409; 60.2065831; 0.4172643
227.9797353; 224.3340751; -25.4141407; -1.7115412; 0.0000407; 60.2204414; 0.4150664
229.9795575; 226.3141340; -25.6945966; -1.7114600; 0.0000405; 60.2342235; 0.4128803
231.9793797; 228.2942156; -25.9748920; -1.7113792; 0.0000403; 60.2479299; 0.4107060
233.9792020; 230.2743200; -26.2550280; -1.7112988; 0.0000401; 60.2615610; 0.4085434
