# 0360b30d-f3fa-4652-8268-7af435193045
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.5975211; -0.4348895; -2.9864771; -0.0011548; 55.9507082; 1.7483781
1.9996110; 1.9041505; -2.4108622; -2.9888159; -0.0011845; 56.0131583; 1.7357892
3.9992219; 2.2060971; -4.3875435; -2.9912142; -0.0012142; 56.0750899; 1.7159677
5.9988329; 2.5032419; -6.3649410; -2.9936717; -0.0012438; 56.1362472; 1.6963893
7.9984438; 2.7954709; -8.3430936; -2.9961885; -0.0012734; 56.1966412; 1.6770506
9.9980548; 3.0826603; -10.3219727; -2.9987645; -0.0013031; 56.2562830; 1.6579484
11.9976657; 3.3646911; -12.3015833; -3.0013997; -0.0013327; 56.3151834; 1.6390792
13.9972767; 3.6414484; -14.2819591; -3.0040942; -0.0013623; 56.3733530; 1.6204399
15.9968876; 3.9128087; -16.2630710; -3.0068478; -0.0013919; 56.4308021; 1.6020273
17.9964986; 4.1786526; -18.2449206; -3.0096607; -0.0014215; 56.4875410; 1.5838383
19.9961095; 4.4388646; -20.2275380; -3.0125329; -0.0014512; 56.5435797; 1.5658698
21.9957205; 4.6933210; -22.2108921; -3.0154644; -0.0014809; 56.5989282; 1.5481188
23.9953314; 4.9419020; -24.1949806; -3.0184552; -0.0015105; 56.6535960; 1.5305823
25.9949424; 5.1844915; -26.1798316; -3.0215054; -0.0015403; 56.7075928; 1.5132574
27.9945533; 5.4209653; -28.1654102; -3.0246151; -0.0015700; 56.7609279; 1.4961412
29.9941643; 5.6512033; -30.1517102; -3.0277839; -0.0015995; 56.8136104; 1.4792309
31.9937752; 5.8750891; -32.1387586; -3.0310129; -0.0016301; 56.8656496; 1.4625238
33.9933862; 6.0924959; -34.1265156; -3.0343021; -0.0016586; 56.9170542; 1.4460170
35.9929971; 6.3033080; -36.1149697; -3.0376450; -0.0016850; 56.9678331; 1.4297080
37.9926081; 6.5074280; -38.1041481; -3.0410313; -0.0017019; 57.0179947; 1.4135940
39.9922190; 6.7047761; -40.0939971; -3.0444517; -0.0017196; 57.0675477; 1.3976725
41.9918300; 6.8952793; -42.0844965; -3.0479086; -0.0017380; 57.1165003; 1.3819408
43.9914410; 7.0788667; -44.0756775; -3.0514021; -0.0017561; 57.1648606; 1.3663965
45.9910519; 7.2554594; -46.0674756; -3.0549318; -0.0017743; 57.2126368; 1.3510372
47.9906629; 7.4249826; -48.0598689; -3.0584980; -0.0017926; 57.2598368; 1.3358602
49.9902738; 7.5873661; -50.0528936; -3.0621008; -0.0018109; 57.3064683; 1.3208633
51.9898848; 7.7425303; -52.0464757; -3.0657401; -0.0018292; 57.3525391; 1.3060441
53.9894957; 7.8904002; -54.0405902; -3.0694160; -0.0018475; 57.3980566; 1.2914003
55.9891067; 8.0309052; -56.0352793; -3.0731287; -0.0018659; 57.4430282; 1.2769295
57.9887176; 8.1639656; -58.0304586; -3.0768780; -0.0018843; 57.4874614; 1.2626295
59.9883286; 8.2895063; -60.0261004; -3.0806642; -0.0019027; 57.5313632; 1.2484981
61.9879395; 8.4074562; -62.0222529; -3.0844873; -0.0019211; 57.5747408; 1.2345331
63.9875505; 8.5177357; -64.0188210; -3.0883472; -0.0019396; 57.6176010; 1.2207323
65.9871614; 8.6202694; -66.0157743; -3.0922442; -0.0019582; 57.6599508; 1.2070936
67.9867724; 8.7149857; -68.0131674; -3.0961782; -0.0019765; 57.7017969; 1.1936149
69.9863833; 8.8018074; -70.0108954; -3.1001451; -0.0019876; 57.7431458; 1.1802942
71.9859943; 8.8806882; -72.0089171; -3.1041237; -0.0019919; 57.7840043; 1.1671295
73.9856052; 8.9516125; -74.0073028; -3.1081112; -0.0019963; 57.8243786; 1.1541186
75.9852162; 9.0145578; -76.0059242; -3.1121076; -0.0020008; 57.8642751; 1.1412598
77.9848271; 9.0695057; -78.0047423; -3.1161127; -0.0020052; 57.9037001; 1.1285509
79.9844381; 9.1164403; -80.0038382; -3.1201269; -0.0020097; 57.9426597; 1.1159902
81.9840490; 9.1553404; -82.0030720; -3.1241499; -0.0020141; 57.9811599; 1.1035757
83.9836600; 9.1861876; -84.0024045; -3.1281818; -0.0020187; 58.0192067; 1.0913056
85.9832709; 9.2089652; -86.0019230; -3.1322229; -0.0020232; 58.0568060; -3.7068759
87.9828819; 9.2236530; -88.0014813; -3.1362731; -0.0020278; 57.9289919; -7.2925049
89.9824929; 9.2302330; -90.0010395; -3.1403324; -0.0020323; 57.6767176; -7.3182281
91.9821038; 9.2286883; -92.0006877; 3.1387865; -0.0020348; 57.4224393; -7.3511171
93.9817148; 9.2190085; -94.0002671; 3.1347179; -0.0020322; 57.1658796; -7.4008143
95.9813257; 9.2012042; -95.9997633; 3.1306615; -0.0020242; 56.9064170; -7.4680811
97.9809367; 9.1753227; -97.9992150; 3.1266482; -0.0019899; 56.6433913; -7.6199675
99.9805476; 9.1414872; -99.9985272; 3.1227064; -0.0019504; 56.3737513; -7.7869739
101.9801586; 9.0998550; -101.9977032; 3.1188502; -0.0019067; 56.0968627; -7.9657167
103.9797695; 9.0505973; -103.9967011; 3.1150753; -0.0018689; 55.8121970; -8.1244108
105.9793805; 8.9938693; -105.9955012; 3.1113753; -0.0018323; 55.5203567; -8.2777500
107.9789914; 8.9298176; -107.9940938; 3.1077470; -0.0017967; 55.2214220; -8.4263308
109.9786024; 8.8585873; -109.9924231; 3.1041906; -0.0017604; 54.9154503; -8.5753248
111.9782133; 8.7803227; -111.9904973; 3.1007068; -0.0017242; 54.6023082; -8.7220611
113.9778243; 8.6951688; -113.9883074; 3.0972949; -0.0016882; 54.2819547; -8.8665665
115.9774352; 8.6032727; -115.9857897; 3.0939552; -0.0016521; 53.9543440; -9.0093475
117.9770462; 8.5047775; -117.9829688; 3.0906877; -0.0016161; 53.6194074; -9.1500547
119.9766571; 8.3998278; -119.9798408; 3.0874921; -0.0015800; 53.2770847; -9.2886291
121.9762681; 8.2885715; -121.9763361; 3.0843687; -0.0015440; 52.9273130; -9.4250735
123.9758790; 8.1711509; -123.9724922; 3.0813173; -0.0015080; 52.5700248; -9.5592806
125.9754900; 8.0477102; -125.9683088; 3.0783379; -0.0014720; 52.2051513; -9.6911878
127.9751009; 7.9183980; -127.9637149; 3.0754305; -0.0014360; 51.8326211; -9.8207785
129.9747119; 7.7833557; -129.9587565; 3.0725951; -0.0014000; 51.4523579; -9.9479901
131.9743229; 7.6427272; -131.9534372; 3.0698317; -0.0013640; 51.0642822; -10.0726911
133.9739338; 7.4966616; -133.9476871; 3.0671399; -0.0013283; 50.6683135; -10.1940389
135.9735448; 7.3452988; -135.9415577; 3.0645204; -0.0012911; 50.2643986; -10.3168808
137.9731557; 7.1887873; -137.9350548; 3.0619772; -0.0012523; 49.8522845; -10.4407014
139.9727667; 7.0272897; -139.9281159; 3.0595157; -0.0012097; 49.4317266; -10.5708788
141.9723776; 6.8609700; -141.9207947; 3.0571388; -0.0011679; 49.0022479; -10.6961799
143.9719886; 6.6899953; -143.9131019; 3.0548449; -0.0011265; 48.5638127; -10.8170752
145.9715995; 6.5145367; -145.9049831; 3.0526342; -0.0010847; 48.1163592; -10.9355714
147.9712105; 6.3347572; -147.8964921; 3.0505070; -0.0010429; 47.6597340; -11.0504620
149.9708214; 6.1508226; -149.8876449; 3.0484632; -0.0010013; 47.1938237; -11.1617413
151.9704324; 5.9629051; -151.8783897; 3.0465027; -0.0009596; 46.7185050; -11.2696046
153.9700433; 5.7711669; -153.8687829; 3.0446256; -0.0009179; 46.2336356; -11.3738516
155.9696543; 5.5757737; -155.8588439; 3.0428319; -0.0008762; 45.7390698; -11.4744278
157.9692652; 5.3768977; -157.8485242; 3.0411216; -0.0008345; 45.2346518; -11.5713230
159.9688762; 5.1747007; -159.8378821; 3.0394947; -0.0007928; 44.7202128; -11.6644546
161.9684871; 4.9693481; -161.8269399; 3.0379512; -0.0007510; 44.1955732; -11.7539297
163.9680981; 4.7610131; -163.8156524; 3.0364923; -0.0007082; 43.6605328; -11.8413427
165.9677090; 4.5498613; -165.8040797; 3.0351203; -0.0006631; 43.1147998; -11.9291669
167.9673200; 4.3360708; -167.7922482; 3.0338412; -0.0006162; 42.5579438; -12.0159599
169.9669309; 4.1198351; -169.7801174; 3.0326569; -0.0005683; 41.9895712; -12.0999222
171.9665419; 3.9013391; -171.7677510; 3.0315683; -0.0005205; 41.4093445; -12.1792512
173.9661529; 3.6807721; -173.7551792; 3.0305753; -0.0004726; 40.8169853; -12.2538984
175.9657638; 3.4583307; -175.7423636; 3.0296781; -0.0004248; 40.2121900; -12.3238379
177.9653748; 3.2342004; -177.7293697; 3.0288766; -0.0003769; 39.5946267; -12.3890181
179.9649857; 3.0085699; -179.7162295; 3.0281708; -0.0003290; 38.9639324; -12.4494017
181.9645967; 2.7816362; -181.7029059; 3.0275608; -0.0002812; 38.3197092; -12.5049736
183.9642076; 2.5535844; -183.6894656; 3.0270464; -0.0002333; 37.6615181; -12.5556886
185.9638186; 2.3246032; -185.6759423; 3.0266278; -0.0001854; 36.9888762; -12.6015245
187.9634295; 2.0948896; -187.6622991; 3.0263050; -0.0001375; 36.3012489; -12.6425006
189.9630405; 1.8646287; -189.6486035; 3.0260779; -0.0000896; 35.5980407; -12.6785032
191.9626514; 1.6340089; -191.6348912; 3.0259466; -0.0000418; 34.8785945; -12.7095358
193.9622624; 1.4032275; -193.6211243; 3.0259111; 0.0000063; 34.1421748; -12.6367520
195.9618733; 1.1724699; -195.6073714; 3.0259716; 0.0000540; 33.3938756; -12.5384216
197.9614843; 0.9419240; -197.5936669; 3.0261285; 0.0001194; 32.6344450; -12.2545599
199.9610952; 0.7119615; -199.5799924; 3.0266223; 0.0003744; 31.8747281; -11.4820307
201.9607062; 0.4836068; -201.5665053; 3.0279368; 0.0011589; 31.1460929; -10.4082328
203.9603171; 0.2598961; -203.5535673; 3.0314128; 0.0023394; 30.4705476; -9.1973993
205.9599281; 0.0456373; -205.5415151; 3.0375198; 0.0037681; 29.8608746; -8.3740246
207.9595390; -0.1537029; -207.5308547; 3.0462765; 0.0048502; 29.2947478; -7.8417996
209.9591500; -0.3338289; -209.5226737; 3.0568089; 0.0056541; 28.7544979; -7.6080231
211.9587609; -0.4915431; -211.5156611; 3.0685984; 0.0061398; 28.2204709; -7.3471125
213.9583719; -0.6247936; -213.5108639; 3.0813993; 0.0066912; 27.6949859; -7.0718407
215.9579829; -0.7313461; -215.5080395; 3.0953854; 0.0072961; 27.1795950; -6.8144310
217.9575938; -0.8087220; -217.5060047; 3.1105895; 0.0079134; 26.6735443; -6.5431879
219.9572048; -0.8544669; -219.5052078; 3.1270663; 0.0085875; 26.1784320; -6.2577865
221.9568157; -0.8658673; -221.5048144; -3.1382283; 0.0093216; 25.6959924; -5.8221205
223.9564267; -0.8398375; -223.5043252; -3.1185885; 0.0103234; 25.2388604; -5.4334503
225.9560376; -0.7725410; -225.5029072; -3.0969539; 0.0112976; 24.8046468; -5.0816983
227.9556486; -0.6601365; -227.4990926; -3.0734123; 0.0122534; 24.3915490; -4.7457991
229.9552595; -0.4988140; -229.4924570; -3.0479434; 0.0132198; 23.9993366; -4.4312452
231.9548705; -0.2848733; -231.4806685; -3.0205369; 0.0141831; 23.6272433; -4.1304475
233.9544814; -0.0147188; -233.4614161; -2.9912177; 0.0151518; 23.2750521; -3.8526237
235.9540924; 0.3154673; -235.4340865; -2.9599640; 0.0161049; 22.9416772; -3.5745589
237.9537033; 0.7089358; -237.3946868; -2.9267830; 0.0170801; 22.6279716; -3.2882189
239.9533143; 1.1689159; -239.3398157; -2.8916426; 0.0180879; 22.3355049; -2.9654080
241.9529252; 1.6993891; -241.2685525; -2.8543794; 0.0191759; 22.0684267; -2.6306575
243.9525362; 2.3032368; -243.1748830; -2.8149149; 0.0202881; 21.8287625; -2.2732731
245.9521471; 2.9834974; -245.0540288; -2.7732283; 0.0214351; 21.6195178; -1.8950095
247.9517581; 3.7444179; -246.9041801; -2.7291922; 0.0226007; 21.4435302; -1.4785266
249.9513690; 4.5879322; -248.7174847; -2.6827810; 0.0238045; 21.3052113; -0.9924604
251.9509800; 5.5159909; -250.4870622; -2.6339381; 0.0250893; 21.2118589; -0.4681669
253.9505909; 6.5328994; -252.2101093; -2.5824871; 0.0263616; 21.1676795; -0.2793459
255.9502019; 7.6384793; -253.8763701; -2.5289327; 0.0268484; 21.1412746; -0.2793459
257.9498128; 8.8306489; -255.4794102; -2.4754095; 0.0264963; 21.1148366; -0.0916591
259.9494238; 10.1065413; -257.0190315; -2.4244645; 0.0244269; 21.1061545; 0.8401242
261.9490348; 11.4550300; -258.4932436; -2.3774997; 0.0227005; 21.1855989; 1.5308055
263.9486457; 12.8698464; -259.9057294; -2.3338586; 0.0207674; 21.3295952; 2.2674815
265.9482567; 14.3421913; -261.2586969; -2.2949373; 0.0181805; 21.5411187; 3.2738637
267.9478676; 15.8624776; -262.5568231; -2.2608337; 0.0160235; 21.8429096; 4.0567796
269.9474786; 17.4243453; -263.8061467; -2.2307453; 0.0141286; 22.2111833; 4.7215223
271.9470895; 19.0207574; -265.0106764; -2.2041956; 0.0124214; 22.6322575; 4.9798631
273.9467005; 20.6454029; -266.1743439; -2.1810734; 0.0107226; 23.0680441; 4.9674158
275.9463114; 22.2960123; -267.3038658; -2.1613178; 0.0090114; 23.4946899; 4.9549997
277.9459224; 23.9669111; -268.4035911; -2.1450412; 0.0072703; 23.9126870; 4.9426146
279.9455333; 25.6523038; -269.4780807; -2.1322533; 0.0055250; 24.3224836; 4.9302605
281.9451443; 27.3505748; -270.5345692; -2.1229347; 0.0037888; 24.7244902; 4.9179372
283.9447552; 29.0568850; -271.5782047; -2.1170944; 0.0020550; 25.1190832; 4.9056448
285.9443662; 30.7665940; -272.6143142; -2.1147505; 0.0002862; 25.5066090; 4.8933831
287.9439771; 32.4776467; -273.6498979; -2.1159521; -0.0015018; 25.8873874; -8.7347370
289.9435881; 34.1854152; -274.6905243; -2.1207783; -0.0033243; 25.2036639; -9.2947754
291.9431990; 35.8860880; -275.7423947; -2.1292488; -0.0051484; 24.4551182; -8.4260683
293.9428100; 37.5759847; -276.8118101; -2.1413666; -0.0069578; 23.7561589; -7.6652906
295.9424209; 39.2505387; -277.9044327; -2.1570637; -0.0087470; 23.1019456; -6.9822216
297.9420319; 40.9064261; -279.0266549; -2.1763549; -0.0105459; 22.4894739; -6.3694221
299.9416428; 42.5377696; -280.1832093; -2.1992668; -0.0123480; 21.9158323; -5.8301791
301.9412538; 44.1394638; -281.3792298; -2.2257183; -0.0141261; 21.3772665; -5.4792534
303.9408648; 45.7083540; -282.6210975; -2.2555032; -0.0156126; 20.8584461; -5.2136487
305.9404757; 47.2367205; -283.9105406; -2.2881801; -0.0170083; 20.3524995; -5.0217809
307.9400867; 48.7193326; -285.2502450; -2.3234656; -0.0183299; 19.8529851; -4.9000615
309.9396976; 50.1542748; -286.6456752; -2.3614184; -0.0195812; 19.3531544; -4.6064121
311.9393086; 51.5313540; -288.0941003; -2.4020495; -0.0213864; 18.8712088; -4.1019819
313.9389195; 52.8446369; -289.5994982; -2.4472733; -0.0238738; 18.4314347; -3.6490550
315.9385305; 54.0862413; -291.1678667; -2.4974627; -0.0263104; 18.0312064; -3.2559399
317.9381414; 55.2429715; -292.7983974; -2.5524575; -0.0286416; 17.6664422; -2.8927681
319.9377524; 56.3041940; -294.4920027; -2.6119849; -0.0309285; 17.3359268; -2.4978495
321.9373633; 57.2592793; -296.2490614; -2.6762142; -0.0333296; 17.0453778; -2.0395782
323.9369743; 58.0949625; -298.0654330; -2.7454099; -0.0358971; 16.8044095; -1.5413765
325.9365852; 58.7979593; -299.9364733; -2.8198476; -0.0384879; 16.6199841; -1.0424888
327.9361962; 59.3553049; -301.8566230; -2.8991455; -0.0409019; 16.4940815; -0.7573031
329.9358071; 59.7542730; -303.8161180; -2.9827672; -0.0424154; 16.4020152; -0.4981310
331.9354181; 59.9855761; -305.8004890; -3.0687657; -0.0436977; 16.3411740; -0.1664801
333.9350290; 60.0428986; -307.7983170; 3.1256833; -0.0450504; 16.3207897; -0.1664801
335.9346400; 59.9216328; -309.7930999; 3.0365064; -0.0439577; 16.3003799; 0.1542590
337.9342509; 59.6255549; -311.7701777; 2.9498521; -0.0425049; 16.3192923; 0.5136651
339.9338619; 59.1626604; -313.7152219; 2.8666330; -0.0407643; 16.3821110; 0.8921954
341.9334728; 58.5429520; -315.6157266; 2.7866231; -0.0393259; 16.4906534; 1.1356815
343.9330838; 57.7758382; -317.4616439; 2.7093302; -0.0378828; 16.6277927; 1.3532405
345.9326948; 56.8713479; -319.2440332; 2.6351905; -0.0362734; 16.7897409; 1.5985030
347.9323057; 55.8403339; -320.9560886; 2.5645507; -0.0343575; 16.9790509; 1.9149714
349.9319167; 54.6947234; -322.5925873; 2.4976579; -0.0327388; 17.2030975; 2.1260984
351.9315276; 53.4425774; -324.1529184; 2.4334509; -0.0313971; 17.4484757; 2.2508919
353.9311386; 52.0954642; -325.6310512; 2.3720874; -0.0299979; 17.7045508; 2.4012133
355.9307495; 50.6633780; -327.0245826; 2.3134563; -0.0286821; 17.9737059; 2.5322255
357.9303605; 49.1523531; -328.3349152; 2.2573095; -0.0274654; 18.2532473; 2.6408098
359.9299714; 47.5714318; -329.5604172; 2.2035019; -0.0263533; 18.5402864; 2.7264184
361.9295824; 45.9297729; -330.6997950; 2.1518600; -0.0253383; 18.8320411; 2.7922309
363.9291933; 44.2312242; -331.7553608; 2.1021406; -0.0243711; 19.1262261; 2.8561269
365.9288043; 42.4828134; -332.7271281; 2.0543327; -0.0234426; 19.4225335; 2.9208600
367.9284152; 40.6923251; -333.6151486; 2.0083958; -0.0225291; 19.7209527; 2.9949989
369.9280262; 38.8625940; -334.4220923; 1.9642035; -0.0216604; 20.0223286; 3.0659421
371.9276371; 36.9993223; -335.1491415; 1.9217290; -0.0208207; 20.3262152; 3.1396073
373.9272481; 35.1085207; -335.7976279; 1.8809327; -0.0200007; 20.6327655; 3.2194093
375.9268590; 33.1925427; -336.3702125; 1.8417184; -0.0192160; 20.9424483; 3.2979929
377.9264700; 31.2558015; -336.8687960; 1.8040543; -0.0184559; 21.2550123; 3.3797251
379.9260809; 29.3026766; -337.2954295; 1.7679038; -0.0177114; 21.5706240; 3.4682434
381.9256919; 27.3351861; -337.6527177; 1.7332048; -0.0169920; 21.8897714; 3.5586094
383.9253028; 25.3566324; -337.9429582; 1.6999306; -0.0162905; 22.2124686; 3.6540063
385.9249138; 23.3700239; -338.1685642; 1.6680502; -0.0156008; 22.5390094; 3.7571742
387.9245247; 21.3770864; -338.3321114; 1.6375261; -0.0149283; 22.8699086; 3.8651049
389.9241357; 19.3801676; -338.4360960; 1.6083378; -0.0142677; 23.2053901; 3.9804041
391.9237467; 17.3811975; -338.4830683; 1.5804595; -0.0136181; 23.5458839; 4.1035236
393.9233576; 15.3815980; -338.4755903; 1.5538656; -0.0129817; 23.8918302; 4.2330263
395.9229686; 13.3829183; -338.4162119; 1.5285358; -0.0123550; 24.2435221; 4.3710252
397.9225795; 11.3862629; -338.3074758; 1.5044545; -0.0117306; 24.6014036; 4.5220610
399.9221905; 9.3927380; -338.1519382; 1.4816171; -0.0111109; 24.9662530; 4.6848430
401.9218014; 7.4032048; -337.9521552; 1.4600182; -0.0104937; 25.3386960; 4.8612418
403.9214124; 5.4181663; -337.7106550; 1.4396491; -0.0098784; 25.7194615; 4.8865683
405.9210233; 3.4383985; -337.4300078; 1.4205088; -0.0092659; 26.0966122; 4.8743543
407.9206343; 1.4641968; -337.1127340; 1.4025927; -0.0086546; 26.4674667; 4.8621708
409.9202452; -0.5043891; -336.7613126; 1.3858956; -0.0080449; 26.8322883; 4.8500177
411.9198562; -2.4669080; -336.3783002; 1.3704179; -0.0074364; 27.1913220; 4.8378950
413.9194671; -4.4235111; -335.9661500; 1.3561561; -0.0068286; 27.5447963; 4.8258026
415.9190781; -6.3744804; -335.5272820; 1.3431074; -0.0062219; 27.8929249; 4.8137405
417.9186890; -8.3196570; -335.0642184; 1.3312727; -0.0056156; 28.2359076; 4.8017085
419.9183000; -10.2595280; -334.5793389; 1.3206504; -0.0050090; 28.5739317; 4.7897065
421.9179109; -12.1946128; -334.0750087; 1.3112378; -0.0044053; 28.9071734; 4.7777346
423.9175219; -14.1249933; -333.5537027; 1.3030332; -0.0037998; 29.2357982; 4.7657926
425.9171328; -16.0513869; -333.0177384; 1.2960453; -0.0031893; 29.5599621; 4.7538804
427.9167438; -17.9744368; -332.4694153; 1.2901853; -0.0026939; 29.8798122; 4.7419980
429.9163547; -19.8943114; -331.9107867; 1.2852165; -0.0023927; 30.1954878; 4.7301453
431.9159657; -21.8115336; -331.3428376; 1.2803498; -0.0024749; 30.5071202; 4.7183223
433.9155767; -23.7259390; -330.7654223; 1.2753548; -0.0025122; 30.8148341; 4.7065287
435.9151876; -25.6374198; -330.1783986; 1.2703090; -0.0025261; 31.1187476; 4.6947647
437.9147986; -27.5459335; -329.5817298; 1.2652721; -0.0025118; 31.4189729; 4.6830301
439.9144095; -29.4514297; -328.9754814; 1.2602631; -0.0024984; 31.7156166; 4.6713248
441.9140205; -31.3538699; -328.3597224; 1.2552806; -0.0024850; 32.0087801; 4.6596487
443.9136314; -33.2532256; -327.7345181; 1.2503252; -0.0024714; 32.2985599; 4.6480019
445.9132424; -35.1494773; -327.0999323; 1.2453969; -0.0024579; 32.5850481; 4.6363841
447.9128533; -37.0425771; -326.4560377; 1.2404954; -0.0024445; 32.8683326; 4.6247954
449.9124643; -38.9325071; -325.8028974; 1.2356209; -0.0024310; 33.1484973; 4.6132357
451.9120752; -40.8192540; -325.1405729; 1.2307733; -0.0024175; 33.4256223; 4.6017049
453.9116862; -42.7027599; -324.4691416; 1.2259528; -0.0024040; 33.6997844; 4.5902028
455.9112971; -44.5830187; -323.7886632; 1.2211592; -0.0023905; 33.9710569; 4.5787296
