# 657d0c98-27fc-4cac-8199-f8eab3b7c51c
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.1914958; 1.1970534; -0.0691753; -0.0002347; 58.8683885; 0.8169734
1.9996442; -2.0528129; 3.1918857; -0.0696429; -0.0002329; 58.8961329; 0.8079952
3.9992885; -1.9132009; 5.1866513; -0.0701070; -0.0002312; 58.9235596; 0.7991189
5.9989327; -1.7726669; 7.1813470; -0.0705677; -0.0002295; 58.9506725; 0.7903433
7.9985769; -1.6312169; 9.1759857; -0.0710250; -0.0002278; 58.9774753; 0.7816670
9.9982212; -1.4888584; 11.1705561; -0.0714788; -0.0002261; 59.0039720; 0.7730891
11.9978654; -1.3455983; 13.1650583; -0.0719293; -0.0002244; 59.0301661; 0.7646081
13.9975097; -1.2014425; 15.1595031; -0.0723764; -0.0002227; 59.0560615; 0.7562231
15.9971539; -1.0563988; 17.1538800; -0.0728201; -0.0002210; 59.0816618; 0.7479328
17.9967981; -0.9104738; 19.1481892; -0.0732604; -0.0002193; 59.1069705; 0.7397362
19.9964424; -0.7636737; 21.1424409; -0.0736973; -0.0002176; 59.1319911; 0.7316320
21.9960866; -0.6160060; 23.1366252; -0.0741307; -0.0002159; 59.1567273; 0.7236192
23.9957308; -0.4674774; 25.1307424; -0.0745608; -0.0002142; 59.1811824; 0.7156967
25.9953751; -0.3180942; 27.1248022; -0.0749875; -0.0002125; 59.2053597; 0.7078634
27.9950193; -0.1678638; 29.1187950; -0.0754108; -0.0002108; 59.2292628; 0.7001183
29.9946636; -0.0167930; 31.1127214; -0.0758306; -0.0002091; 59.2528948; 0.6924603
31.9943078; 0.1351120; 33.1065905; -0.0762471; -0.0002074; 59.2762591; 0.6848884
33.9939520; 0.2878437; 35.1003933; -0.0766602; -0.0002057; 59.2993589; 0.6774016
35.9935963; 0.4413955; 37.0941303; -0.0770698; -0.0002040; 59.3221972; 0.6699988
37.9932405; 0.5957610; 39.0878102; -0.0774761; -0.0002023; 59.3447774; 0.6626790
39.9928847; 0.7509329; 41.0814247; -0.0778790; -0.0002006; 59.3671024; 0.6554414
41.9925290; 0.9069042; 43.0749739; -0.0782784; -0.0001989; 59.3891753; 0.6482848
43.9921732; 1.0636690; 45.0684665; -0.0786745; -0.0001972; 59.4109992; 0.6412084
45.9918174; 1.2212197; 47.0618944; -0.0790671; -0.0001955; 59.4325770; 0.6342113
47.9914617; 1.3795494; 49.0552579; -0.0794564; -0.0001938; 59.4539115; 0.6272924
49.9911059; 1.5386521; 51.0485651; -0.0798422; -0.0001921; 59.4750058; 0.6204508
51.9907502; 1.6985203; 53.0418085; -0.0802247; -0.0001904; 59.4958627; 0.6136858
53.9903944; 1.8591472; 55.0349883; -0.0806037; -0.0001887; 59.5164850; 0.6069963
55.9900386; 2.0205266; 57.0281124; -0.0809793; -0.0001870; 59.5368755; 0.6003814
57.9896829; 2.1826511; 59.0211735; -0.0813516; -0.0001853; 59.5570369; 0.5938404
59.9893271; 2.3455138; 61.0141719; -0.0817204; -0.0001836; 59.5769719; 0.5873723
61.9889713; 2.5091086; 63.0071153; -0.0820858; -0.0001819; 59.5966832; 0.5809763
63.9886156; 2.6734281; 64.9999967; -0.0824478; -0.0001802; 59.6161735; 0.5746515
65.9882598; 2.8384654; 66.9928163; -0.0828065; -0.0001785; 59.6354453; 0.5683972
67.9879041; 3.0042144; 68.9855816; -0.0831617; -0.0001768; 59.6545013; 0.5622125
69.9875483; 3.1706676; 70.9782859; -0.0835135; -0.0001751; 59.6733439; 0.5560965
71.9871925; 3.3378183; 72.9709295; -0.0838619; -0.0001734; 59.6919757; 0.5500486
73.9868368; 3.5056602; 74.9635195; -0.0842069; -0.0001717; 59.7103992; 0.5440679
75.9864810; 3.6741859; 76.9560495; -0.0845485; -0.0001700; 59.7286167; 0.5381535
77.9861252; 3.8433887; 78.9485201; -0.0848867; -0.0001683; 59.7466307; 0.5323049
79.9857695; 4.0132623; 80.9409378; -0.0852214; -0.0001666; 59.7644436; 0.5265211
81.9854137; 4.1837993; 82.9332967; -0.0855528; -0.0001649; 59.7820578; 0.5208015
83.9850579; 4.3549930; 84.9255973; -0.0858808; -0.0001632; 59.7994755; 0.5151453
85.9847022; 4.5268371; 86.9178459; -0.0862054; -0.0001615; 59.8166990; 0.5095518
87.9843464; 4.6993242; 88.9100369; -0.0865265; -0.0001598; 59.8337307; 0.5040202
89.9839907; 4.8724476; 90.9021708; -0.0868443; -0.0001581; 59.8505727; 0.4985499
91.9836349; 5.0462009; 92.8942538; -0.0871586; -0.0001564; 59.8672272; 0.4931401
