# 40933353-e58f-4780-84d0-0100503c573e
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 5.8665848; -0.6747525; -0.1075052; -0.0000066; 37.2628262; 4.3690348
1.9993059; 6.0811204; 1.3130097; -0.1075190; -0.0000072; 37.4965104; 4.3464318
3.9986117; 6.2956844; 3.3007688; -0.1075338; -0.0000077; 37.7275494; 4.3240175
5.9979176; 6.5102790; 5.2885246; -0.1075497; -0.0000082; 37.9560015; 4.3017886
7.9972235; 6.7249060; 7.2762769; -0.1075666; -0.0000087; 38.1819229; 4.2797418
9.9965293; 6.9395677; 9.2640255; -0.1075845; -0.0000092; 38.4053676; 4.2578740
11.9958352; 7.1542659; 11.2517700; -0.1076034; -0.0000097; 38.6263880; 4.2361819
13.9951411; 7.3690029; 13.2395105; -0.1076234; -0.0000103; 38.8450343; 4.2146628
15.9944469; 7.5837806; 15.2272465; -0.1076444; -0.0000108; 39.0613555; 4.1933138
17.9937528; 7.7986011; 17.2149779; -0.1076665; -0.0000113; 39.2753985; 4.1721320
19.9930587; 8.0134664; 19.2027044; -0.1076895; -0.0000118; 39.4872089; 4.1511148
21.9923645; 8.2283786; 21.1904259; -0.1077136; -0.0000123; 39.6968306; 4.1302595
23.9916704; 8.4433398; 23.1781421; -0.1077388; -0.0000128; 39.9043063; 4.1095636
25.9909763; 8.6583519; 25.1658528; -0.1077650; -0.0000133; 40.1096773; 4.0917667
27.9902821; 8.8734171; 27.1535577; -0.1077922; -0.0000139; 40.3131194; 4.0764548
29.9895880; 9.0885374; 29.1412567; -0.1078204; -0.0000144; 40.5147844; 4.0612255
31.9888939; 9.3037148; 31.1289495; -0.1078497; -0.0000149; 40.7147028; 4.0460780
33.9881998; 9.5189515; 33.1166359; -0.1078800; -0.0000154; 40.9129041; 4.0310113
35.9875056; 9.7342493; 35.1043156; -0.1079113; -0.0000159; 41.1094170; 4.0160245
37.9868115; 9.9496105; 37.0919885; -0.1079436; -0.0000164; 41.3042696; 4.0011166
39.9861174; 10.1650370; 39.0796543; -0.1079770; -0.0000170; 41.4974891; 3.9862868
41.9854232; 10.3805310; 41.0673128; -0.1080115; -0.0000175; 41.6891019; 3.9715342
43.9847291; 10.5960944; 43.0549638; -0.1080469; -0.0000180; 41.8791337; 3.9568580
45.9840350; 10.8117293; 45.0426070; -0.1080834; -0.0000185; 42.0676096; 3.9422574
47.9833408; 11.0274377; 47.0302422; -0.1081209; -0.0000190; 42.2545540; 3.9277316
