# 77459b07-7714-496f-9da0-88f542eb7a2b
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 4.8884774; -5.0871924; 2.3376238; 0.0000614; 58.2251974; 1.0248422
1.9998304; 3.4484536; -6.4748720; 2.3377472; 0.0000621; 58.2603864; 1.0134830
3.9996608; 2.0086024; -7.8627301; 2.3378721; 0.0000628; 58.2951646; 1.0022550
5.9994911; 0.5689258; -9.2507687; 2.3379984; 0.0000635; 58.3295371; 0.9911564
7.9993215; -0.8705752; -10.6389907; 2.3381260; 0.0000642; 58.3635090; 0.9801858
9.9991519; -2.3098976; -12.0273971; 2.3382551; 0.0000649; 58.3970855; 0.9693414
11.9989823; -3.7490396; -13.4159900; 2.3383855; 0.0000656; 58.4302715; 0.9586217
13.9988127; -5.1880002; -14.8047721; 2.3385173; 0.0000663; 58.4630721; 0.9480252
15.9986430; -6.6267763; -16.1937446; 2.3386506; 0.0000670; 58.4954919; 0.9375504
17.9984734; -8.0653662; -17.5829095; 2.3387851; 0.0000677; 58.5275359; 0.9271957
19.9983038; -9.5037688; -18.9722696; 2.3389211; 0.0000683; 58.5592087; 0.9169597
21.9981342; -10.9419811; -20.3618259; 2.3390585; 0.0000690; 58.5905150; 0.9068410
23.9979646; -12.3800012; -21.7515805; 2.3391973; 0.0000697; 58.6214595; 0.8968379
25.9977949; -13.8178282; -23.1415363; 2.3393374; 0.0000704; 58.6520465; 0.8869493
27.9976253; -15.2554590; -24.5316942; 2.3394789; 0.0000711; 58.6822806; 0.8771736
29.9974557; -16.6928918; -25.9220562; 2.3396219; 0.0000718; 58.7121661; 0.8675094
31.9972861; -18.1301256; -27.3126254; 2.3397662; 0.0000725; 58.7417074; 0.8579555
33.9971165; -19.5671574; -28.7034026; 2.3399119; 0.0000732; 58.7709088; 0.8485105
35.9969468; -21.0039852; -30.0943898; 2.3400590; 0.0000739; 58.7997745; 0.8391730
37.9967772; -22.4406081; -31.4855900; 2.3402074; 0.0000746; 58.8283085; 0.8299417
39.9966076; -23.8770232; -32.8770041; 2.3403573; 0.0000753; 58.8565151; 0.8208154
41.9964380; -25.3132284; -34.2686342; 2.3405085; 0.0000760; 58.8843982; 0.8117927
43.9962684; -26.7492228; -35.6604832; 2.3406612; 0.0000767; 58.9119619; 0.8028725
45.9960987; -28.1850035; -37.0525519; 2.3408152; 0.0000774; 58.9392099; 0.7940535
47.9959291; -29.6205684; -38.4448425; 2.3409706; 0.0000781; 58.9661463; 0.7853344
49.9957595; -31.0559166; -39.8373573; 2.3411269; 0.0000783; 58.9927748; 0.7767141
51.9955899; -32.4910464; -41.2300962; 2.3412832; 0.0000775; 59.0190992; 0.7681914
53.9954203; -33.9259613; -42.6230580; 2.3414363; 0.0000757; 59.0451233; 0.7597651
55.9952506; -35.3606645; -44.0162360; 2.3415855; 0.0000735; 59.0708505; 0.7514340
57.9950810; -36.7951636; -45.4096252; 2.3417302; 0.0000712; 59.0962847; 0.7431970
59.9949114; -38.2294650; -46.8032194; 2.3418703; 0.0000689; 59.1214293; 0.7350531
61.9947418; -39.6635730; -48.1970100; 2.3420059; 0.0000667; 59.1462878; 0.7270009
63.9945722; -41.0974958; -49.5909925; 2.3421370; 0.0000644; 59.1708638; 0.7190396
65.9944025; -42.5312395; -50.9851602; 2.3422635; 0.0000622; 59.1951606; 0.7111680
67.9942329; -43.9648087; -52.3795050; 2.3423856; 0.0000599; 59.2191816; 0.7033849
69.9940633; -45.3982115; -53.7740222; 2.3425031; 0.0000576; 59.2429301; 0.6956895
71.9938937; -46.8314541; -55.1687051; 2.3426161; 0.0000554; 59.2664094; 0.6880806
73.9937241; -48.2645411; -56.5635456; 2.3427246; 0.0000531; 59.2896228; 0.6805572
75.9935544; -49.6974804; -57.9585389; 2.3428286; 0.0000509; 59.3125735; 0.6731183
77.9933848; -51.1302784; -59.3536786; 2.3429281; 0.0000486; 59.3352646; 0.6657628
79.9932152; -52.5629396; -60.7489564; 2.3430230; 0.0000463; 59.3576991; 0.6584899
81.9930456; -53.9954721; -62.1443675; 2.3431135; 0.0000441; 59.3798803; 0.6512986
83.9928760; -55.4278822; -63.5399056; 2.3431994; 0.0000418; 59.4018110; 0.6441878
85.9927063; -56.8601743; -64.9355622; 2.3432808; 0.0000396; 59.4234944; 0.6371566
87.9925367; -58.2923565; -66.3313328; 2.3433576; 0.0000373; 59.4449333; 0.6302041
89.9923671; -59.7244353; -67.7272108; 2.3434299; 0.0000350; 59.4661307; 0.6233294
91.9921975; -61.1564153; -69.1231877; 2.3434974; 0.0000325; 59.4870894; 0.6165315
93.9920279; -62.5883051; -70.5192582; 2.3435599; 0.0000300; 59.5078123; 0.6098096
95.9918582; -64.0201118; -71.9154153; 2.3436174; 0.0000274; 59.5283021; 0.6031627
97.9916886; -65.4518417; -73.3116475; 2.3436660; 0.0000212; 59.5485617; 0.5965901
99.9915190; -66.8835119; -74.7079381; 2.3436987; 0.0000085; 59.5685937; 0.5900907
101.9913494; -68.3151652; -76.1042583; 2.3436970; -0.0000102; 59.5884009; 0.5836638
103.9911798; -69.7468334; -77.5005414; 2.3436638; -0.0000230; 59.6079859; 0.5773085
105.9910101; -71.1785721; -78.8967646; 2.3436049; -0.0000358; 59.6273513; 0.5710241
107.9908405; -72.6104204; -80.2928948; 2.3435207; -0.0000484; 59.6464996; 0.5648095
109.9906709; -74.0423879; -81.6888701; 2.3434106; -0.0000616; 59.6654336; 0.5586641
111.9905013; -75.4745349; -83.0846762; 2.3432741; -0.0000748; 59.6841556; 0.5525871
113.9903317; -76.9068993; -84.4802761; 2.3431113; -0.0000880; 59.7026682; 0.5465776
115.9901620; -78.3394934; -85.8756082; 2.3429220; -0.0001013; 59.7209739; 0.5406348
117.9899924; -79.7723776; -87.2706576; 2.3427063; -0.0001145; 59.7390749; 0.5347581
119.9898228; -81.2055895; -88.6653872; 2.3424642; -0.0001277; 59.7569739; 0.5289466
121.9896532; -82.6391414; -90.0597350; 2.3421956; -0.0001409; 59.7746730; 0.5231995
123.9894836; -84.0730937; -91.4536864; 2.3419007; -0.0001541; 59.7921747; 0.5175162
125.9893139; -85.5074842; -92.8472042; 2.3415793; -0.0001673; 59.8094812; 0.5118959
127.9891443; -86.9423244; -94.2402260; 2.3412315; -0.0001805; 59.8265949; 0.5063379
129.9889747; -88.3776753; -95.6327373; 2.3408572; -0.0001937; 59.8435179; 0.5008414
131.9888051; -89.8135744; -97.0247008; 2.3404565; -0.0002070; 59.8602525; 0.4954057
133.9886355; -91.2500326; -98.4160537; 2.3400294; -0.0002202; 59.8768009; 0.4900302
135.9884658; -92.6871114; -99.8067816; 2.3395759; -0.0002334; 59.8931652; 0.4847142
137.9882962; -94.1248482; -101.1968473; 2.3390959; -0.0002466; 59.9093476; 0.4794569
139.9881266; -95.5632531; -102.5861870; 2.3385895; -0.0002599; 59.9253502; 0.4742577
141.9879570; -97.0023880; -103.9747870; 2.3380566; -0.0002731; 59.9411750; 0.4691159
143.9877874; -98.4422905; -105.3626099; 2.3374972; -0.0002863; 59.9568242; 0.4640310
145.9876177; -99.8829693; -106.7495909; 2.3369115; -0.0002995; 59.9722997; 0.4590021
147.9874481; -101.3244872; -108.1357168; 2.3362992; -0.0003128; 59.9876036; 0.4540287
149.9872785; -102.7668818; -109.5209503; 2.3356605; -0.0003260; 60.0027379; 0.4495665
151.9871089; -104.2101602; -110.9052250; 2.3349954; -0.0003392; 60.0177196; 0.4471942
153.9869393; -105.6543862; -112.2885289; 2.3343038; -0.0003525; 60.0326185; 0.4448347
155.9867696; -107.0995974; -113.6708245; 2.3335855; -0.0003658; 60.0474352; 0.4424880
157.9866000; -108.5457992; -115.0520435; 2.3328411; -0.0003786; 60.0621701; 0.4401540
159.9864304; -109.9930573; -116.4321773; 2.3320707; -0.0003926; 60.0768237; 0.4378326
161.9862608; -111.4414076; -117.8111826; 2.3312702; -0.0004080; 60.0913964; 0.4355237
163.9860912; -112.8908678; -119.1889869; 2.3304334; -0.0004289; 60.1058888; 0.4332273
