# 727b4ebe-74a7-45dd-b793-534a776a19a0
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -4.4502561; -1.4230274; -0.0474898; 0.0000012; 57.4499906; 1.2746890
1.9997422; -4.3553270; 0.5744603; -0.0474872; 0.0000014; 57.4943433; 1.2604145
3.9994843; -4.2604036; 2.5719483; -0.0474841; 0.0000016; 57.5381658; 1.2463082
5.9992265; -4.1654867; 4.5694366; -0.0474806; 0.0000018; 57.5814650; 1.2323681
7.9989686; -4.0705772; 6.5669252; -0.0474768; 0.0000020; 57.6242479; 1.2185918
9.9987108; -3.9756757; 8.5644142; -0.0474725; 0.0000022; 57.6665214; 1.2049774
11.9984529; -3.8807832; 10.5619037; -0.0474678; 0.0000024; 57.7082921; 1.1915226
13.9981951; -3.7859005; 12.5593936; -0.0474627; 0.0000026; 57.7495667; 1.1782255
15.9979372; -3.6910283; 14.5568840; -0.0474573; 0.0000028; 57.7903517; 1.1650841
17.9976794; -3.5961674; 16.5543750; -0.0474514; 0.0000030; 57.8306535; 1.1520963
19.9974215; -3.5013187; 18.5518665; -0.0474451; 0.0000032; 57.8704784; 1.1392602
21.9971637; -3.4064830; 20.5493586; -0.0474384; 0.0000034; 57.9098327; 1.1265739
23.9969058; -3.3116611; 22.5468515; -0.0474313; 0.0000037; 57.9487225; 1.1140353
25.9966480; -3.2168537; 24.5443449; -0.0474238; 0.0000039; 57.9871538; 1.1016428
27.9963902; -3.1220617; 26.5418391; -0.0474159; 0.0000041; 58.0251326; 1.0893943
29.9961323; -3.0272859; 28.5393342; -0.0474076; 0.0000043; 58.0626647; 1.0772882
31.9958745; -2.9325271; 30.5368299; -0.0473989; 0.0000045; 58.0997558; 1.0653225
33.9956166; -2.8377862; 32.5343266; -0.0473897; 0.0000047; 58.1364117; 1.0534956
35.9953588; -2.7430638; 34.5318241; -0.0473802; 0.0000049; 58.1726379; 1.0418056
37.9951009; -2.6483609; 36.5293225; -0.0473703; 0.0000051; 58.2084400; 1.0302509
39.9948431; -2.5536782; 38.5268219; -0.0473600; 0.0000053; 58.2438234; 1.0188298
41.9945852; -2.4590165; 40.5243224; -0.0473492; 0.0000055; 58.2787934; 1.0075406
43.9943274; -2.3643767; 42.5218238; -0.0473381; 0.0000057; 58.3133552; 0.9963816
45.9940695; -2.2697595; 44.5193263; -0.0473266; 0.0000059; 58.3475142; 0.9853512
47.9938117; -2.1751658; 46.5168299; -0.0473146; 0.0000061; 58.3812753; 0.9744479
49.9935538; -2.0805963; 48.5143347; -0.0473023; 0.0000063; 58.4146437; 0.9636700
51.9932960; -1.9860519; 50.5118406; -0.0472895; 0.0000065; 58.4476242; 0.9530160
53.9930382; -1.8915334; 52.5093478; -0.0472764; 0.0000067; 58.4802219; 0.9424843
55.9927803; -1.7970415; 54.5068562; -0.0472628; 0.0000069; 58.5124414; 0.9320735
57.9925225; -1.7025772; 56.5043660; -0.0472488; 0.0000071; 58.5442876; 0.9217821
59.9922646; -1.6081412; 58.5018771; -0.0472345; 0.0000073; 58.5757652; 0.9116085
61.9920068; -1.5137342; 60.4993895; -0.0472197; 0.0000075; 58.6068787; 0.9015514
63.9917489; -1.4193572; 62.4969034; -0.0472045; 0.0000077; 58.6376327; 0.8916093
65.9914911; -1.3250109; 64.4944187; -0.0471889; 0.0000079; 58.6680318; 0.8817808
67.9912332; -1.2306961; 66.4919355; -0.0471730; 0.0000081; 58.6980802; 0.8720646
69.9909754; -1.1364136; 68.4894539; -0.0471566; 0.0000083; 58.7277824; 0.8624591
71.9907175; -1.0421643; 70.4869738; -0.0471398; 0.0000085; 58.7571427; 0.8529632
73.9904597; -0.9479489; 72.4844953; -0.0471226; 0.0000087; 58.7861653; 0.8435754
75.9902019; -0.8537683; 74.4820184; -0.0471050; 0.0000089; 58.8148544; 0.8342945
77.9899440; -0.7596232; 76.4795432; -0.0470870; 0.0000091; 58.8432141; 0.8251191
79.9896862; -0.6655145; 78.4770697; -0.0470686; 0.0000093; 58.8712485; 0.8160479
81.9894283; -0.5714429; 80.4745980; -0.0470498; 0.0000095; 58.8989615; 0.8070798
83.9891705; -0.4774094; 82.4721281; -0.0470305; 0.0000097; 58.9263572; 0.7982135
85.9889126; -0.3834146; 84.4696600; -0.0470109; 0.0000099; 58.9534394; 0.7894476
87.9886548; -0.2894594; 86.4671937; -0.0469909; 0.0000101; 58.9802119; 0.7807811
89.9883969; -0.1955447; 88.4647294; -0.0469705; 0.0000103; 59.0066786; 0.7722128
91.9881391; -0.1016711; 90.4622670; -0.0469496; 0.0000105; 59.0328432; 0.7637414
93.9878812; -0.0078395; 92.4598066; -0.0469284; 0.0000107; 59.0587093; 0.7553657
95.9876234; 0.0859492; 94.4573482; -0.0469068; 0.0000109; 59.0842806; 0.7470847
97.9873655; 0.1796943; 96.4548918; -0.0468847; 0.0000111; 59.1095607; 0.7388972
99.9871077; 0.2733950; 98.4524375; -0.0468623; 0.0000113; 59.1345532; 0.7308021
101.9868499; 0.3670505; 100.4499853; -0.0468394; 0.0000115; 59.1592614; 0.7227983
103.9865920; 0.4606599; 102.4475353; -0.0468162; 0.0000117; 59.1836889; 0.7148846
105.9863342; 0.5542224; 104.4450875; -0.0467925; 0.0000119; 59.2078390; 0.7070601
107.9860763; 0.6477373; 106.4426419; -0.0467685; 0.0000121; 59.2317151; 0.6993237
109.9858185; 0.7412037; 108.4401986; -0.0467440; 0.0000123; 59.2553205; 0.6916742
111.9855606; 0.8346208; 110.4377576; -0.0467191; 0.0000125; 59.2786585; 0.6841108
113.9853028; 0.9279879; 112.4353189; -0.0466939; 0.0000127; 59.3017322; 0.6766323
115.9850449; 1.0213040; 114.4328826; -0.0466682; 0.0000129; 59.3245448; 0.6692378
117.9847871; 1.1145685; 116.4304487; -0.0466421; 0.0000131; 59.3470996; 0.6619262
119.9845292; 1.2077805; 118.4280173; -0.0466156; 0.0000133; 59.3693994; 0.6546966
121.9842714; 1.3009391; 120.4255884; -0.0465887; 0.0000135; 59.3914475; 0.6475481
123.9840135; 1.3940437; 122.4231620; -0.0465614; 0.0000137; 59.4132468; 0.6404796
125.9837557; 1.4870933; 124.4207381; -0.0465337; 0.0000140; 59.4348003; 0.6334902
127.9834979; 1.5800872; 126.4183168; -0.0465056; 0.0000142; 59.4561109; 0.6265791
129.9832400; 1.6730245; 128.4158982; -0.0464771; 0.0000144; 59.4771815; 0.6197452
131.9829822; 1.7659045; 130.4134823; -0.0464482; 0.0000146; 59.4980149; 0.6129877
133.9827243; 1.8587264; 132.4110690; -0.0464189; 0.0000148; 59.5186140; 0.6063056
135.9824665; 1.9514893; 134.4086585; -0.0463892; 0.0000150; 59.5389815; 0.5996982
137.9822086; 2.0441924; 136.4062507; -0.0463591; 0.0000152; 59.5591202; 0.5931644
139.9819508; 2.1368350; 138.4038458; -0.0463285; 0.0000154; 59.5790328; 0.5867036
141.9816929; 2.2294162; 140.4014437; -0.0462976; 0.0000156; 59.5987220; 0.5803147
143.9814351; 2.3219352; 142.3990445; -0.0462663; 0.0000158; 59.6181904; 0.5739970
145.9811772; 2.4143912; 144.3966482; -0.0462345; 0.0000160; 59.6374406; 0.5677497
