# 48347934-9b83-4370-8f24-591007c2cb25
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -5.7484614; -1.9227515; -2.8764484; 0.0000107; 61.2277524; 0.2546638
1.9992030; -5.2245535; -3.8520885; -2.8764293; 0.0000083; 61.2360671; 0.2533345
3.9984060; -4.7006138; -5.7814159; -2.8764150; 0.0000060; 61.2443373; 0.2520122
5.9976089; -4.1766521; -7.7107330; -2.8764054; 0.0000036; 61.2525632; 0.2506969
7.9968119; -3.6526749; -9.6400519; -2.8764006; 0.0000013; 61.2607450; 0.2493886
9.9960149; -3.1286936; -11.5693670; -2.8764004; -0.0000011; 61.2688831; 0.2480872
11.9952179; -2.6047173; -13.4986803; -2.8764050; -0.0000035; 61.2769777; 0.2467927
13.9944209; -2.0807530; -15.4280028; -2.8764144; -0.0000059; 61.2850289; 0.2455050
15.9936239; -1.5568120; -17.3573288; -2.8764284; -0.0000082; 61.2930371; 0.2442242
17.9928268; -1.0329036; -19.2866605; -2.8764473; -0.0000106; 61.3010025; 0.2429501
19.9920298; -0.5090345; -21.2160090; -2.8764709; -0.0000130; 61.3089253; 0.2416827
21.9912328; 0.0147837; -23.1453682; -2.8764989; -0.0000147; 61.3168057; 0.2404220
23.9904358; 0.5385444; -25.0747400; -2.8765295; -0.0000158; 61.3246441; 0.2391680
25.9896388; 1.0622488; -27.0041333; -2.8765572; -0.0000119; 61.3324405; 0.2379206
27.9888418; 1.5859068; -28.9335360; -2.8765766; -0.0000072; 61.3401953; 0.2366798
29.9880447; 2.1095363; -30.8629433; -2.8765857; -0.0000019; 61.3479087; 0.2354456
31.9872477; 2.6331599; -32.7923586; -2.8765844; 0.0000033; 61.3555810; 0.2342178
33.9864507; 3.1567955; -34.7217675; -2.8765724; 0.0000086; 61.3632122; 0.2329966
35.9856537; 3.6804634; -36.6511642; -2.8765500; 0.0000139; 61.3708027; 0.2317818
37.9848567; 4.2041865; -38.5805526; -2.8765170; 0.0000191; 61.3783527; 0.2305734
39.9840597; 4.7279825; -40.5099179; -2.8764735; 0.0000244; 61.3858625; 0.2293714
41.9832626; 5.2518717; -42.4392545; -2.8764195; 0.0000296; 61.3933321; 0.2281757
43.9824656; 5.7758769; -44.3685663; -2.8763550; 0.0000349; 61.4007620; 0.2269864
45.9816686; 6.3000159; -46.2978384; -2.8762800; 0.0000402; 61.4081522; 0.2258033
47.9808716; 6.8243089; -48.2270653; -2.8761944; 0.0000454; 61.4155030; 0.2246264
49.9800746; 7.3487788; -50.1562508; -2.8760984; 0.0000507; 61.4228146; 0.2234558
51.9792776; 7.8734432; -52.0853800; -2.8759919; 0.0000559; 61.4300873; 0.2222913
53.9784805; 8.3983224; -54.0144476; -2.8758748; 0.0000612; 61.4373212; 0.2211330
55.9776835; 8.9234391; -55.9434570; -2.8757473; 0.0000664; 61.4445165; 0.2199807
57.9768865; 9.4488110; -57.8723936; -2.8756094; 0.0000717; 61.4516736; 0.2188346
59.9760895; 9.9744585; -59.8012522; -2.8754608; 0.0000770; 61.4587925; 0.2176945
61.9752925; 10.5004042; -61.7300356; -2.8753019; 0.0000819; 61.4658735; 0.2165604
63.9744954; 11.0266651; -63.6587299; -2.8751329; 0.0000876; 61.4729168; 0.2154322
65.9736984; 11.5532630; -65.5873294; -2.8749515; 0.0000939; 61.4799226; 0.2143101
67.9729014; 12.0802193; -67.5158315; -2.8747632; 0.0000945; 61.4868912; 0.2131938
69.9721044; 12.6075383; -69.4442314; -2.8745767; 0.0000889; 61.4938226; 0.2120834
71.9713074; 13.1352026; -71.3725500; -2.8744106; 0.0000772; 61.5007172; 0.2109788
73.9705104; 13.6631617; -73.3007716; -2.8742658; 0.0000675; 61.5075751; 0.2098801
75.9697133; 14.1913834; -75.2289303; -2.8741407; 0.0000575; 61.5143965; 0.2087872
77.9689163; 14.7198288; -77.1570355; -2.8740360; 0.0000473; 61.5211817; 0.2077000
79.9681193; 15.2484523; -79.0850755; -2.8739516; 0.0000371; 61.5279308; 0.2066185
81.9673223; 15.7772211; -81.0130841; -2.8738875; 0.0000270; 61.5346440; 0.2055427
83.9665253; 16.3060959; -82.9410712; -2.8738437; 0.0000168; 61.5413215; 0.2044726
85.9657283; 16.8350315; -84.8690263; -2.8738203; 0.0000066; 61.5479636; 0.2034082
87.9649312; 17.3639946; -86.7969815; -2.8738172; -0.0000036; 61.5545703; 0.2023493
