# a8fd602a-bb80-4db2-9e93-2caa26584613
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.0160673; -1.1772051; 1.6744858; 0.0000127; 53.3725099; 2.1823585
1.9994692; -0.9726603; -1.3841827; 1.6745108; 0.0000123; 53.4542040; 2.1687346
3.9989384; -2.9613827; -1.5912094; 1.6745352; 0.0000120; 53.5352647; 2.1552082
5.9984076; -4.9501001; -1.7982841; 1.6745590; 0.0000117; 53.6156983; 2.1417782
7.9978768; -6.9388128; -2.0054053; 1.6745821; 0.0000114; 53.6955114; 2.1284439
9.9973460; -8.9275206; -2.2125721; 1.6746047; 0.0000111; 53.7747102; 2.1152043
11.9968152; -10.9162239; -2.4197830; 1.6746266; 0.0000108; 53.8533010; 2.1020586
13.9962844; -12.9049227; -2.6270369; 1.6746479; 0.0000105; 53.9312900; 2.0890060
15.9957536; -14.8936171; -2.8343325; 1.6746686; 0.0000102; 54.0086830; 2.0760455
17.9952228; -16.8823073; -3.0416687; 1.6746887; 0.0000099; 54.0854862; 2.0631765
19.9946920; -18.8709935; -3.2490441; 1.6747081; 0.0000096; 54.1617054; 2.0503980
21.9941611; -20.8596756; -3.4564577; 1.6747269; 0.0000093; 54.2373465; 2.0377093
23.9936303; -22.8483539; -3.6639081; 1.6747452; 0.0000090; 54.3124150; 2.0251095
25.9930995; -24.8370285; -3.8713941; 1.6747628; 0.0000087; 54.3869167; 2.0125979
27.9925687; -26.8256995; -4.0789145; 1.6747798; 0.0000083; 54.4608572; 2.0001737
29.9920379; -28.8143670; -4.2864681; 1.6747961; 0.0000080; 54.5342419; 1.9878361
31.9915071; -30.8030313; -4.4940536; 1.6748119; 0.0000077; 54.6070762; 1.9755844
33.9909763; -32.7916922; -4.7016699; 1.6748270; 0.0000074; 54.6793655; 1.9634178
35.9904455; -34.7803501; -4.9093156; 1.6748416; 0.0000071; 54.7511151; 1.9513356
37.9899147; -36.7690051; -5.1169897; 1.6748555; 0.0000068; 54.8223300; 1.9393371
39.9893839; -38.7576573; -5.3246907; 1.6748688; 0.0000065; 54.8930156; 1.9274215
41.9888531; -40.7463067; -5.5324176; 1.6748814; 0.0000062; 54.9631768; 1.9155881
43.9883223; -42.7349536; -5.7401691; 1.6748935; 0.0000059; 55.0328186; 1.9038362
45.9877915; -44.7235980; -5.9479440; 1.6749049; 0.0000056; 55.1019459; 1.8921651
47.9872607; -46.7122401; -6.1557410; 1.6749158; 0.0000053; 55.1705637; 1.8805742
49.9867299; -48.7008800; -6.3635589; 1.6749260; 0.0000050; 55.2386766; 1.8690627
51.9861991; -50.6895179; -6.5713965; 1.6749356; 0.0000046; 55.3062895; 1.8576300
53.9856683; -52.6781539; -6.7792526; 1.6749445; 0.0000043; 55.3734071; 1.8462754
55.9851375; -54.6667880; -6.9871259; 1.6749529; 0.0000040; 55.4400338; 1.8349983
57.9846067; -56.6554205; -7.1950152; 1.6749607; 0.0000037; 55.5061744; 1.8237979
59.9840759; -58.6440514; -7.4029193; 1.6749678; 0.0000034; 55.5718333; 1.8126738
61.9835451; -60.6326809; -7.6108370; 1.6749743; 0.0000031; 55.6370149; 1.8016251
63.9830142; -62.6213091; -7.8187670; 1.6749802; 0.0000028; 55.7017236; 1.7906514
65.9824834; -64.6099361; -8.0267082; 1.6749855; 0.0000025; 55.7659638; 1.7797519
67.9819526; -66.5985622; -8.2346592; 1.6749901; 0.0000022; 55.8297397; 1.7689261
69.9814218; -68.5871873; -8.4426189; 1.6749942; 0.0000019; 55.8930556; 1.7581734
71.9808910; -70.5758116; -8.6505860; 1.6749976; 0.0000016; 55.9559156; 1.7474931
73.9803602; -72.5644353; -8.8585594; 1.6750004; 0.0000013; 56.0183238; 1.7341362
75.9798294; -74.5530584; -9.0665377; 1.6750026; 0.0000009; 56.0801864; 1.7143363
77.9792986; -76.5416812; -9.2745198; 1.6750042; 0.0000006; 56.1412757; 1.6947793
79.9787678; -78.5303037; -9.4825044; 1.6750052; 0.0000003; 56.2016028; 1.6754617
81.9782370; -80.5189261; -9.6904903; 1.6750055; 0.0000000; 56.2611786; 1.6563802
83.9777062; -82.5075484; -9.8984763; 1.6750053; -0.0000003; 56.3200140; 1.6375315
85.9771754; -84.4961709; -10.1064612; 1.6750044; -0.0000006; 56.3781196; 1.6189124
87.9766446; -86.4847936; -10.3144437; 1.6750029; -0.0000009; 56.4355057; 1.6005196
89.9761138; -88.4734167; -10.5224226; 1.6750008; -0.0000012; 56.4921825; 1.5823502
91.9755830; -90.4620403; -10.7303967; 1.6749980; -0.0000015; 56.5481600; 1.5644010
93.9750522; -92.4506646; -10.9383648; 1.6749947; -0.0000018; 56.6034482; 1.5466690
95.9745214; -94.4392896; -11.1463256; 1.6749907; -0.0000021; 56.6580566; 1.5291512
97.9739906; -96.4279154; -11.3542779; 1.6749861; -0.0000024; 56.7119949; 1.5118448
99.9734598; -98.4165423; -11.5622204; 1.6749810; -0.0000028; 56.7652723; 1.4947469
101.9729290; -100.4051704; -11.7701521; 1.6749751; -0.0000031; 56.8178980; 1.4778545
103.9723981; -102.3937997; -11.9780715; 1.6749687; -0.0000034; 56.8698812; 1.4611651
105.9718673; -104.3824304; -12.1859776; 1.6749617; -0.0000037; 56.9212306; 1.4446758
107.9713365; -106.3710627; -12.3938690; 1.6749540; -0.0000040; 56.9719551; 1.4283839
109.9708057; -108.3596966; -12.6017446; 1.6749457; -0.0000043; 57.0220631; 1.4122869
111.9702749; -110.3483322; -12.8096031; 1.6749368; -0.0000046; 57.0715632; 1.3963821
113.9697441; -112.3369699; -13.0174433; 1.6749273; -0.0000049; 57.1204637; 1.3806670
115.9692133; -114.3256095; -13.2252640; 1.6749172; -0.0000052; 57.1687728; 1.3651389
117.9686825; -116.3142513; -13.4330639; 1.6749065; -0.0000055; 57.2164984; 1.3497956
119.9681517; -118.3028954; -13.6408419; 1.6748951; -0.0000058; 57.2636485; 1.3346345
121.9676209; -120.2915419; -13.8485967; 1.6748831; -0.0000061; 57.3102308; 1.3196532
123.9670901; -122.2801910; -14.0563270; 1.6748705; -0.0000065; 57.3562531; 1.3048494
125.9665593; -124.2688428; -14.2640317; 1.6748573; -0.0000068; 57.4017228; 1.2902207
