# e018faff-1762-4e9c-bd2b-ef20422bf5ff
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 3.1903133; -1.9616216; 2.5739278; 0.0000136; 35.1266545; 4.5288238
1.9994924; 2.1152800; -3.6475257; 2.5739549; 0.0000135; 35.3835068; 4.5175047
3.9989848; 1.0402921; -5.3334588; 2.5739817; 0.0000133; 35.6378729; 4.5062138
5.9984772; -0.0346510; -7.0194209; 2.5740083; 0.0000132; 35.8898073; 4.4949511
7.9979696; -1.1095494; -8.7054109; 2.5740345; 0.0000131; 36.1393623; 4.4767484
9.9974619; -2.1844038; -10.3914292; 2.5740605; 0.0000129; 36.3862056; 4.4532172
11.9969543; -3.2592148; -12.0774755; 2.5740862; 0.0000128; 36.6301011; 4.4298923
13.9964467; -4.3339825; -13.7635489; 2.5741116; 0.0000127; 36.8711185; 4.4067695
15.9959391; -5.4087076; -15.4496496; 2.5741368; 0.0000125; 37.1093247; 4.3838450
17.9954315; -6.4833907; -17.1357774; 2.5741617; 0.0000124; 37.3447843; 4.3611152
19.9949239; -7.5580317; -18.8219315; 2.5741863; 0.0000122; 37.5775591; 4.3385765
21.9944163; -8.6326317; -20.5081120; 2.5742106; 0.0000121; 37.8077088; 4.3162253
23.9939087; -9.7071909; -22.1943187; 2.5742347; 0.0000120; 38.0352910; 4.2940583
25.9934011; -10.7817096; -23.8805508; 2.5742585; 0.0000118; 38.2603612; 4.2720724
27.9928934; -11.8561885; -25.5668084; 2.5742820; 0.0000117; 38.4829728; 4.2502644
29.9923858; -12.9306281; -27.2530914; 2.5743052; 0.0000116; 38.7031773; 4.2286312
31.9918782; -14.0050284; -28.9393988; 2.5743282; 0.0000114; 38.9210247; 4.2071699
33.9913706; -15.0793904; -30.6257310; 2.5743509; 0.0000113; 39.1365631; 4.1858777
35.9908630; -16.1537145; -32.3120876; 2.5743733; 0.0000111; 39.3498391; 4.1647519
37.9903554; -17.2280008; -33.9984677; 2.5743955; 0.0000110; 39.5608976; 4.1437897
39.9898478; -18.3022501; -35.6848716; 2.5744173; 0.0000109; 39.7697821; 4.1229887
41.9893402; -19.3764628; -37.3712991; 2.5744389; 0.0000107; 39.9765348; 4.1023462
43.9888326; -20.4506391; -39.0577493; 2.5744603; 0.0000106; 40.1811965; 4.0863897
45.9883249; -21.5247798; -40.7442224; 2.5744813; 0.0000105; 40.3840311; 4.0711055
47.9878173; -22.5988854; -42.4307182; 2.5745021; 0.0000103; 40.5850989; 4.0559036
49.9873097; -23.6729558; -44.1172357; 2.5745226; 0.0000102; 40.7844303; 4.0407831
51.9868021; -24.7469921; -45.8037754; 2.5745428; 0.0000100; 40.9820544; 4.0257432
53.9862945; -25.8209946; -47.4903368; 2.5745628; 0.0000099; 41.1779998; 4.0107827
55.9857869; -26.8949634; -49.1769191; 2.5745825; 0.0000098; 41.3722942; 3.9959009
57.9852793; -27.9688994; -50.8635226; 2.5746019; 0.0000096; 41.5649645; 3.9810970
59.9847717; -29.0428030; -52.5501470; 2.5746210; 0.0000095; 41.7560369; 3.9663699
61.9842641; -30.1166743; -54.2367913; 2.5746399; 0.0000094; 41.9455370; 3.9517190
63.9837564; -31.1905142; -55.9234560; 2.5746585; 0.0000092; 42.1334895; 3.9371434
65.9832488; -32.2643231; -57.6101407; 2.5746768; 0.0000091; 42.3199186; 3.9226423
67.9827412; -33.3381010; -59.2968445; 2.5746948; 0.0000090; 42.5048480; 3.9082150
69.9822336; -34.4118489; -60.9835677; 2.5747126; 0.0000088; 42.6883004; 3.8938606
71.9817260; -35.4855672; -62.6703101; 2.5747301; 0.0000087; 42.8702984; 3.8795785
73.9812184; -36.5592559; -64.3570707; 2.5747473; 0.0000085; 43.0508636; 3.8653679
75.9807108; -37.6329160; -66.0438498; 2.5747642; 0.0000084; 43.2300174; 3.8512281
77.9802032; -38.7065479; -67.7306472; 2.5747809; 0.0000083; 43.4077805; 3.8371584
79.9796956; -39.7801516; -69.4174619; 2.5747973; 0.0000081; 43.5841731; 3.8231581
81.9791879; -40.8537281; -71.1042943; 2.5748134; 0.0000080; 43.7592150; 3.8092266
83.9786803; -41.9272777; -72.7911441; 2.5748292; 0.0000079; 43.9329254; 3.7953632
85.9781727; -43.0008005; -74.4780102; 2.5748448; 0.0000077; 44.1053232; 3.7736680
87.9776651; -44.0742974; -76.1648932; 2.5748601; 0.0000076; 44.2760700; 3.7471615
89.9771575; -45.1477689; -77.8517927; 2.5748751; 0.0000074; 44.4449684; 3.7209061
91.9766499; -46.2212150; -79.5387077; 2.5748899; 0.0000073; 44.6120507; 3.6948980
93.9761423; -47.2946366; -81.2256386; 2.5749044; 0.0000072; 44.7773481; 3.6691334
95.9756347; -48.3680342; -82.9125851; 2.5749186; 0.0000070; 44.9408913; 3.6436085
97.9751270; -49.4414077; -84.5995463; 2.5749325; 0.0000069; 45.1027100; 3.6183200
99.9746194; -50.5147581; -86.2865225; 2.5749462; 0.0000068; 45.2628331; 3.5932642
101.9741118; -51.5880858; -87.9735134; 2.5749595; 0.0000066; 45.4212887; 3.5684377
103.9736042; -52.6613909; -89.6605181; 2.5749726; 0.0000065; 45.5781043; 3.5438373
105.9730966; -53.7346743; -91.3475370; 2.5749855; 0.0000063; 45.7333067; 3.5194597
107.9725890; -54.8079364; -93.0345697; 2.5749980; 0.0000062; 45.8869220; 3.4953018
109.9720814; -55.8811773; -94.7216153; 2.5750103; 0.0000061; 46.0389755; 3.4713604
111.9715738; -56.9543978; -96.4086741; 2.5750223; 0.0000059; 46.1894922; 3.4476325
113.9710662; -58.0275984; -98.0957459; 2.5750341; 0.0000058; 46.3384960; 3.4241153
115.9705585; -59.1007792; -99.7828297; 2.5750455; 0.0000057; 46.4860108; 3.4008057
117.9700509; -60.1739410; -101.4699259; 2.5750567; 0.0000055; 46.6320595; 3.3777009
119.9695433; -61.2470843; -103.1570342; 2.5750676; 0.0000054; 46.7766645; 3.3547983
121.9690357; -62.3202091; -104.8441536; 2.5750783; 0.0000053; 46.9198480; 3.3320951
123.9685281; -63.3933164; -106.5312845; 2.5750886; 0.0000051; 47.0616312; 3.3095887
125.9680205; -64.4664065; -108.2184266; 2.5750987; 0.0000050; 47.2020352; 3.2872764
127.9675129; -65.5394796; -109.9055789; 2.5751085; 0.0000048; 47.3410804; 3.2651558
129.9670053; -66.6125364; -111.5927419; 2.5751181; 0.0000047; 47.4787869; 3.2432243
131.9664977; -67.6855776; -113.2799151; 2.5751274; 0.0000046; 47.6151741; 3.2214796
133.9659900; -68.7586030; -114.9670977; 2.5751364; 0.0000044; 47.7502613; 3.1999192
135.9654824; -69.8316136; -116.6542901; 2.5751451; 0.0000043; 47.8840671; 3.1785409
137.9649748; -70.9046099; -118.3414919; 2.5751535; 0.0000042; 48.0166098; 3.1569270
139.9644672; -71.9775919; -120.0287021; 2.5751617; 0.0000040; 48.1478901; 3.1326267
141.9639596; -73.0505604; -121.7159212; 2.5751696; 0.0000039; 48.2778070; 3.1085575
143.9634520; -74.1235160; -123.4031489; 2.5751772; 0.0000037; 48.4063810; 3.0847163
145.9629444; -75.1964587; -125.0903841; 2.5751846; 0.0000036; 48.5336322; 3.0611001
147.9624368; -76.2693893; -126.7776273; 2.5751917; 0.0000035; 48.6595802; 3.0377058
149.9619292; -77.3423084; -128.4648782; 2.5751985; 0.0000033; 48.7842443; 3.0145304
151.9614215; -78.4152160; -130.1521358; 2.5752050; 0.0000032; 48.9076431; 2.9915712
153.9609139; -79.4881129; -131.8394004; 2.5752113; 0.0000031; 49.0297950; 2.9688251
155.9604063; -80.5609996; -133.5266719; 2.5752172; 0.0000029; 49.1507180; 2.9462896
157.9598987; -81.6338761; -135.2139492; 2.5752229; 0.0000028; 49.2704298; 2.9239617
159.9593911; -82.7067434; -136.9012327; 2.5752284; 0.0000026; 49.3889474; 2.9018390
161.9588835; -83.7796020; -138.5885221; 2.5752335; 0.0000025; 49.5062879; 2.8799187
163.9583759; -84.8524517; -140.2758164; 2.5752384; 0.0000024; 49.6224676; 2.8581982
165.9578683; -85.9252936; -141.9631161; 2.5752430; 0.0000022; 49.7375028; 2.8366752
167.9573607; -86.9981281; -143.6504207; 2.5752474; 0.0000021; 49.8514092; 2.8153470
169.9568530; -88.0709551; -145.3377295; 2.5752514; 0.0000020; 49.9642025; 2.7942112
171.9563454; -89.1437758; -147.0250426; 2.5752552; 0.0000018; 50.0758978; 2.7732656
173.9558378; -90.2165904; -148.7123600; 2.5752588; 0.0000017; 50.1865100; 2.7525076
175.9553302; -91.2893990; -150.3996805; 2.5752620; 0.0000016; 50.2960537; 2.7319351
177.9548226; -92.3622025; -152.0870045; 2.5752650; 0.0000014; 50.4045433; 2.7115458
179.9543150; -93.4350013; -153.7743318; 2.5752677; 0.0000013; 50.5119928; 2.6913375
181.9538074; -94.5077956; -155.4616614; 2.5752701; 0.0000011; 50.6184160; 2.6713080
183.9532998; -95.5805862; -157.1489937; 2.5752722; 0.0000010; 50.7238263; 2.6514551
185.9527922; -96.6533736; -158.8363283; 2.5752740; 0.0000008; 50.8282371; 2.6317768
187.9522845; -97.7261579; -160.5236643; 2.5752755; 0.0000006; 50.9316613; 2.6122710
189.9517769; -98.7989403; -162.2110018; 2.5752766; 0.0000005; 51.0341117; 2.5929357
191.9512693; -99.8717212; -163.8983405; 2.5752773; 0.0000003; 51.1356007; 2.5737689
193.9507617; -100.9445008; -165.5856794; 2.5752777; 0.0000001; 51.2361408; 2.5547686
195.9502541; -102.0172802; -167.2730188; 2.5752778; -0.0000001; 51.3357440; 2.5359329
197.9497465; -103.0900599; -168.9603583; 2.5752775; -0.0000002; 51.4344220; 2.5172599
199.9492389; -104.1628401; -170.6476968; 2.5752769; -0.0000004; 51.5321865; 2.4987478
201.9487313; -105.2356218; -172.3350347; 2.5752759; -0.0000006; 51.6290490; 2.4803947
203.9482237; -106.3084056; -174.0223716; 2.5752746; -0.0000007; 51.7250207; 2.4621988
205.9477160; -107.3811917; -175.7097065; 2.5752729; -0.0000009; 51.8201125; 2.4441584
207.9472084; -108.4539809; -177.3970396; 2.5752709; -0.0000011; 51.9143353; 2.4262717
209.9467008; -109.5267741; -179.0843705; 2.5752685; -0.0000013; 52.0076998; 2.4087295
211.9461932; -110.5995712; -180.7716983; 2.5752658; -0.0000014; 52.1002237; 2.3934568
213.9456856; -111.6723734; -182.4590232; 2.5752627; -0.0000016; 52.1919985; 2.3782972
215.9451780; -112.7451811; -184.1463449; 2.5752593; -0.0000018; 52.2830324; 2.3632496
217.9446704; -113.8179946; -185.8336623; 2.5752556; -0.0000020; 52.3733337; 2.3483128
219.9441628; -114.8908149; -187.5209757; 2.5752515; -0.0000021; 52.4629102; 2.3334859
221.9436552; -115.9636425; -189.2082847; 2.5752470; -0.0000023; 52.5517699; 2.3187677
223.9431475; -117.0364777; -190.8955883; 2.5752422; -0.0000025; 52.6399206; 2.3041572
225.9426399; -118.1093214; -192.5828868; 2.5752371; -0.0000027; 52.7273698; 2.2896533
227.9421323; -119.1821742; -194.2701798; 2.5752316; -0.0000028; 52.8141251; 2.2752551
229.9416247; -120.2550363; -195.9574663; 2.5752258; -0.0000030; 52.9001940; 2.2609615
231.9411171; -121.3279086; -197.6447466; 2.5752196; -0.0000032; 52.9855837; 2.2467716
233.9406095; -122.4007919; -199.3320202; 2.5752130; -0.0000034; 53.0703013; 2.2326843
235.9401019; -123.4736861; -201.0192863; 2.5752062; -0.0000035; 53.1543540; 2.2186988
237.9395943; -124.5465925; -202.7065450; 2.5751989; -0.0000037; 53.2377488; 2.2048139
239.9390867; -125.6195114; -204.3937959; 2.5751914; -0.0000039; 53.3204924; 2.1910289
241.9385790; -126.6924431; -206.0810381; 2.5751834; -0.0000040; 53.4025917; 2.1773428
243.9380714; -127.7653887; -207.7682719; 2.5751752; -0.0000042; 53.4840534; 2.1637547
245.9375638; -128.8383486; -209.4554967; 2.5751665; -0.0000044; 53.5648839; 2.1502636
247.9370562; -129.9113230; -211.1427118; 2.5751576; -0.0000046; 53.6450898; 2.1368687
249.9365486; -130.9843131; -212.8299173; 2.5751483; -0.0000047; 53.7246774; 2.1235692
251.9360410; -132.0573192; -214.5171127; 2.5751386; -0.0000049; 53.8036531; 2.1103640
253.9355334; -133.1303417; -216.2042972; 2.5751286; -0.0000051; 53.8820230; 2.0972525
255.9350258; -134.2033815; -217.8914710; 2.5751183; -0.0000053; 53.9597932; 2.0842336
257.9345182; -135.2764392; -219.5786337; 2.5751076; -0.0000054; 54.0369697; 2.0713067
259.9340105; -136.3495149; -221.2657844; 2.5750965; -0.0000056; 54.1135586; 2.0584709
261.9335029; -137.4226098; -222.9529232; 2.5750851; -0.0000058; 54.1895655; 2.0457253
263.9329953; -138.4957242; -224.6400497; 2.5750734; -0.0000060; 54.2649964; 2.0330692
265.9324877; -139.5688586; -226.3271631; 2.5750613; -0.0000061; 54.3398569; 2.0205018
267.9319801; -140.6420137; -228.0142636; 2.5750488; -0.0000063; 54.4141526; 2.0080222
269.9314725; -141.7151902; -229.7013507; 2.5750361; -0.0000065; 54.4878891; 1.9956298
271.9309649; -142.7883884; -231.3884235; 2.5750229; -0.0000066; 54.5610718; 1.9833237
273.9304573; -143.8616091; -233.0754822; 2.5750094; -0.0000069; 54.6337060; 1.9711033
275.9299497; -144.9348534; -234.7625262; 2.5749951; -0.0000074; 54.7057972; 1.9589676
277.9294420; -146.0081229; -236.4495537; 2.5749789; -0.0000088; 54.7773505; 1.9469161
279.9289344; -147.0814224; -238.1365623; 2.5749597; -0.0000104; 54.8483711; 1.9349480
281.9284268; -148.1547568; -239.8235488; 2.5749374; -0.0000120; 54.9188642; 1.9230626
283.9279192; -149.2281316; -241.5105094; 2.5749118; -0.0000136; 54.9888347; 1.9112591
285.9274116; -150.3015524; -243.1974408; 2.5748829; -0.0000153; 55.0582876; 1.8995368
287.9269040; -151.3750248; -244.8843395; 2.5748508; -0.0000169; 55.1272279; 1.8878952
289.9263964; -152.4485546; -246.5712014; 2.5748142; -0.0000197; 55.1956603; 1.8763334
291.9258888; -153.5221522; -248.2580203; 2.5747673; -0.0000318; 55.2635897; 1.8648508
293.9253811; -154.5958586; -249.9447701; 2.5746822; -0.0000534; 55.3310207; 1.8534468
295.9248735; -155.6697771; -251.6313846; 2.5744966; -0.0001323; 55.3979581; 1.8421206
297.9243659; -156.7441426; -253.3177143; 2.5741496; -0.0002183; 55.4644064; 1.8308716
299.9238583; -157.8192454; -255.0035745; 2.5736200; -0.0003114; 55.5303701; 1.8196992
301.9233507; -158.8953972; -256.6887642; 2.5729043; -0.0004045; 55.5958537; 1.8086028
303.9228431; -159.9729114; -258.3730830; 2.5720026; -0.0004975; 55.6608617; 1.7975816
305.9223355; -161.0521018; -260.0563308; 2.5709147; -0.0005906; 55.7253984; 1.7866351
307.9218279; -162.1332767; -261.7382992; 2.5696408; -0.0006837; 55.7894681; 1.7757627
309.9213203; -163.2167486; -263.4187869; 2.5681817; -0.0007749; 55.8530751; 1.7649637
311.9208126; -164.3028294; -265.0976045; 2.5665430; -0.0008642; 55.9162236; 1.7542376
313.9203050; -165.3917774; -266.7745225; 2.5647497; -0.0009294; 55.9789178; 1.7435837
315.9197974; -166.4838419; -268.4494235; 2.5628367; -0.0009735; 56.0411617; 1.7268272
317.9192898; -167.5791953; -270.1222492; 2.5608674; -0.0009963; 56.1027393; 1.7071168
